H,1551305748,147519
T,1551305748,2803
U,1551305748,64657
X,1551305749,376284,425
X,1551305750,375939,4008
X,1551305751,375758,21088
X,1551305751,376037,22181
X,1551305752,376267,3204
X,1551305752,376269,994
X,1551305753,376393,1537
X,1551305753,376008,6094
X,1551305754,376085,2158
X,1551305755,376281,707
X,1551305755,376301,495
X,1551305756,376204,551
X,1551305756,376139,769
X,1551305757,376191,430
X,1551305757,375965,919
X,1551305758,376027,427
X,1551305759,376095,406
X,1551305759,376176,300
X,1551305760,376277,857
X,1551305760,376280,362
X,1551305761,376219,657
X,1551305761,376015,649
X,1551305762,376182,420
X,1551305762,376231,432
X,1551305763,376261,413
X,1551305764,376273,689
X,1551305764,376279,649
A,1551305764,376197,336
T,1551305764,2803
U,1551305765,64657
X,1551305766,376189,527
X,1551305766,376207,498
X,1551305766,376149,454
X,1551305767,376226,599
X,1551305767,376207,587
X,1551305768,375992,799
X,1551305769,376065,404
X,1551305769,376097,581
X,1551305770,376159,240
X,1551305770,376157,324
X,1551305771,376154,396
X,1551305771,376167,573
X,1551305772,376042,601
X,1551305773,375957,968
X,1551305773,376097,509
X,1551305774,376117,212
X,1551305774,376150,503
X,1551305775,376183,645
P,1551305775,5145
X,1551305775,376162,633
X,1551305776,376025,452
A,1551305776,376125,269
T,1551305776,2803
U,1551305776,64657
X,1551305778,376159,355
X,1551305779,376200,695
X,1551305779,376276,581
X,1551305780,376173,653
X,1551305780,375991,666
X,1551305781,376053,577
X,1551305781,376097,504
X,1551305782,376196,508
X,1551305782,376166,346
X,1551305783,376185,1062
X,1551305784,376232,502
X,1551305784,376053,609
X,1551305785,376034,449
X,1551305785,376130,503
X,1551305786,376165,502
X,1551305786,376174,222
X,1551305787,376190,916
X,1551305788,376192,542
X,1551305788,376103,630
X,1551305789,376098,531
X,1551305789,376167,519
A,1551305789,376142,285
T,1551305789,2803
U,1551305790,64657
X,1551305791,376223,866
X,1551305792,376167,634
X,1551305792,375994,587
X,1551305793,376092,388
X,1551305794,376161,378
X,1551305794,376159,406
X,1551305795,376160,607
X,1551305795,376189,720
X,1551305796,376128,667
X,1551305796,375974,475
X,1551305797,376076,781
X,1551305798,376116,537
X,1551305798,376168,565
X,1551305799,376136,813
X,1551305799,376183,738
X,1551305800,376098,452
X,1551305800,375935,848
X,1551305801,376054,728
X,1551305802,376118,399
X,1551305802,376165,354
A,1551305802,376114,288
T,1551305802,2803
U,1551305803,64657
X,1551305804,376019,747
X,1551305805,376011,634
P,1551305805,5145
X,1551305805,376083,482
X,1551305806,376147,404
X,1551305806,376190,282
X,1551305807,376234,767
X,1551305807,376229,376
X,1551305807,376074,551
X,1551305808,376047,552
X,1551305808,376152,685
X,1551305809,376159,374
X,1551305809,376155,459
X,1551305810,376212,665
X,1551305810,376233,893
X,1551305811,376066,773
X,1551305812,376099,390
X,1551305812,376148,389
X,1551305813,376188,391
X,1551305813,376260,714
X,1551305814,376359,1062
X,1551305814,376230,903
A,1551305814,376146,249
T,1551305815,2803
U,1551305815,64657
X,1551305816,376261,459
X,1551305817,376208,518
X,1551305817,376226,889
X,1551305818,376254,258
X,1551305819,376160,659
X,1551305819,376055,867
X,1551305820,376190,699
X,1551305820,376203,731
X,1551305821,376229,594
X,1551305821,376271,811
X,1551305822,376214,497
X,1551305823,376213,1712
X,1551305823,375919,978
X,1551305824,376076,420
X,1551305824,376139,686
X,1551305825,376175,238
X,1551305825,376155,591
X,1551305826,376253,427
X,1551305827,376139,645
X,1551305827,376088,484
X,1551305828,376153,808
A,1551305828,376168,352
T,1551305828,2803
U,1551305828,64657
X,1551305830,376226,607
X,1551305830,376217,422
X,1551305831,376105,551
X,1551305831,376146,515
X,1551305832,376162,596
X,1551305832,376213,539
X,1551305833,376108,842
X,1551305834,376254,842
P,1551305834,5145
X,1551305834,376230,598
X,1551305835,376072,521
X,1551305835,376198,213
X,1551305836,376238,466
X,1551305836,376269,503
X,1551305837,376247,584
X,1551305838,376259,550
X,1551305838,376231,758
X,1551305839,376178,619
X,1551305839,376114,568
X,1551305840,376204,440
X,1551305840,376270,414
A,1551305840,376197,198
T,1551305841,2803
