,387405,462
T,1551384028,2826
U,1551384028,64657
X,1551384029,387488,457
X,1551384030,387371,565
X,1551384030,387398,512
X,1551384031,387493,512
X,1551384032,387399,507
X,1551384032,387518,620
X,1551384033,387585,543
X,1551384033,387219,693
P,1551384034,5142
X,1551384034,387091,381
X,1551384034,387126,562
X,1551384035,386820,932
X,1551384036,386505,574
X,1551384036,386711,878
X,1551384037,386590,395
X,1551384037,386435,506
X,1551384038,386676,645
X,1551384038,386697,1246
X,1551384039,386517,778
X,1551384040,386383,546
X,1551384040,386439,485
X,1551384041,386632,552
A,1551384041,386969,1202
T,1551384041,2826
U,1551384041,64657
X,1551384043,387308,332
X,1551384043,387293,448
X,1551384044,387253,407
X,1551384044,387403,680
X,1551384045,387554,371
X,1551384046,387716,965
X,1551384046,387654,490
X,1551384047,387538,438
X,1551384047,387400,450
X,1551384048,387483,406
X,1551384048,387593,271
X,1551384049,387639,513
X,1551384049,387589,746
X,1551384050,387357,790
X,1551384050,387291,410
X,1551384050,387296,631
X,1551384051,387542,595
X,1551384051,387817,813
X,1551384052,387607,733
X,1551384052,387799,712
A,1551384052,387506,564
T,1551384053,2826
U,1551384053,64657
X,1551384054,387656,553
X,1551384055,387815,466
X,1551384056,387585,649
X,1551384056,387492,867
X,1551384057,387565,388
X,1551384057,387462,428
X,1551384058,387695,873
X,1551384058,387800,695
X,1551384059,387319,1006
X,1551384060,387771,1112
X,1551384060,387940,1189
X,1551384061,387367,913
X,1551384061,387560,904
X,1551384062,387442,596
X,1551384062,387511,441
P,1551384063,5145
X,1551384063,387039,648
X,1551384064,387305,458
X,1551384064,387148,599
X,1551384065,387210,535
X,1551384065,387482,573
X,1551384066,387584,365
X,1551384066,387012,866
X,1551384067,386923,300
A,1551384067,387432,892
T,1551384067,2826
U,1551384067,64657
X,1551384069,387007,583
X,1551384069,386944,513
X,1551384070,386724,783
X,1551384071,386524,496
X,1551384071,386078,1774
X,1551384072,386582,795
X,1551384072,386961,977
X,1551384073,386684,738
X,1551384073,386792,607
X,1551384074,386581,1546
X,1551384075,386462,770
X,1551384075,386429,865
X,1551384076,386937,518
X,1551384076,387199,480
X,1551384077,387217,443
X,1551384077,387084,368
X,1551384078,387120,607
X,1551384079,387131,458
X,1551384079,387293,869
X,1551384080,387526,527
X,1551384080,387573,402
X,1551384081,387532,434
A,1551384081,386986,1144
T,1551384081,2826
U,1551384081,64657
X,1551384083,387554,277
X,1551384083,387555,382
X,1551384084,387359,289
X,1551384085,387332,238
X,1551384085,387318,500
X,1551384086,387228,593
X,1551384086,387591,697
X,1551384087,387487,327
X,1551384087,387486,280
X,1551384088,387428,575
X,1551384089,387479,868
X,1551384089,387512,352
X,1551384090,387481,575
X,1551384090,387409,476
X,1551384091,387390,337
X,1551384091,387129,481
X,1551384091,387306,309
X,1551384091,387376,685
P,1551384092,5143
X,1551384092,387477,712
X,1551384093,387531,534
A,1551384093,387421,462
T,1551384093,2826
U,1551384093,64657
X,1551384095,387410,590
X,1551384095,387567,751
X,1551384096,387647,459
X,1551384096,387544,450
X,1551384097,387478,317
X,1551384097,387577,446
X,1551384098,387676,393
X,1551384099,387813,852
X,1551384099,387851,396
X,1551384100,387678,408
X,1551384100,387576,458
X,1551384101,387732,378
X,1551384101,387821,1139
X,1551384102,387868,1081
X,1551384103,387790,394
X,1551384103,387686,535
X,1551384104,387600,626
X,1551384104,387724,509
X,1551384105,387634,825
X,1551384105,387696,504
X,1551384106,387651,447
X,1551384107,387601,363
