H,1551903343,147519
P,1551903343,5111
X,1551903343,404552,864
X,1551903344,404453,525
X,1551903344,404658,745
X,1551903345,404738,847
X,1551903346,404939,649
X,1551903346,404780,672
X,1551903347,404115,1063
X,1551903347,404233,1186
X,1551903348,404350,1004
X,1551903348,404584,320
X,1551903349,404594,610
X,1551903350,404607,953
X,1551903350,404482,478
X,1551903351,404458,736
X,1551903351,404460,432
X,1551903352,404621,471
X,1551903352,404567,355
X,1551903353,404476,1018
X,1551903354,404444,1017
X,1551903354,404460,894
X,1551903355,404273,826
X,1551903355,404189,812
X,1551903356,404312,491
X,1551903356,404525,575
X,1551903357,404512,1098
X,1551903358,404417,1060
X,1551903358,404277,325
A,1551903358,404526,750
T,1551903358,2799
R,1551903358,700D9B77F
X,1551903360,404377,891
X,1551903361,404332,813
X,1551903361,404328,588
X,1551903362,404153,353
X,1551903362,404205,1167
X,1551903363,404102,1384
X,1551903363,403741,916
X,1551903364,403711,260
X,1551903365,404103,524
X,1551903365,404142,400
X,1551903366,404236,833
X,1551903366,404044,623
X,1551903367,404111,265
X,1551903367,404365,1013
X,1551903368,404562,539
X,1551903369,404574,734
X,1551903369,404475,530
X,1551903370,404347,439
X,1551903370,404177,928
X,1551903371,404318,451
X,1551903371,404249,1052
X,1551903372,404717,2628
X,1551903373,404566,2448
P,1551903373,5111
X,1551903373,404915,493
X,1551903374,404857,534
X,1551903374,404754,980
A,1551903374,404312,1204
T,1551903374,2799
R,1551903375,700D9B77F
X,1551903376,404769,283
X,1551903377,404923,885
X,1551903377,404837,903
X,1551903378,404838,809
X,1551903379,404910,1147
X,1551903379,404471,927
X,1551903380,404866,1059
X,1551903380,404678,1221
X,1551903381,404606,861
X,1551903381,404561,348
X,1551903382,404633,861
X,1551903382,404716,1104
X,1551903383,404624,773
X,1551903383,404535,508
X,1551903383,404483,1115
X,1551903384,404453,873
X,1551903384,404272,564
X,1551903385,404079,518
X,1551903385,404180,946
X,1551903386,404334,785
X,1551903387,403924,885
X,1551903387,403857,417
X,1551903388,404114,993
X,1551903388,404158,516
X,1551903389,404394,771
A,1551903389,404428,1066
T,1551903389,2799
R,1551903389,700D9B77F
X,1551903391,403916,1038
X,1551903391,403773,863
X,1551903392,403729,700
X,1551903393,403775,342
X,1551903393,403883,664
X,1551903394,404010,768
X,1551903394,404187,585
X,1551903395,404386,594
X,1551903395,404491,1347
X,1551903396,404474,543
X,1551903397,404384,1138
X,1551903397,404220,405
X,1551903398,404071,692
X,1551903398,404068,778
X,1551903399,404014,1053
X,1551903399,403998,1086
X,1551903400,404222,1208
X,1551903401,404245,570
X,1551903401,404405,729
X,1551903402,404397,915
P,1551903402,5108
X,1551903402,404458,888
X,1551903403,404486,961
X,1551903403,404468,810
X,1551903404,404457,1185
X,1551903404,404468,1541
X,1551903405,404436,979
X,1551903406,404427,1076
X,1551903406,404514,529
X,1551903407,404243,861
A,1551903407,404211,785
T,1551903407,2799
R,1551903407,700D9B77F
X,1551903409,404311,953
X,1551903409,404304,1294
X,1551903410,404431,798
X,1551903410,404324,626
X,1551903411,404342,823
X,1551903412,404349,778
X,1551903412,404598,1018
X,1551903413,404602,1119
X,1551903413,404450,1661
X,1551903414,404487,1340
X,1551903414,404579,543
X,1551903415,404515,451
X,1551903416,404750,431
X,1551903416,404780,597
X,1551903417,404886,670
X,1551903417,404792,668
X,1551903418,404671,400
X,1551903418,404578,385
X,1551903419,404699,713
X,1551903420,404606,352
X,1551903420,404620,769
X,1551903421,404381,573
X,1551903421,404343,916
X,1551903422,404296,805
X,1551903422,404155,844
A,1551903422,404520,731
T,1551903423,2799
R,1551903423,700D9B77F
X,1551903424,404423,523
X,1551903424,404654,862
X,1551903424,404701,773
X,1551903425,404651,381
X,1551903426,404522,857
X,1551903426,404587,936
X,1551903427,404675,913
X,1551903427,404727,743
X,1551903428,404720,360
X,1551903428,404762,1057
X,1551903429,404773,1012
X,1551903430,404698,1236
X,1551903430,404608,1215
X,1551903431,404591,858
P,1551903431,5109
X,1551903431,404641,481
X,1551903432,404614,569
X,1551903432,404644,632
X,1551903433,404709,468
X,1551903434,404742,417
X,1551903434,404730,1004
X,1551903435,404614,965
X,1551903435,404620,868
