H,1551930626,147519
T,1551930626,2801
R,1551930626,5C00DDFC91
X,1551930627,373520,1828
X,1551930628,373576,1703
X,1551930629,374486,781
X,1551930629,374743,891
X,1551930630,374687,600
X,1551930630,373724,1367
X,1551930631,373719,1158
X,1551930631,373356,929
X,1551930632,373214,1393
X,1551930633,373334,1148
X,1551930633,373119,799
X,1551930634,372611,1864
X,1551930634,368905,15279
X,1551930635,344467,57306
X,1551930635,370462,11735
X,1551930636,372825,2318
X,1551930637,372922,5126
X,1551930637,367785,7518
X,1551930638,366692,6366
X,1551930638,370856,2008
X,1551930639,371275,2541
X,1551930639,373042,3253
X,1551930640,371450,6030
X,1551930640,353882,27362
X,1551930641,356265,22469
X,1551930642,365786,45780
X,1551930642,349899,50738
X,1551930643,345352,61145
X,1551930643,364531,58208
X,1551930644,352518,20865
X,1551930644,358621,10628
X,1551930645,363144,19423
X,1551930646,366579,9205
X,1551930646,352450,42151
X,1551930647,339737,22368
X,1551930647,371054,24748
X,1551930648,371718,60223
X,1551930648,374808,14862
X,1551930649,371957,40438
X,1551930650,375334,17566
X,1551930650,374453,4807
X,1551930651,373645,2898
P,1551930651,5103
X,1551930651,372651,4953
X,1551930652,370280,9193
X,1551930652,328163,37322
X,1551930653,348729,30742
X,1551930654,368003,11700
X,1551930654,368876,10346
X,1551930655,373527,20803
X,1551930655,374977,1958
X,1551930656,373727,2273
X,1551930656,373886,2379
X,1551930657,373644,1478
X,1551930658,373646,1809
X,1551930658,373799,8938
X,1551930658,374110,2189
X,1551930658,374566,1182
X,1551930659,373856,952
X,1551930659,373133,516
X,1551930660,372532,686
X,1551930661,372045,1067
X,1551930661,371680,1521
X,1551930662,372551,1049
X,1551930662,371532,1111
X,1551930663,373553,1024
X,1551930663,372519,1614
X,1551930664,373485,984
X,1551930664,372766,711
X,1551930665,373170,2770
X,1551930666,374736,1352
X,1551930666,374258,965
X,1551930667,373434,1037
X,1551930667,373001,1612
X,1551930668,372016,1587
X,1551930668,372249,1861
X,1551930669,373624,1014
X,1551930670,373848,873
X,1551930670,374822,635
X,1551930671,374241,998
X,1551930671,374308,929
X,1551930672,373909,1659
X,1551930672,373137,1156
X,1551930673,373487,1435
X,1551930674,373234,1267
X,1551930674,373171,11990
X,1551930675,373798,1165
X,1551930675,374553,1155
X,1551930676,375124,3187
X,1551930676,375110,786
X,1551930677,374778,930
X,1551930678,374614,873
X,1551930678,374870,566
X,1551930679,375371,1613
X,1551930679,375135,1053
X,1551930680,375017,869
A,1551930680,374101,2578
P,1551930680,5102
T,1551930680,2801
X,1551930682,374156,1584
X,1551930682,374364,1272
X,1551930683,375679,1036
X,1551930684,375182,1774
X,1551930684,374931,1446
X,1551930685,374068,4059
X,1551930685,376442,2581
X,1551930686,377406,4409
X,1551930686,377816,6590
X,1551930687,375096,2546
X,1551930687,374623,1434
X,1551930688,374636,6182
X,1551930689,373917,1941
X,1551930689,375147,2161
X,1551930690,374611,1708
X,1551930690,374320,1157
X,1551930691,374327,777
X,1551930691,373887,829
X,1551930692,374005,1486
X,1551930693,372154,1245
X,1551930693,373178,1389
X,1551930694,373219,801
X,1551930694,373136,826
X,1551930695,373054,5515
X,1551930695,370278,5131
X,1551930696,366969,5237
X,1551930697,372146,2222
X,1551930697,372409,2469
X,1551930698,367797,3768
X,1551930698,371029,2337
X,1551930699,369096,5049
X,1551930699,370893,3805
X,1551930699,369088,1868
X,1551930700,371331,2482
X,1551930700,371677,1279
X,1551930701,372275,964
X,1551930701,372561,900
X,1551930702,373157,1938
X,1551930702,374447,1561
X,1551930703,375420,1644
X,1551930704,374804,948
X,1551930704,374604,1542
X,1551930705,373541,543
X,1551930705,372504,1633
X,1551930706,371690,1722
X,1551930706,370932,3299
X,1551930707,370733,4577
X,1551930708,373027,1235
X,1551930708,373596,1192
X,1551930709,373126,908
P,1551930709,5102
X,1551930709,373260,592
X,1551930710,373583,651
X,1551930710,373086,1288
X,1551930711,373272,1528
X,1551930712,373756,498
X,1551930712,374290,1019
X,1551930713,373661,747
X,1551930713,373482,1338
X,1551930714,372582,1515
X,1551930714,373596,2153
X,1551930715,373151,729
X,1551930715,374063,1166
X,1551930716,373509,1217
X,1551930717,373850,1412
X,1551930717,373709,3694
X,1551930718,371857,2925
X,1551930718,372806,5727
X,1551930719,373318,1104
X,1551930719,371787,1911
