H,1552880425,147519
R,1552880425,700D9B77F
X,1552880426,417939,891
X,1552880427,417886,715
X,1552880427,417873,1005
X,1552880428,417863,888
X,1552880429,417860,595
X,1552880429,418010,1491
X,1552880430,417831,587
X,1552880430,417642,630
X,1552880431,417496,768
X,1552880431,417637,1011
X,1552880432,417676,1083
X,1552880433,417870,671
X,1552880433,418024,999
X,1552880434,418030,658
P,1552880434,5036
X,1552880434,418087,635
X,1552880435,418146,1124
X,1552880435,418165,907
X,1552880436,418146,962
X,1552880437,418168,668
X,1552880437,418017,1907
X,1552880438,418458,935
X,1552880438,418167,1298
X,1552880439,418114,3159
X,1552880439,418343,2459
X,1552880440,418471,750
X,1552880441,418262,876
X,1552880441,418026,987
X,1552880442,417981,1105
X,1552880442,417802,4527
X,1552880443,418058,1099
X,1552880443,418206,816
X,1552880444,418121,1127
X,1552880445,418052,655
A,1552880445,418024,975
T,1552880445,2774
R,1552880445,700D9B77F
X,1552880447,418082,607
X,1552880447,418115,614
X,1552880448,418147,730
X,1552880448,418222,1091
X,1552880449,418188,576
X,1552880449,418198,690
X,1552880450,418235,773
X,1552880450,418173,546
X,1552880451,418228,907
X,1552880452,418169,1161
X,1552880452,418166,487
X,1552880453,418147,628
X,1552880453,418219,617
X,1552880454,418193,670
X,1552880454,417967,606
X,1552880455,417826,672
X,1552880456,417833,741
X,1552880456,417604,965
X,1552880456,417599,878
X,1552880456,417795,474
X,1552880457,418010,1067
X,1552880457,418006,861
X,1552880458,417973,913
A,1552880458,418034,636
T,1552880458,2774
R,1552880458,700D9B77F
X,1552880460,418072,654
X,1552880461,418120,764
X,1552880461,418026,1109
X,1552880462,418122,706
X,1552880462,418092,748
X,1552880463,418085,656
P,1552880463,5040
X,1552880463,418072,838
X,1552880464,418118,964
X,1552880465,418111,1070
X,1552880465,418076,861
X,1552880466,418159,459
X,1552880466,418165,450
X,1552880467,418146,713
X,1552880467,418558,1662
X,1552880468,418563,985
X,1552880469,418564,758
X,1552880469,418516,227
X,1552880470,418458,691
X,1552880470,418417,1099
X,1552880471,418390,1036
X,1552880471,418320,818
X,1552880472,418325,410
X,1552880472,418246,729
X,1552880473,418240,719
X,1552880474,418310,1063
X,1552880474,418235,851
A,1552880474,418234,492
T,1552880474,2774
R,1552880475,700D9B77F
X,1552880476,417848,554
X,1552880477,417701,1064
X,1552880477,417546,646
X,1552880478,417458,839
X,1552880478,417410,414
X,1552880479,417374,468
X,1552880480,417367,689
X,1552880480,417588,679
X,1552880481,417551,675
X,1552880481,417496,1609
X,1552880482,417459,507
X,1552880482,417442,704
X,1552880483,417478,764
X,1552880484,417482,690
X,1552880484,417519,641
X,1552880485,417253,1009
X,1552880485,417171,762
X,1552880486,417302,782
X,1552880486,417436,305
X,1552880487,417324,613
X,1552880488,417340,718
X,1552880488,417464,632
X,1552880489,417580,1230
X,1552880489,417722,1137
X,1552880490,418057,646
A,1552880490,417480,886
T,1552880490,2774
R,1552880490,700D9B77F
X,1552880492,417869,587
X,1552880492,417793,622
X,1552880493,417844,492
P,1552880493,5042
X,1552880493,417860,609
X,1552880494,417870,571
X,1552880495,417874,965
X,1552880495,417899,1480
X,1552880496,417930,752
X,1552880496,418080,389
X,1552880497,417985,363
X,1552880497,417883,575
X,1552880497,417871,592
X,1552880498,417822,1008
X,1552880498,417886,721
X,1552880499,418029,791
X,1552880499,418065,422
X,1552880500,418091,657
X,1552880500,418143,978
X,1552880501,418065,1350
X,1552880502,418041,738
X,1552880502,418120,776
X,1552880503,418100,749
X,1552880503,418051,762
A,1552880503,417969,350
T,1552880503,2774
R,1552880504,700D9B77F
X,1552880505,418071,706
X,1552880506,418050,568
X,1552880506,418005,387
X,1552880507,418212,782
X,1552880508,418041,1300
X,1552880508,418030,888
X,1552880509,417994,654
X,1552880509,417885,500
X,1552880510,417851,807
X,1552880510,418111,966
X,1552880511,417911,653
X,1552880512,417888,532
X,1552880512,417883,361
X,1552880513,418047,685
X,1552880513,417975,834
X,1552880514,417808,755
X,1552880514,417625,1230
X,1552880515,417632,910
X,1552880515,417467,723
X,1552880516,417724,912
X,1552880517,417755,838
X,1552880517,417771,1253
X,1552880518,418100,1391
