H,1553124967,147519
P,1553124967,5054
P,1553124996,5057
P,1553125025,5058
P,1553125055,5058
D,1553125058,262400
R,1553125059,700D9B77F
R,1553125059,700D9B77F
R,1553125059,700D9B77F
X,1553125060,399017,20042
X,1553125061,396861,19578
X,1553125061,389397,14346
X,1553125061,394258,8379
X,1553125062,398215,7777
X,1553125062,398323,17611
X,1553125063,398123,10729
X,1553125063,390136,9872
X,1553125064,394448,4658
X,1553125064,394788,2794
X,1553125065,392991,5744
X,1553125066,391487,8404
X,1553125066,389024,10843
X,1553125067,384423,15683
X,1553125067,391534,12425
X,1553125068,398149,13023
X,1553125068,396535,14101
X,1553125069,396282,5477
X,1553125070,396477,2698
X,1553125070,393038,20568
X,1553125071,405057,6110
X,1553125071,408614,3186
X,1553125072,409258,4997
X,1553125072,406793,5477
X,1553125073,407676,1482
X,1553125074,407141,2718
X,1553125074,408553,2610
X,1553125075,407847,1733
X,1553125075,406706,1041
X,1553125076,406604,4170
X,1553125076,403530,5180
X,1553125077,398119,11013
X,1553125077,393603,10531
X,1553125078,395141,6895
X,1553125079,402893,17496
X,1553125079,407740,27836
X,1553125080,406733,11889
X,1553125080,406062,3446
X,1553125081,403363,20977
X,1553125081,404549,5489
X,1553125082,403258,8914
X,1553125083,403653,6324
X,1553125083,399876,3090
X,1553125084,402977,6187
X,1553125084,389374,54248
P,1553125084,5045
X,1553125085,390873,17112
X,1553125085,384524,17664
X,1553125086,396236,10238
X,1553125087,403861,7128
X,1553125087,400898,9748
X,1553125088,399947,9960
X,1553125088,396627,5465
X,1553125089,401403,6866
X,1553125089,401465,7329
X,1553125090,399483,3320
X,1553125091,397487,8586
X,1553125091,395331,13550
X,1553125092,390979,8388
X,1553125092,394230,6465
X,1553125093,398731,17880
X,1553125093,400447,6998
X,1553125094,401311,8255
X,1553125095,396979,5383
X,1553125095,395405,14811
X,1553125096,391279,18407
X,1553125096,393105,9430
X,1553125097,392825,11976
X,1553125097,398526,4281
X,1553125098,398717,4745
X,1553125099,395239,4786
X,1553125099,387692,19073
X,1553125100,387362,11257
X,1553125100,384942,13501
X,1553125101,390353,17000
X,1553125101,394394,10329
X,1553125102,390824,11940
X,1553125102,393014,9924
X,1553125102,396030,21142
X,1553125103,384614,24500
X,1553125103,382194,17101
X,1553125104,382252,17696
X,1553125104,371002,40948
X,1553125105,381800,33962
X,1553125105,387046,33199
X,1553125106,383029,20589
X,1553125107,387389,29140
X,1553125107,395668,9849
X,1553125108,396477,10678
X,1553125108,404015,13803
X,1553125109,405545,35632
X,1553125109,402284,35402
X,1553125110,401132,41555
X,1553125111,402394,23106
X,1553125111,409782,7453
X,1553125112,401416,53360
X,1553125112,383703,44718
X,1553125113,383254,51508
X,1553125113,380642,13857
P,1553125113,5047
X,1553125114,395581,24193
X,1553125115,393485,21171
X,1553125115,397255,17785
X,1553125116,393426,6218
X,1553125116,398845,7965
X,1553125117,404474,5232
X,1553125117,399261,7577
X,1553125118,396235,8687
X,1553125119,399419,9449
X,1553125119,404221,18496
X,1553125120,401857,2806
X,1553125120,403427,6109
X,1553125121,405983,42355
X,1553125121,402677,24917
X,1553125122,398355,21718
X,1553125123,399178,28421
X,1553125123,402689,11159
X,1553125124,406175,2701
X,1553125124,399340,5201
X,1553125125,404818,4431
X,1553125125,406939,4036
X,1553125126,403797,6620
X,1553125127,404106,3808
X,1553125127,400738,8210
X,1553125128,398589,4337
X,1553125128,399222,12673
X,1553125129,390791,11629
X,1553125129,392936,18072
X,1553125130,399007,19514
X,1553125130,402006,17988
X,1553125131,405898,8154
X,1553125132,402244,16486
X,1553125132,402012,13614
X,1553125133,404609,10014
X,1553125133,405022,26152
X,1553125134,406434,4403
X,1553125134,405171,7441
X,1553125135,410152,4999
X,1553125136,408823,2936
X,1553125136,405031,9444
X,1553125137,403553,7842
X,1553125137,404223,7584
X,1553125138,405233,6687
X,1553125138,406570,9383
X,1553125139,406135,5265
X,1553125140,402862,18650
X,1553125140,386671,20490
X,1553125141,389404,54355
X,1553125141,385345,9972
X,1553125142,388829,4609
X,1553125142,388264,13729
X,1553125143,388894,15930
P,1553125143,5049
X,1553125143,385859,4858
X,1553125143,384528,13413
X,1553125144,394141,17224
X,1553125144,392368,10469
X,1553125145,388809,8982
X,1553125145,371650,34458
X,1553125146,372484,28017
X,1553125147,394888,21243
X,1553125147,394200,12279
X,1553125148,398627,10971
X,1553125148,402347,9254
