H,1553212849,147519
T,1553212849,2778
R,1553212849,700D9B77F
X,1553212851,410810,549
X,1553212851,410834,507
X,1553212852,410812,350
X,1553212852,410847,334
X,1553212852,410963,381
X,1553212852,410903,827
X,1553212853,410770,958
X,1553212854,410752,959
X,1553212854,410802,752
X,1553212855,410802,391
X,1553212855,410771,313
X,1553212856,410834,623
X,1553212856,410690,783
X,1553212857,410687,1025
X,1553212858,410774,229
X,1553212858,410785,313
X,1553212859,410778,572
X,1553212859,410782,559
X,1553212860,410722,743
X,1553212860,410666,1656
X,1553212861,410691,468
X,1553212861,410726,312
A,1553212862,410792,273
T,1553212862,2778
R,1553212862,700D9B77F
X,1553212863,410721,684
X,1553212864,410716,780
X,1553212865,410782,860
X,1553212865,410811,631
P,1553212865,5016
X,1553212866,410790,461
X,1553212866,410954,1413
X,1553212867,410493,3313
X,1553212867,410160,976
X,1553212868,410221,527
X,1553212869,410330,489
X,1553212869,410343,605
X,1553212870,410396,486
X,1553212870,410294,799
X,1553212871,410328,696
X,1553212871,410399,587
X,1553212872,410432,490
X,1553212873,410381,2155
X,1553212873,410734,965
X,1553212874,410622,500
X,1553212874,410696,716
X,1553212875,410655,544
X,1553212875,410622,460
X,1553212876,410600,821
A,1553212876,410532,651
T,1553212876,2778
R,1553212876,700D9B77F
X,1553212878,410608,798
X,1553212878,410619,590
X,1553212879,410620,671
X,1553212880,410602,1113
X,1553212880,410571,995
X,1553212881,410513,997
X,1553212881,410485,793
X,1553212882,410494,357
X,1553212882,410469,710
X,1553212883,410503,613
X,1553212884,410453,952
X,1553212884,410355,572
X,1553212885,410448,758
X,1553212885,410445,460
X,1553212886,410410,922
X,1553212886,410548,1118
X,1553212887,410497,803
X,1553212888,410289,1082
X,1553212888,410466,1022
X,1553212889,410489,569
X,1553212889,410568,687
X,1553212890,410700,983
X,1553212890,410565,792
X,1553212891,410437,1103
X,1553212892,410571,640
A,1553212892,410519,345
T,1553212892,2778
R,1553212892,700D9B77F
X,1553212893,410441,804
X,1553212893,410392,917
X,1553212894,410470,489
X,1553212894,410495,342
P,1553212894,5017
X,1553212895,410496,219
X,1553212895,410492,625
X,1553212896,410472,1029
X,1553212896,410309,1150
X,1553212897,410407,732
X,1553212898,410350,772
X,1553212898,410338,605
X,1553212899,410342,556
X,1553212899,410412,1045
X,1553212900,410264,1320
X,1553212900,410333,562
X,1553212901,410339,454
X,1553212902,410390,370
X,1553212902,410416,782
X,1553212903,410409,976
X,1553212903,410259,1087
X,1553212904,410283,397
X,1553212904,410257,944
X,1553212905,410183,560
X,1553212906,410278,487
X,1553212906,410278,555
A,1553212906,410369,313
T,1553212906,2778
R,1553212906,700D9B77F
X,1553212908,410440,740
X,1553212909,410430,744
X,1553212909,410659,1136
X,1553212910,410587,1144
X,1553212910,410800,701
X,1553212911,410738,708
X,1553212912,410699,747
X,1553212912,410743,815
X,1553212913,410639,1197
X,1553212913,410581,1341
X,1553212914,410594,431
X,1553212914,410620,725
X,1553212915,410588,299
X,1553212916,410643,662
X,1553212916,410667,1117
X,1553212917,410554,740
X,1553212917,410600,726
X,1553212918,410684,411
X,1553212918,410702,596
X,1553212919,410583,657
X,1553212919,410543,642
X,1553212920,410554,582
X,1553212921,410430,847
X,1553212921,410532,438
X,1553212922,410531,412
A,1553212922,410600,370
T,1553212922,2778
R,1553212922,700D9B77F
X,1553212924,410521,1178
X,1553212924,410470,1108
P,1553212924,5013
X,1553212925,410562,248
X,1553212925,410640,615
X,1553212926,410624,556
X,1553212927,410657,420
X,1553212927,410729,926
X,1553212928,410622,787
X,1553212928,410692,683
X,1553212929,410757,467
X,1553212929,410694,411
X,1553212930,410674,610
X,1553212931,410757,640
X,1553212931,410639,1177
X,1553212932,410726,620
X,1553212932,410817,666
X,1553212933,410818,202
X,1553212933,410770,302
X,1553212934,410717,549
X,1553212934,410627,1486
X,1553212934,410755,714
X,1553212935,410808,748
X,1553212935,410852,881
X,1553212936,410738,573
A,1553212936,410720,290
T,1553212936,2778
R,1553212936,700D9B77F
X,1553212938,410544,584
X,1553212938,410465,655
X,1553212939,410509,500
X,1553212939,410566,719
X,1553212940,410553,1174
X,1553212941,410500,1155
