,1553287322,399282,3849
X,1553287323,398637,808
X,1553287323,398493,18554
X,1553287324,398750,11758
X,1553287325,398629,1099
X,1553287325,398663,712
X,1553287326,398756,596
X,1553287326,398733,1066
X,1553287327,397839,11603
X,1553287327,398918,8717
X,1553287328,398704,703
X,1553287329,398855,428
X,1553287329,398836,370
X,1553287330,398806,851
X,1553287330,398811,919
X,1553287331,398873,19659
X,1553287331,398833,14874
X,1553287332,398783,930
P,1553287332,5046
X,1553287333,398812,805
X,1553287333,398819,906
X,1553287334,398781,879
X,1553287334,398744,951
X,1553287335,398803,849
X,1553287335,398798,747
X,1553287336,398781,515
X,1553287337,398723,429
X,1553287337,398824,589
X,1553287338,398811,800
A,1553287338,398768,237
T,1553287338,2835
R,1553287338,700D9B77F
X,1553287340,398918,399
X,1553287340,398902,723
X,1553287341,398931,834
X,1553287341,398904,478
X,1553287342,398858,585
X,1553287342,398870,1221
X,1553287343,398846,1200
X,1553287344,398909,17713
X,1553287344,398851,14985
X,1553287345,398696,967
X,1553287345,398720,921
X,1553287346,398658,368
X,1553287346,398709,550
X,1553287347,398633,444
X,1553287348,398696,837
X,1553287348,398637,849
X,1553287349,398777,16886
X,1553287349,398695,11503
X,1553287350,398740,919
X,1553287350,398690,665
X,1553287351,398664,592
X,1553287352,398600,404
X,1553287352,398550,607
X,1553287353,398505,1067
X,1553287353,398576,639
X,1553287353,398560,934
X,1553287353,398543,466
A,1553287353,398709,388
T,1553287354,2835
R,1553287354,700D9B77F
X,1553287355,398574,398
X,1553287356,398568,768
X,1553287357,398576,17809
X,1553287357,398784,11909
X,1553287358,398710,700
X,1553287358,398759,874
X,1553287359,398778,423
X,1553287359,398757,597
X,1553287360,398727,511
X,1553287361,398696,1137
X,1553287361,398684,920
P,1553287361,5042
X,1553287362,398599,1109
X,1553287362,398558,781
X,1553287363,398592,960
X,1553287363,398526,568
X,1553287364,398508,1083
X,1553287364,398497,244
X,1553287365,398538,18989
X,1553287366,398685,11159
X,1553287366,398690,603
