399154,185
T,1553290873,2827
R,1553290874,700D9B77F
X,1553290875,399197,601
X,1553290876,399221,785
X,1553290876,399188,756
X,1553290877,399191,851
X,1553290878,399188,653
X,1553290878,399174,791
X,1553290879,399137,1249
X,1553290879,399137,427
X,1553290880,399027,814
X,1553290880,399083,680
X,1553290880,399103,559
X,1553290880,399058,497
X,1553290881,399054,637
X,1553290882,399039,927
X,1553290882,399069,1054
X,1553290883,399020,658
X,1553290883,399013,499
X,1553290884,399029,851
X,1553290884,399053,1185
X,1553290885,399009,919
X,1553290886,399129,1032
X,1553290886,399256,730
X,1553290887,399360,1685
X,1553290887,399383,936
X,1553290888,399318,711
A,1553290888,399134,374
T,1553290888,2827
R,1553290888,700D9B77F
P,1553290888,4880
X,1553290890,399294,714
X,1553290890,399190,1271
X,1553290891,399236,554
X,1553290892,399213,518
X,1553290892,399216,458
X,1553290893,399161,275
X,1553290893,399205,443
X,1553290894,399181,923
X,1553290894,399134,740
X,1553290895,399144,661
X,1553290896,399108,953
X,1553290896,399133,537
X,1553290897,399090,570
X,1553290897,399115,827
X,1553290898,399121,599
X,1553290898,399028,1258
X,1553290899,399052,1650
X,1553290900,399273,561
X,1553290900,399236,719
X,1553290901,399253,610
X,1553290901,399261,880
X,1553290902,399225,807
X,1553290902,399192,903
A,1553290902,399189,204
T,1553290903,2827
R,1553290903,700D9B77F
X,1553290904,399192,672
X,1553290905,399270,915
X,1553290905,399223,626
X,1553290906,399172,1034
X,1553290907,399202,801
X,1553290907,399212,727
X,1553290908,399233,538
X,1553290908,399206,553
X,1553290909,399233,704
X,1553290909,399249,1105
X,1553290910,399169,2735
X,1553290911,399323,666
X,1553290911,399333,452
X,1553290912,399281,447
X,1553290912,399255,698
X,1553290913,399277,832
X,1553290913,399110,912
X,1553290914,399132,659
X,1553290915,399168,474
X,1553290915,399181,627
X,1553290916,399173,438
X,1553290916,399217,1016
X,1553290917,399200,597
