,847
T,1553378148,2835
R,1553378149,700D9B77F
X,1553378150,435199,555
X,1553378151,435293,735
X,1553378151,435260,495
X,1553378152,435239,427
X,1553378153,435174,500
X,1553378153,434801,905
X,1553378154,435118,767
X,1553378154,434938,954
X,1553378155,435219,1030
X,1553378155,435060,725
X,1553378156,434844,624
X,1553378157,435116,690
X,1553378157,435211,680
X,1553378158,435162,888
X,1553378158,435355,692
X,1553378159,435008,624
X,1553378159,435170,432
X,1553378160,435434,373
X,1553378161,435620,633
X,1553378161,435711,658
X,1553378162,435923,903
A,1553378162,435231,1122
T,1553378162,2835
R,1553378162,700D9B77F
X,1553378164,436860,2721
X,1553378164,436159,1346
X,1553378165,435596,1281
X,1553378165,434703,1315
X,1553378166,434502,753
X,1553378166,434817,456
X,1553378167,435067,362
X,1553378168,435035,834
X,1553378168,435147,603
X,1553378169,435186,395
X,1553378169,435167,682
P,1553378169,5009
X,1553378170,434892,450
X,1553378170,434878,1076
X,1553378171,434970,731
X,1553378172,435377,715
X,1553378172,434868,578
X,1553378173,434780,488
X,1553378173,434804,773
X,1553378174,434745,446
X,1553378174,435225,803
X,1553378175,435786,733
X,1553378176,435906,732
X,1553378176,435753,8421
X,1553378177,436188,733
X,1553378177,436152,668
X,1553378178,436070,761
A,1553378178,435234,1686
T,1553378178,2835
R,1553378178,700D9B77F
X,1553378179,435300,541
X,1553378179,435316,559
X,1553378180,435307,818
X,1553378181,435095,827
X,1553378181,434918,705
X,1553378182,434989,544
X,1553378182,434802,463
X,1553378183,434593,644
X,1553378183,434212,947
X,1553378184,434498,583
X,1553378184,434079,1643
X,1553378185,434412,725
X,1553378186,434609,415
X,1553378186,434683,449
X,1553378187,434557,743
X,1553378187,434902,961
X,1553378188,434707,539
X,1553378188,434661,557
X,1553378189,434663,251
X,1553378190,434476,798
X,1553378190,434290,856
