H,1553452166,147519
P,1553452166,5039
P,1553452195,5039
P,1553452225,5041
P,1553452254,5038
P,1553452283,5040
P,1553452313,5040
P,1553452343,5040
P,1553452372,5038
P,1553452401,5042
P,1553452431,5040
P,1553452460,5038
P,1553452489,5040
P,1553452518,5037
P,1553452548,5042
P,1553452577,5041
P,1553452607,5040
P,1553452637,5038
P,1553452666,5038
P,1553452695,5040
P,1553452724,5040
P,1553452754,5042
P,1553452783,5039
P,1553452812,5039
P,1553452842,5040
P,1553452871,5040
P,1553452901,5040
P,1553452930,5040
P,1553452960,5042
P,1553452989,5040
P,1553453018,5041
D,1553453020,284928
R,1553453020,700D9B77F
R,1553453021,700D9B77F
R,1553453021,700D9B77F
X,1553453022,405716,4135
X,1553453023,406817,6007
X,1553453023,405624,5049
X,1553453024,405742,63795
X,1553453025,401798,37317
X,1553453025,405096,3744
X,1553453026,405891,3049
X,1553453026,405973,1826
X,1553453027,406089,1239
X,1553453027,406179,2302
X,1553453028,406012,5240
X,1553453028,406205,589
X,1553453029,406164,808
X,1553453030,406152,892
X,1553453030,406263,868
X,1553453031,406274,971
X,1553453031,406269,704
X,1553453032,406331,736
X,1553453032,406296,644
X,1553453033,406450,1185
X,1553453034,406526,978
X,1553453034,406458,1188
X,1553453035,406563,567
X,1553453035,406178,22969
X,1553453036,406227,2460
X,1553453036,406309,1042
X,1553453037,406129,2525
X,1553453038,406572,1737
X,1553453038,406133,6715
X,1553453039,406458,1899
X,1553453039,406505,5535
X,1553453040,406589,818
X,1553453040,406597,462
X,1553453041,406658,479
X,1553453042,406584,625
X,1553453042,406399,2746
X,1553453043,406549,1264
X,1553453043,406653,1362
X,1553453044,406488,1663
X,1553453044,406498,598
X,1553453045,405967,2601
X,1553453046,406323,2406
X,1553453046,406367,1286
X,1553453047,406339,664
X,1553453047,406384,658
X,1553453048,406352,413
P,1553453048,5033
X,1553453048,406409,918
X,1553453049,406444,1076
X,1553453050,406465,1134
X,1553453050,406450,666
A,1553453050,406395,506
T,1553453050,2871
R,1553453050,700D9B77F
R,1553453050,700D9B77F
R,1553453050,700D9B77F
X,1553453051,406287,24850
X,1553453052,406205,4524
X,1553453052,406599,3085
X,1553453053,405242,8532
X,1553453053,407458,10033
X,1553453054,407046,2185
X,1553453055,406911,1913
X,1553453055,406833,1896
X,1553453056,406967,1207
X,1553453056,406930,1511
X,1553453057,406889,1180
X,1553453057,407116,18046
X,1553453058,406625,2342
X,1553453059,406777,1128
X,1553453059,406728,618
X,1553453060,406749,534
X,1553453060,406855,538
X,1553453061,406860,731
X,1553453061,406836,975
X,1553453062,406974,672
X,1553453063,407489,60147
X,1553453063,410246,23233
X,1553453064,407838,1877
X,1553453064,408746,42332
X,1553453065,406391,35230
X,1553453065,407756,2060
X,1553453066,407754,957
X,1553453067,407875,1211
X,1553453067,407774,473
X,1553453068,407831,872
X,1553453068,407914,762
X,1553453069,407899,911
X,1553453069,407863,635
X,1553453070,407862,668
X,1553453071,407858,511
X,1553453071,407907,420
X,1553453072,407932,813
X,1553453072,407959,1665
X,1553453073,407990,840
X,1553453073,407949,634
X,1553453074,407954,558
X,1553453075,407969,408
A,1553453075,407572,1262
T,1553453075,2871
R,1553453075,700D9B77F
X,1553453076,407968,10116
X,1553453077,408107,1236
P,1553453077,5029
X,1553453078,407970,3186
X,1553453078,407722,603
X,1553453079,407808,742
X,1553453079,407886,574
X,1553453080,407798,861
X,1553453080,407813,503
X,1553453081,407809,581
X,1553453082,407778,612
X,1553453082,407835,692
X,1553453083,407797,513
X,1553453083,407776,1142
X,1553453084,407856,1291
X,1553453084,407977,5009
X,1553453085,407410,3282
X,1553453086,408026,2599
X,1553453086,407897,1515
X,1553453087,407885,433
X,1553453087,407780,3878
X,1553453088,407667,3510
X,1553453088,408231,2812
X,1553453089,407913,4006
X,1553453090,407934,2569
X,1553453090,408051,1318
X,1553453091,407901,2311
X,1553453091,407566,3430
X,1553453091,408178,1943
X,1553453091,408283,1659
X,1553453092,408063,640
X,1553453093,408074,1642
X,1553453093,407918,918
X,1553453094,408066,747
X,1553453094,407989,911
X,1553453095,407986,553
X,1553453095,407997,369
X,1553453096,407974,527
X,1553453097,407882,764
X,1553453097,407856,700
X,1553453098,407929,1153
X,1553453098,407545,2998
X,1553453099,407905,1728
X,1553453099,407832,1109
X,1553453100,407804,730
A,1553453100,407883,344
