4965
P,1553888780,4963
P,1553888809,4966
P,1553888839,4965
P,1553888868,4966
P,1553888897,4964
P,1553888928,4964
P,1553888957,4963
P,1553888986,4965
P,1553889015,4965
P,1553889045,4965
P,1553889074,4964
P,1553889103,4965
P,1553889133,4964
P,1553889162,4965
P,1553889191,4966
P,1553889221,4965
P,1553889251,4965
P,1553889280,4963
P,1553889309,4966
P,1553889339,4964
P,1553889368,4962
P,1553889397,4965
P,1553889426,4963
P,1553889456,4964
P,1553889485,4965
P,1553889515,4961
P,1553889545,4965
P,1553889575,4965
P,1553889604,4965
P,1553889633,4965
P,1553889663,4965
P,1553889692,4964
P,1553889721,4965
D,1553889733,340992
R,1553889733,5C00DDFC91
R,1553889733,5C00DDFC91
R,1553889733,5C00DDFC91
X,1553889734,373237,7920
X,1553889735,374164,2269
X,1553889736,373835,54755
X,1553889736,374663,13357
X,1553889737,374200,3437
X,1553889737,374561,8312
X,1553889738,374361,4085
X,1553889738,374537,1324
X,1553889739,374459,3039
X,1553889740,374462,2318
X,1553889740,374433,1855
X,1553889741,374584,766
X,1553889741,375030,1796
X,1553889742,374602,1730
X,1553889742,374592,2460
X,1553889743,374621,1000
X,1553889744,374865,1254
X,1553889744,375107,2424
X,1553889745,374515,12642
X,1553889745,374981,8519
X,1553889746,374469,5808
X,1553889746,374531,12595
X,1553889747,377959,14941
X,1553889748,377207,34103
X,1553889748,373948,28151
X,1553889749,380737,20178
X,1553889749,379556,24930
X,1553889750,377211,56611
X,1553889750,379017,6183
X,1553889751,379006,3369
P,1553889751,4957
X,1553889752,378935,924
X,1553889752,378827,1348
X,1553889752,378915,917
X,1553889752,378970,2568
X,1553889753,378890,3910
X,1553889753,377674,6152
X,1553889754,378252,10677
X,1553889755,378826,3645
