H,1553907586,147519
X,1553907586,368913,33660
X,1553907587,368428,5573
X,1553907587,368908,1900
X,1553907588,368270,11437
X,1553907588,368715,13334
X,1553907589,368812,14077
X,1553907589,368767,9984
X,1553907590,368649,14322
X,1553907591,369087,13261
X,1553907591,367802,9816
X,1553907592,368605,6192
X,1553907592,368070,2283
X,1553907593,366392,13141
P,1553907593,4861
X,1553907593,370322,15369
X,1553907593,367519,20176
X,1553907594,367125,36248
X,1553907594,369354,24392
X,1553907595,366626,28989
X,1553907595,368393,4159
X,1553907596,368595,1514
X,1553907596,368747,1979
X,1553907597,368591,28142
X,1553907598,368640,11149
X,1553907598,368854,10161
X,1553907599,368028,12271
X,1553907599,368801,11153
X,1553907600,367948,29170
X,1553907600,366994,26773
X,1553907601,368985,15405
X,1553907602,367692,5754
X,1553907602,368187,1127
X,1553907603,368243,6345
X,1553907603,368682,1001
X,1553907604,368246,2088
X,1553907604,367830,8291
X,1553907605,368089,11331
X,1553907606,367759,14769
X,1553907606,368106,11014
X,1553907607,368343,6247
X,1553907607,367785,25099
X,1553907608,367974,7868
X,1553907608,367412,32451
X,1553907609,367667,6359
X,1553907610,368369,1325
X,1553907610,368277,787
X,1553907611,368187,6613
X,1553907611,367662,7040
X,1553907612,368174,7158
X,1553907612,367743,7853
X,1553907613,368558,10257
X,1553907613,368085,12223
X,1553907614,368897,11590
X,1553907615,368358,6991
X,1553907615,368501,3002
X,1553907616,368319,10897
X,1553907616,368654,2454
X,1553907617,368453,6389
X,1553907617,368667,944
A,1553907617,367945,1268
T,1553907618,2797
R,1553907618,5C00DDFC91
X,1553907619,368248,12029
X,1553907620,367506,8842
X,1553907621,367855,7244
X,1553907621,368476,1290
X,1553907622,369030,4200
P,1553907622,4900
X,1553907622,368474,4146
X,1553907623,367862,4180
X,1553907623,368436,10235
X,1553907624,368993,13830
X,1553907625,368343,15007
X,1553907625,367987,18927
X,1553907626,367759,19503
X,1553907626,367949,11690
X,1553907627,368540,6622
X,1553907627,368525,1186
X,1553907628,368640,5824
X,1553907629,367700,19493
X,1553907629,368909,3246
X,1553907630,368660,908
X,1553907630,368071,4142
X,1553907631,368559,17694
X,1553907631,368270,17704
X,1553907632,368924,9226
X,1553907633,367370,10153
X,1553907633,367906,4706
X,1553907634,367710,14418
X,1553907634,368304,9935
X,1553907634,369043,13300
X,1553907634,368984,17658
X,1553907635,367969,5259
X,1553907635,369101,14957
X,1553907636,368211,16514
X,1553907637,369030,25405
X,1553907637,367652,4747
X,1553907638,368248,10191
X,1553907638,368052,2079
X,1553907639,368717,2818
X,1553907639,369048,15332
X,1553907640,367268,3403
X,1553907641,368372,1629
X,1553907641,368620,467
X,1553907642,368553,992
X,1553907642,368712,1039
X,1553907643,368171,1433
X,1553907643,368021,880
X,1553907644,368075,694
X,1553907645,367686,5691
X,1553907645,367737,5636
X,1553907646,368143,14785
X,1553907646,368107,8017
X,1553907647,368769,6591
X,1553907647,368444,5772
X,1553907648,368357,11136
X,1553907649,368250,6017
X,1553907649,368024,4135
X,1553907650,367952,13705
X,1553907650,367976,4617
X,1553907651,367947,1149
P,1553907651,4896
X,1553907651,368617,14362
X,1553907652,369772,21094
X,1553907653,367547,12626
X,1553907653,368097,2835
X,1553907654,367291,4818
X,1553907654,368788,13182
X,1553907655,368817,17578
X,1553907655,368558,13554
X,1553907656,367523,20913
X,1553907657,369202,20225
X,1553907657,368058,14159
X,1553907658,367822,17003
X,1553907658,368596,13274
X,1553907659,368437,9378
X,1553907659,368409,10899
X,1553907660,368280,2083
X,1553907660,368160,10005
X,1553907661,368292,17128
X,1553907662,367563,2625
X,1553907662,367836,1151
X,1553907663,367428,9123
X,1553907663,368561,7623
X,1553907664,368334,10554
X,1553907664,367407,23122
X,1553907665,368335,17418
X,1553907666,369888,14386
X,1553907666,367988,5460
X,1553907667,367883,12486
X,1553907667,368566,20601
X,1553907668,368602,12209
X,1553907668,368323,15777
X,1553907669,368211,6465
X,1553907670,368454,8819
X,1553907670,369135,6997
X,1553907671,368656,8103
X,1553907671,368614,9091
X,1553907672,368969,15486
X,1553907672,367793,28578
X,1553907673,367891,29537
X,1553907674,369107,32906
X,1553907674,368382,22509
X,1553907675,368642,14408
X,1553907675,368409,30960
X,1553907675,369391,29374
X,1553907675,368927,13598
X,1553907676,368058,3889
X,1553907677,368399,1813
X,1553907677,368404,825
X,1553907678,368251,1161
