,4659
D,1554756027,252416
R,1554756027,5C00DDFC91
R,1554756027,5C00DDFC91
R,1554756027,5C00DDFC91
X,1554756029,372673,16656
X,1554756029,372369,37035
X,1554756030,374183,10134
X,1554756031,374958,10073
X,1554756031,375146,4582
X,1554756032,375740,10911
X,1554756032,375646,7496
X,1554756033,375236,2778
X,1554756033,375243,1968
X,1554756034,374961,3140
X,1554756035,376094,9054
X,1554756035,375026,8515
X,1554756036,373069,18172
X,1554756036,378248,20578
X,1554756036,373726,56281
X,1554756036,375001,14632
X,1554756037,373974,9411
X,1554756038,374081,3777
X,1554756038,375061,7146
X,1554756039,374665,2950
X,1554756039,374655,1909
X,1554756040,374587,1436
X,1554756040,374529,1017
X,1554756041,374643,792
X,1554756041,374693,1029
X,1554756042,374520,744
P,1554756042,4649
X,1554756043,374808,519
X,1554756043,375052,1298
X,1554756044,374902,4153
X,1554756044,375256,1863
X,1554756045,375215,673
X,1554756045,375330,1348
X,1554756046,375247,3272
X,1554756047,375465,1286
X,1554756047,375536,901
X,1554756048,375465,592
X,1554756048,375491,594
X,1554756049,375450,1415
X,1554756049,375568,651
X,1554756050,375467,908
X,1554756051,375555,1136
X,1554756051,375552,516
X,1554756052,374725,8623
X,1554756052,375643,4731
X,1554756053,375441,1043
X,1554756053,375278,1046
X,1554756054,375419,1353
X,1554756055,375861,9294
