93,5428
P,1556174922,5430
P,1556174951,5428
P,1556174981,5428
P,1556175010,5427
P,1556175039,5427
P,1556175069,5427
P,1556175098,5428
P,1556175128,5430
P,1556175157,5431
P,1556175187,5428
P,1556175216,5427
P,1556175245,5427
P,1556175275,5428
P,1556175304,5429
P,1556175333,5427
O,1556175346,145864,1359
O,1556175347,146316,688
O,1556175348,146658,492
O,1556175348,146492,689
O,1556175349,146452,427
O,1556175349,146602,843
O,1556175350,146743,627
O,1556175350,146723,282
O,1556175351,146755,357
O,1556175352,146331,438
O,1556175352,146991,591
O,1556175353,147104,275
O,1556175353,147094,273
O,1556175354,147283,413
O,1556175354,146978,755
O,1556175355,147070,368
O,1556175356,147160,324
O,1556175356,147203,311
O,1556175357,147537,324
O,1556175357,147593,165
O,1556175358,147265,363
O,1556175358,147411,364
O,1556175358,146996,636
O,1556175359,146952,866
O,1556175359,146946,473
O,1556175360,146805,1504
O,1556175360,146289,973
O,1556175361,146494,894
O,1556175361,146573,514
O,1556175362,146736,439
P,1556175362,5418
O,1556175362,146813,325
O,1556175363,146923,260
O,1556175364,147129,296
O,1556175364,147227,513
O,1556175365,147196,102
O,1556175365,147289,225
O,1556175366,147312,147
O,1556175366,146876,399
O,1556175367,146875,334
O,1556175368,147005,149
O,1556175368,147187,161
O,1556175369,147408,196
O,1556175369,147519,145
O,1556175370,147556,94
O,1556175370,147285,567
