8,381149,423
X,1556228169,380925,665
X,1556228169,381045,700
X,1556228170,381089,690
X,1556228170,381109,489
X,1556228171,381142,468
X,1556228171,381117,678
X,1556228172,381032,577
X,1556228173,380894,785
X,1556228173,381026,791
X,1556228173,381045,508
X,1556228173,381054,468
X,1556228174,381085,429
X,1556228174,381064,810
X,1556228175,380981,856
X,1556228176,381014,609
A,1556228176,381062,260
T,1556228176,2850
U,1556228176,64657
X,1556228178,380847,779
X,1556228178,380831,680
X,1556228179,380895,726
X,1556228179,380983,574
X,1556228180,381029,609
X,1556228181,381120,526
X,1556228181,381021,593
X,1556228182,380944,1097
X,1556228182,381048,601
X,1556228183,381139,536
X,1556228183,381063,388
X,1556228184,381087,672
X,1556228185,380986,502
X,1556228185,380878,479
X,1556228186,381007,467
X,1556228186,381055,591
X,1556228187,381031,483
X,1556228187,381025,568
X,1556228188,380902,573
X,1556228188,380804,830
X,1556228189,380980,489
A,1556228189,380986,335
T,1556228189,2850
U,1556228190,64657
X,1556228191,381146,608
X,1556228192,381129,625
X,1556228192,381031,454
X,1556228193,381109,609
X,1556228193,381225,387
X,1556228194,381193,563
X,1556228194,381231,629
X,1556228195,381203,774
P,1556228195,5396
X,1556228196,381066,604
X,1556228196,381211,694
X,1556228197,381182,509
X,1556228197,381214,506
X,1556228198,381232,737
X,1556228198,381183,845
X,1556228199,381064,539
X,1556228200,381058,743
X,1556228200,381023,686
X,1556228201,380977,771
X,1556228201,380988,826
X,1556228202,380870,581
A,1556228202,381116,362
T,1556228202,2850
U,1556228202,64657
X,1556228204,381009,711
X,1556228204,380996,730
X,1556228205,380872,786
X,1556228205,381048,795
X,1556228206,381049,469
X,1556228207,380972,633
X,1556228207,380962,565
X,1556228208,381025,839
X,1556228208,380870,766
X,1556228209,381014,584
X,1556228209,380986,549
X,1556228210,381102,400
X,1556228211,381073,625
X,1556228211,381075,679
X,1556228212,380945,610
X,1556228212,381091,374
X,1556228213,381104,561
X,1556228213,381177,463
X,1556228214,381115,481
X,1556228214,381107,536
A,1556228214,381029,307
T,1556228214,2850
U,1556228214,64657
X,1556228216,380984,7303
X,1556228216,380982,2140
X,1556228217,381073,497
X,1556228217,381013,594
X,1556228218,381150,579
X,1556228218,381030,763
X,1556228219,380983,981
X,1556228220,381121,632
X,1556228220,381049,571
X,1556228221,381142,533
X,1556228221,381002,688
X,1556228222,381059,621
X,1556228222,381040,684
X,1556228223,381023,767
X,1556228224,381144,555
X,1556228224,380880,11476
P,1556228224,5398
X,1556228225,380687,26893
X,1556228225,381915,36844
X,1556228226,381073,31996
X,1556228226,382010,26646
X,1556228227,380745,41902
X,1556228228,381012,37560
X,1556228228,380438,44280
X,1556228229,381127,42787
X,1556228229,382658,27356
X,1556228230,382768,25595
X,1556228230,381447,15823
X,1556228231,382052,15251
X,1556228231,381645,17016
X,1556228232,381343,13306
X,1556228233,381135,12348
X,1556228233,381583,14538
X,1556228234,381435,4266
X,1556228234,380770,16151
X,1556228235,381941,14781
X,1556228235,380473,13698
X,1556228236,381086,12284
X,1556228237,381555,3534
X,1556228237,380503,12335
X,1556228238,381235,10578
X,1556228238,381822,9726
X,1556228239,381431,11014
X,1556228239,381740,7135
