,1556778061,194816
D,1556778063,195584
D,1556778065,195584
D,1556778067,195328
D,1556778069,195072
D,1556778072,195328
D,1556778074,195072
P,1556778075,5281
D,1556778076,195584
D,1556778078,195072
D,1556778080,195072
D,1556778083,195072
D,1556778085,195328
D,1556778086,195328
D,1556778088,194816
D,1556778090,195072
D,1556778093,195072
D,1556778095,195328
D,1556778097,195072
D,1556778099,195328
D,1556778101,195584
D,1556778104,195840
P,1556778104,5278
D,1556778106,195584
D,1556778108,195840
D,1556778110,195584
D,1556778112,195072
D,1556778115,194816
D,1556778117,196352
D,1556778119,195072
D,1556778121,194560
D,1556778123,195584
D,1556778126,195840
D,1556778127,196096
D,1556778129,196096
D,1556778131,195584
D,1556778133,195584
P,1556778134,5128
D,1556778136,195840
D,1556778138,195072
D,1556778140,195328
D,1556778142,195328
D,1556778144,195328
D,1556778147,195072
D,1556778149,195328
D,1556778151,195328
D,1556778153,195328
D,1556778155,195328
D,1556778158,195584
D,1556778160,195584
D,1556778162,195328
P,1556778164,5278
D,1556778164,194816
D,1556778166,195584
D,1556778168,195840
D,1556778170,195328
D,1556778172,195072
D,1556778174,195328
D,1556778176,195584
D,1556778179,195328
D,1556778181,195328
D,1556778183,195328
D,1556778185,195328
D,1556778187,195072
D,1556778190,195840
D,1556778192,195328
P,1556778193,5279
D,1556778194,195584
D,1556778196,195584
D,1556778198,194560
D,1556778201,195328
D,1556778203,195072
D,1556778205,194816
D,1556778207,195328
D,1556778209,195584
D,1556778211,195328
D,1556778213,195584
D,1556778215,195328
D,1556778217,194048
D,1556778220,195584
D,1556778222,195328
P,1556778222,5168
D,1556778224,194816
D,1556778226,195328
D,1556778228,195584
D,1556778231,195328
D,1556778233,194560
D,1556778235,194816
D,1556778237,194816
D,1556778239,195584
D,1556778242,195328
D,1556778244,192256
D,1556778246,194816
D,1556778248,195072
D,1556778250,195328
P,1556778251,5276
D,1556778252,194304
D,1556778254,195328
D,1556778256,195072
D,1556778258,195072
D,1556778260,194816
D,1556778263,194304
D,1556778265,195072
D,1556778267,195584
D,1556778269,195072
D,1556778271,194816
D,1556778274,195072
D,1556778276,195072
D,1556778278,195584
D,1556778280,195584
P,1556778281,5276
D,1556778282,195328
D,1556778285,195328
D,1556778287,195072
D,1556778289,194816
D,1556778291,194560
D,1556778292,195072
D,1556778295,194816
D,1556778297,195328
D,1556778299,195328
D,1556778301,194560
D,1556778303,193792
D,1556778306,195328
D,1556778308,195328
D,1556778310,195328
P,1556778310,5120
D,1556778312,195328
D,1556778314,196352
D,1556778317,195840
D,1556778319,194560
D,1556778321,195584
D,1556778323,195584
D,1556778325,195328
D,1556778328,194816
D,1556778330,195584
D,1556778332,195072
D,1556778334,195584
D,1556778336,195328
D,1556778339,195072
P,1556778340,5278
D,1556778341,195584
D,1556778343,195328
D,1556778345,195072
D,1556778347,195072
D,1556778350,194816
D,1556778352,195072
D,1556778354,193792
D,1556778356,195072
D,1556778358,195072
D,1556778361,195328
D,1556778363,195072
D,1556778365,194560
D,1556778367,195328
D,1556778369,194816
P,1556778370,5279
D,1556778372,195584
D,1556778374,194560
D,1556778375,195072
D,1556778377,195072
D,1556778379,195584
D,1556778382,195072
D,1556778384,195072
D,1556778386,194816
D,1556778388,194816
D,1556778390,194816
D,1556778393,195072
D,1556778395,195328
D,1556778397,194560
D,1556778399,195328
P,1556778399,5116
D,1556778401,195584
D,1556778404,195328
D,1556778406,195584
D,1556778408,195072
D,1556778410,195328
D,1556778412,195072
D,1556778415,195328
D,1556778416,195072
D,1556778418,194816
D,1556778420,194560
D,1556778422,194816
D,1556778425,195328
D,1556778427,195328
P,1556778429,5280
D,1556778429,194816
D,1556778431,195072
D,1556778434,195072
D,1556778436,195072
D,1556778438,195584
D,1556778440,192768
D,1556778442,193536
D,1556778445,198912
D,1556778447,198144
D,1556778449,194048
D,1556778451,195072
D,1556778453,193024
D,1556778456,196864
D,1556778457,194560
