6351,194048
D,1557466353,194816
D,1557466355,194048
D,1557466357,194304
D,1557466360,194048
D,1557466362,194560
D,1557466364,194304
P,1557466366,5210
D,1557466366,194560
D,1557466368,194304
D,1557466371,194304
D,1557466373,194048
D,1557466375,194560
D,1557466377,194560
D,1557466379,194048
D,1557466381,193792
D,1557466383,194304
D,1557466385,194304
D,1557466387,193536
D,1557466389,194304
D,1557466392,194560
D,1557466394,195072
P,1557466395,5212
D,1557466396,194048
D,1557466398,194816
D,1557466400,194816
D,1557466403,194816
D,1557466405,194304
D,1557466407,194048
D,1557466409,195072
D,1557466411,194048
D,1557466414,194560
D,1557466416,194304
D,1557466418,194048
D,1557466420,195072
D,1557466421,194048
D,1557466424,194048
P,1557466424,5211
D,1557466426,194304
D,1557466428,193792
D,1557466430,194048
D,1557466432,194048
D,1557466435,195840
D,1557466437,189696
D,1557466439,189184
D,1557466441,193536
D,1557466443,194816
D,1557466446,194560
D,1557466448,192768
D,1557466450,194560
D,1557466452,190208
P,1557466454,5213
D,1557466454,185600
D,1557466457,193280
D,1557466459,191744
D,1557466461,193280
D,1557466462,194048
D,1557466464,194304
D,1557466467,190720
D,1557466469,194304
D,1557466471,194304
D,1557466473,195584
D,1557466475,194048
D,1557466478,195072
D,1557466480,190720
D,1557466482,193792
P,1557466483,5213
D,1557466484,198912
D,1557466486,193536
D,1557466489,195840
D,1557466491,194560
D,1557466493,194048
D,1557466495,192256
D,1557466497,194816
D,1557466500,194560
D,1557466502,192000
D,1557466503,193024
D,1557466505,191488
D,1557466507,195584
D,1557466510,193792
D,1557466512,194304
P,1557466512,5213
D,1557466514,194304
D,1557466516,194304
D,1557466519,194560
D,1557466521,193792
D,1557466523,192768
