57520491,5221
P,1557520520,5222
P,1557520549,5223
P,1557520579,5222
P,1557520609,5221
P,1557520638,5223
P,1557520668,5224
P,1557520697,5223
P,1557520726,5221
P,1557520755,5219
P,1557520785,5222
P,1557520814,5222
P,1557520843,5219
P,1557520873,5222
P,1557520903,5222
P,1557520932,5220
P,1557520961,5223
P,1557520991,5221
P,1557521020,5223
P,1557521049,5223
P,1557521079,5224
P,1557521108,5224
P,1557521137,5220
P,1557521166,5224
P,1557521197,5221
P,1557521226,5222
P,1557521255,5222
P,1557521284,5222
P,1557521314,5222
P,1557521343,5224
P,1557521372,5223
P,1557521402,5221
P,1557521431,5223
P,1557521460,5221
P,1557521490,5222
P,1557521520,5220
P,1557521549,5223
P,1557521578,5223
P,1557521608,5220
P,1557521637,5223
P,1557521666,5220
P,1557521695,5222
P,1557521725,5221
P,1557521754,5223
P,1557521784,5221
P,1557521814,5223
P,1557521843,5223
P,1557521872,5223
P,1557521901,5224
P,1557521931,5222
P,1557521960,5222
P,1557521989,5223
P,1557522019,5222
D,1557522042,184832
R,1557522042,5C00DDFC91
R,1557522042,5C00DDFC91
R,1557522042,5C00DDFC91
X,1557522043,364611,5601
X,1557522044,364176,1399
X,1557522045,364616,24845
X,1557522045,365315,12515
X,1557522046,365361,7126
X,1557522046,366303,9357
X,1557522047,366162,9776
X,1557522047,366505,1414
X,1557522048,366198,4273
P,1557522048,5212
X,1557522049,368679,21597
X,1557522049,366668,8263
X,1557522050,366534,3032
X,1557522050,367008,9169
X,1557522051,366798,9922
X,1557522051,366904,11813
X,1557522052,365673,18872
X,1557522053,365896,2700
X,1557522053,366217,4590
X,1557522054,366204,1499
X,1557522054,366190,1621
X,1557522055,366514,5743
X,1557522055,366875,8092
X,1557522056,367502,3813
X,1557522057,367227,2354
X,1557522057,367525,2030
X,1557522058,367322,1479
X,1557522058,367212,1351
X,1557522059,367338,1997
X,1557522059,367248,1015
X,1557522060,367159,1246
X,1557522060,367278,900
X,1557522061,366984,2111
X,1557522062,367162,765
X,1557522062,367362,6932
X,1557522063,368009,15251
X,1557522063,363435,3422
X,1557522063,363126,53391
X,1557522063,366955,36736
X,1557522064,367926,33328
X,1557522065,365777,25042
X,1557522065,367685,15297
X,1557522066,368653,37361
X,1557522066,366082,56229
X,1557522067,368178,11513
X,1557522067,366335,14410
X,1557522068,367115,10142
X,1557522069,367348,6846
X,1557522069,366931,1882
X,1557522070,367043,2127
X,1557522070,367067,3611
X,1557522071,366886,2283
X,1557522071,366881,1325
X,1557522072,366799,3149
X,1557522073,366961,1461
X,1557522073,367467,6394
X,1557522074,367009,1451
X,1557522074,366920,1864
X,1557522075,367128,2187
X,1557522075,367102,1082
X,1557522076,367203,1397
X,1557522077,367146,785
X,1557522077,367197,1269
P,1557522078,5212
X,1557522078,367225,1229
X,1557522078,367200,814
X,1557522079,367239,820
X,1557522079,367272,594
X,1557522080,367122,1383
X,1557522081,367090,745
X,1557522081,367223,558
X,1557522082,367264,1728
X,1557522082,367324,3362
X,1557522083,367284,1559
X,1557522083,367282,22288
X,1557522084,367055,1012
X,1557522085,367271,638
X,1557522085,367236,657
