1558753397,268800
D,1558753399,269056
P,1558753401,5396
D,1558753401,269568
D,1558753404,269056
D,1558753406,268032
P,1558753430,5395
P,1558753460,5396
P,1558753489,5396
P,1558753518,5397
P,1558753547,5398
P,1558753577,5397
P,1558753606,5395
P,1558753635,5398
P,1558753665,5397
P,1558753695,5395
P,1558753724,5397
P,1558753753,5397
P,1558753783,5396
P,1558753812,5396
P,1558753841,5396
P,1558753870,5397
P,1558753900,5396
P,1558753929,5396
P,1558753959,5397
P,1558753989,5395
P,1558754018,5398
P,1558754047,5396
P,1558754076,5397
P,1558754106,5396
P,1558754135,5398
P,1558754164,5395
P,1558754194,5396
P,1558754223,5398
P,1558754254,5398
P,1558754283,5396
P,1558754313,5397
P,1558754342,5395
P,1558754371,5398
P,1558754401,5397
P,1558754430,5395
P,1558754459,5397
P,1558754488,5396
P,1558754518,5397
P,1558754548,5395
P,1558754577,5396
P,1558754607,5397
P,1558754636,5397
P,1558754665,5395
P,1558754694,5398
P,1558754724,5397
P,1558754753,5398
O,1558754757,144254,718
O,1558754758,144297,187
O,1558754759,144317,77
O,1558754759,144287,102
O,1558754760,144394,111
O,1558754760,144452,153
O,1558754761,144492,63
O,1558754761,144479,73
O,1558754762,144468,106
O,1558754763,144454,102
O,1558754763,144439,46
O,1558754764,144467,81
O,1558754764,144466,100
O,1558754765,144480,106
O,1558754765,144502,106
O,1558754766,144484,85
O,1558754767,144509,81
O,1558754767,144509,134
O,1558754768,144495,73
O,1558754768,144489,105
O,1558754769,144464,95
O,1558754769,144481,111
O,1558754770,144491,76
O,1558754770,144492,108
O,1558754771,144491,84
O,1558754772,144485,126
O,1558754772,144478,49
O,1558754773,144484,83
O,1558754773,144484,132
O,1558754773,144477,96
O,1558754773,144471,99
O,1558754774,144506,119
O,1558754775,144489,97
O,1558754775,144508,118
O,1558754776,144491,73
O,1558754776,144486,131
O,1558754777,144475,109
O,1558754777,144490,106
O,1558754778,144463,113
O,1558754779,144463,144
O,1558754779,144470,88
O,1558754780,144458,111
O,1558754780,144493,107
O,1558754781,144482,137
O,1558754781,144435,73
O,1558754782,144441,158
P,1558754782,5384
O,1558754783,144476,89
O,1558754783,144466,115
O,1558754784,144453,97
O,1558754784,144452,77
O,1558754785,144451,99
O,1558754785,144456,47
O,1558754786,144453,99
O,1558754787,144438,107
O,1558754787,144432,113
O,1558754788,144416,108
O,1558754788,144387,66
O,1558754789,144419,107
O,1558754789,144412,99
O,1558754790,144412,134
O,1558754791,144402,136
O,1558754791,144419,193
O,1558754792,144421,91
O,1558754792,144446,80
O,1558754793,144419,80
O,1558754793,144402,92
O,1558754794,144405,61
O,1558754795,144410,140
O,1558754795,144393,107
O,1558754796,144425,97
O,1558754796,144419,146
O,1558754797,144415,128
O,1558754797,144384,82
O,1558754798,144368,75
O,1558754798,144399,85
O,1558754799,144453,91
O,1558754800,144448,71
O,1558754800,144461,111
O,1558754801,144442,125
O,1558754801,144433,54
O,1558754802,144427,132
O,1558754802,144416,113
