59351350,5244
P,1559351380,5241
P,1559351409,5242
P,1559351438,5241
D,1559351445,253696
R,1559351445,5C00DDFC91
R,1559351445,5C00DDFC91
R,1559351445,5C00DDFC91
X,1559351446,364200,36144
X,1559351447,364563,2585
X,1559351448,364282,3127
X,1559351448,364419,1888
X,1559351449,364662,2604
X,1559351449,364851,1859
X,1559351450,364797,3392
X,1559351450,364573,2202
X,1559351451,364906,5438
X,1559351452,364562,5243
X,1559351452,364631,2789
X,1559351453,365030,2100
X,1559351453,364802,2018
X,1559351454,364857,1295
X,1559351454,365465,1630
X,1559351455,365632,2165
X,1559351456,365524,1995
X,1559351456,365843,4174
X,1559351457,365939,3593
X,1559351457,365572,1833
X,1559351458,365500,3363
X,1559351458,365519,3099
X,1559351459,365403,2899
X,1559351459,365526,3105
X,1559351460,365353,5403
X,1559351461,365912,25657
X,1559351461,366519,43758
X,1559351462,366377,7152
X,1559351462,366260,42436
X,1559351463,366900,56980
X,1559351463,364388,55945
X,1559351464,366887,23038
X,1559351465,363527,34603
X,1559351465,364218,27438
X,1559351466,363940,26760
X,1559351466,365246,44376
X,1559351467,364837,28690
X,1559351467,365206,6995
X,1559351468,365304,2977
P,1559351468,5234
X,1559351469,365272,1053
X,1559351469,365562,1277
X,1559351470,365238,1869
X,1559351470,365254,2911
X,1559351471,364162,3345
X,1559351471,364660,4001
X,1559351472,364664,987
X,1559351472,364871,893
X,1559351472,365235,2928
X,1559351473,364962,1445
X,1559351473,364905,1426
X,1559351474,365017,2801
X,1559351474,364985,1214
X,1559351475,365172,1068
X,1559351476,365475,1022
X,1559351476,365116,1795
X,1559351477,364690,2216
X,1559351477,365051,953
X,1559351478,365111,780
X,1559351478,365243,2028
X,1559351479,365188,1004
X,1559351480,365432,1186
X,1559351480,365606,2835
X,1559351481,365436,1268
X,1559351481,365369,1386
X,1559351482,365318,2021
X,1559351482,365437,992
X,1559351483,365811,1324
X,1559351483,365735,2711
X,1559351484,365319,1006
X,1559351485,365580,1105
X,1559351485,365611,2603
X,1559351486,365426,845
X,1559351486,365673,734
X,1559351487,365665,2711
X,1559351487,365626,1693
X,1559351488,365511,13019
X,1559351489,365635,2815
X,1559351489,365459,1250
X,1559351490,365691,1124
X,1559351490,365589,2674
X,1559351491,365317,1115
X,1559351491,365506,611
X,1559351492,365380,1400
X,1559351493,365583,1199
X,1559351493,365735,886
X,1559351494,365696,1917
X,1559351494,365535,1127
X,1559351495,365445,3004
X,1559351495,365950,2979
X,1559351496,365553,1089
X,1559351497,365671,1079
X,1559351497,365507,4035
