19422526,5220
P,1559422555,5255
P,1559422584,5256
P,1559422614,5258
P,1559422643,5258
P,1559422672,5259
P,1559422702,5259
P,1559422732,5256
P,1559422761,5256
P,1559422790,5256
P,1559422820,5258
P,1559422849,5257
P,1559422878,5260
P,1559422907,5258
P,1559422937,5257
P,1559422966,5258
P,1559422995,5255
P,1559423026,5257
D,1559423053,155136
R,1559423053,5C00DDFC91
R,1559423054,5C00DDFC91
R,1559423054,5C00DDFC91
P,1559423055,5259
X,1559423055,344631,47175
X,1559423056,348859,21457
X,1559423056,347144,31239
X,1559423057,348414,4034
X,1559423058,348961,6443
X,1559423058,347649,5276
X,1559423059,348095,1080
X,1559423059,347682,2934
X,1559423060,348313,2328
X,1559423060,348227,1681
X,1559423061,348074,3089
X,1559423061,348211,1708
X,1559423062,348251,1251
X,1559423063,348727,5647
X,1559423063,348097,3712
X,1559423064,347947,1895
X,1559423064,346074,15692
X,1559423065,349953,11392
X,1559423065,349465,2587
X,1559423066,349645,33777
X,1559423067,349906,3511
X,1559423067,349556,1344
X,1559423068,349478,1530
X,1559423068,349500,1550
X,1559423069,349426,2575
X,1559423069,349454,1898
X,1559423070,349390,1468
X,1559423071,349309,4217
X,1559423071,348769,2934
X,1559423071,348510,27742
X,1559423071,349096,9249
X,1559423072,349724,2563
X,1559423072,349642,1119
X,1559423073,349541,1297
X,1559423074,349385,1099
X,1559423074,349322,2546
X,1559423075,349444,1350
X,1559423075,349593,3788
X,1559423076,348759,18540
X,1559423076,348009,13385
X,1559423077,348887,27382
X,1559423078,348856,8729
X,1559423078,348702,7459
X,1559423079,348925,3149
X,1559423079,349254,5672
X,1559423080,349154,14283
X,1559423080,349348,28787
X,1559423081,349952,7119
X,1559423082,349412,8499
X,1559423082,350030,13843
X,1559423083,349426,5836
X,1559423083,349214,16370
P,1559423084,5247
X,1559423084,349667,2710
X,1559423084,348747,12761
X,1559423085,349743,15769
X,1559423085,349181,11293
X,1559423086,348779,13670
X,1559423087,350329,12382
X,1559423087,349477,6451
X,1559423088,349379,17844
X,1559423088,349017,20378
X,1559423089,348809,14538
X,1559423089,349447,10629
X,1559423090,348411,7976
X,1559423091,349403,2398
X,1559423091,349747,1455
X,1559423092,349965,4346
X,1559423092,350017,1932
X,1559423093,349861,1170
X,1559423093,349793,617
