6387588,1239
P,1559690484,5195
X,1559690484,387367,1904
X,1559690485,387624,1281
X,1559690486,387579,1631
X,1559690486,387434,1407
X,1559690487,387775,2997
X,1559690487,387623,1243
X,1559690488,387433,1242
X,1559690488,387742,2168
X,1559690489,387742,1110
X,1559690490,387447,1835
X,1559690490,387792,2105
X,1559690491,387727,1312
X,1559690491,387750,2112
X,1559690492,387524,1872
X,1559690492,387128,1880
X,1559690493,387538,2099
X,1559690494,387492,1432
X,1559690494,387212,2128
X,1559690495,387718,2439
X,1559690495,387765,1256
X,1559690496,387434,1253
X,1559690496,387716,2300
X,1559690497,387674,1403
X,1559690498,387406,1380
X,1559690498,387618,1319
X,1559690499,387649,1330
X,1559690499,387539,1150
X,1559690500,387615,1166
X,1559690500,387805,1706
X,1559690501,387678,1152
X,1559690502,387479,1564
X,1559690502,387789,1854
X,1559690503,387736,1101
X,1559690503,387526,1065
X,1559690504,387607,2066
X,1559690504,387779,1690
X,1559690505,387730,1181
X,1559690505,387637,1363
X,1559690506,387633,1503
X,1559690507,388453,4204
X,1559690507,386820,24100
X,1559690508,386845,17857
X,1559690508,390643,35321
X,1559690509,387030,9625
X,1559690509,386442,14460
X,1559690510,387089,6448
X,1559690511,387101,1607
X,1559690511,387048,1258
X,1559690512,387181,872
X,1559690512,387486,1251
X,1559690513,387560,3708
X,1559690513,387190,2166
X,1559690514,387281,1150
P,1559690514,5195
X,1559690515,387212,7892
X,1559690515,387263,2070
X,1559690516,387252,1562
X,1559690516,387309,1138
X,1559690517,387466,1674
X,1559690517,387349,1481
X,1559690518,387507,1521
X,1559690519,387452,774
X,1559690519,387365,2769
X,1559690520,387053,10043
X,1559690520,387420,18878
X,1559690521,388222,40730
X,1559690521,386217,17406
X,1559690522,387056,3684
X,1559690523,386668,7539
X,1559690523,387037,9893
X,1559690524,387057,12120
X,1559690524,387046,2683
X,1559690525,386887,1873
X,1559690525,387294,847
X,1559690525,387145,1073
X,1559690526,386868,930
X,1559690526,386833,1048
X,1559690527,387049,850
X,1559690527,387073,1400
X,1559690528,387038,717
X,1559690528,387074,609
X,1559690529,387005,1036
X,1559690530,387178,741
X,1559690530,387146,9979
X,1559690531,386821,2454
