1T,1559699835,2933
X,1559699836,392437,2633
X,1559699836,392259,1051
X,1559699837,392168,862
X,1559699837,392165,650
X,1559699838,392245,764
X,1559699838,392344,818
X,1559699839,392329,953
X,1559699840,392436,630
X,1559699840,392260,13115
X,1559699841,392249,971
X,1559699841,392270,636
X,1559699842,392288,4238
X,1559699842,392281,660
X,1559699843,392290,1039
X,1559699844,392302,978
X,1559699844,392101,699
X,1559699845,392591,3874
X,1559699845,391494,3410
X,1559699846,391979,900
X,1559699846,392122,1396
X,1559699847,392002,744
X,1559699848,392020,823
X,1559699848,392050,580
X,1559699849,391975,704
X,1559699849,392036,626
X,1559699850,392229,827
X,1559699850,392240,1184
X,1559699851,392250,832
X,1559699852,392227,848
A,1559699852,392182,461
T,1559699852,2933
X,1559699853,392224,803
X,1559699854,392296,933
X,1559699855,392574,7115
X,1559699855,391952,3751
X,1559699856,392307,812
X,1559699856,392410,574
X,1559699857,392368,799
X,1559699857,392365,874
X,1559699858,392291,548
X,1559699859,392440,1365
X,1559699859,391782,4059
X,1559699860,392395,957
X,1559699860,392435,1061
X,1559699861,392418,1181
P,1559699861,5182
X,1559699861,392372,663
X,1559699862,392319,820
X,1559699863,392150,2888
X,1559699863,392244,1777
X,1559699864,392505,1148
X,1559699864,392413,975
X,1559699865,392389,687
X,1559699865,392468,774
X,1559699866,392412,821
X,1559699867,392484,1031
X,1559699867,392519,681
X,1559699868,392482,1252
X,1559699868,392626,518
X,1559699869,392621,929
X,1559699869,392568,800
X,1559699870,392602,895
X,1559699871,392642,1061
X,1559699871,392636,367
A,1559699871,392430,412
T,1559699871,2933
X,1559699873,392595,656
X,1559699874,392532,790
X,1559699874,392489,1077
X,1559699875,392635,772
X,1559699875,392589,1045
X,1559699876,392550,832
X,1559699876,392542,613
X,1559699876,392479,861
X,1559699877,392535,817
X,1559699877,392578,913
X,1559699878,392515,742
X,1559699878,392535,717
X,1559699879,392550,749
X,1559699879,392489,708
X,1559699880,392517,713
X,1559699881,392482,1181
X,1559699881,392501,1348
X,1559699882,392524,784
