142,2917
R,1559775643,5C00DDFC91
X,1559775644,361408,11202
X,1559775645,360279,2361
X,1559775645,360818,842
X,1559775646,357847,7744
X,1559775647,358137,3378
X,1559775647,358342,3755
X,1559775648,359852,2755
X,1559775648,360740,770
X,1559775649,359478,2136
X,1559775649,359394,1258
X,1559775650,359290,2855
P,1559775650,5141
X,1559775651,357681,3504
X,1559775651,357798,3489
X,1559775652,356950,4509
X,1559775652,356218,7915
X,1559775653,356161,8891
X,1559775653,356624,7850
X,1559775654,357826,7384
X,1559775654,354852,17018
X,1559775655,351962,25639
X,1559775656,358932,31654
X,1559775656,355372,20657
X,1559775657,357255,47399
X,1559775657,356685,5211
X,1559775657,354988,9680
X,1559775657,356894,2171
X,1559775658,357281,7989
X,1559775659,357531,2150
X,1559775659,355255,4232
X,1559775660,355604,2218
X,1559775660,354562,2221
X,1559775661,352252,10349
X,1559775661,348440,6291
X,1559775662,352373,8323
X,1559775663,354710,16664
X,1559775663,354714,5921
X,1559775664,357244,1802
X,1559775664,355145,4910
X,1559775665,354502,3956
X,1559775665,355437,1346
X,1559775666,353072,6792
X,1559775667,353229,4344
X,1559775667,355843,5090
X,1559775668,356680,1374
X,1559775668,357748,5737
X,1559775669,357981,1815
X,1559775669,358108,804
X,1559775670,357919,1319
X,1559775671,358845,964
X,1559775671,358888,632
X,1559775672,358258,969
X,1559775672,357559,1114
X,1559775673,357884,1483
X,1559775673,357010,3236
X,1559775674,356762,2224
X,1559775675,357444,2595
X,1559775675,354832,4531
X,1559775676,353169,8623
X,1559775676,354538,5616
X,1559775677,355247,2985
X,1559775677,355088,4797
X,1559775678,356631,2045
X,1559775679,357428,1344
P,1559775679,5172
X,1559775679,357295,1469
X,1559775680,357186,1366
X,1559775680,357488,1751
X,1559775681,357830,1282
X,1559775681,358003,997
X,1559775682,357943,862
X,1559775682,358314,1490
X,1559775683,358230,1698
X,1559775684,357427,743
X,1559775684,357020,976
X,1559775685,357183,3120
X,1559775685,356998,1930
X,1559775686,358530,17662
X,1559775686,358323,5834
X,1559775687,358436,1712
X,1559775688,358737,1835
X,1559775688,358305,1339
