X
P,1560637768,5089
X,1560637769,366830,612
X,1560637769,366848,683
X,1560637770,366859,843
X,1560637770,366902,659
X,1560637771,366917,486
X,1560637772,366844,681
X,1560637772,366818,587
X,1560637773,366815,529
X,1560637773,366728,2112
X,1560637774,366968,527
X,1560637774,366904,1249
X,1560637775,366997,1032
X,1560637776,367001,412
X,1560637776,367002,832
X,1560637777,366981,1130
X,1560637777,367018,745
X,1560637778,366970,1049
X,1560637778,366929,827
X,1560637779,366950,614
A,1560637779,366870,359
T,1560637779,2881
R,1560637779,5C00DDFC91
X,1560637781,367078,604
X,1560637781,366951,1515
X,1560637782,367026,2565
X,1560637783,366983,976
X,1560637783,367003,617
X,1560637784,366962,615
X,1560637784,367018,780
X,1560637785,367064,600
X,1560637785,367120,712
X,1560637786,367068,1107
X,1560637787,366972,621
X,1560637787,367020,677
X,1560637788,367010,604
X,1560637788,367020,557
X,1560637789,367046,714
X,1560637789,367022,863
X,1560637790,366938,843
X,1560637791,366981,751
X,1560637791,366996,488
X,1560637792,366992,612
X,1560637792,367002,1182
X,1560637793,367003,744
X,1560637793,366929,765
X,1560637794,366972,876
A,1560637794,367006,191
T,1560637794,2881
R,1560637794,5C00DDFC91
X,1560637796,366990,1674
X,1560637796,367036,875
X,1560637797,366995,1437
X,1560637798,366899,1209
X,1560637798,367062,1638
P,1560637799,5128
X,1560637799,367025,670
X,1560637799,366993,1006
X,1560637800,367000,845
X,1560637800,366974,813
X,1560637801,366990,617
X,1560637802,367050,423
X,1560637802,367025,495
X,1560637803,367022,809
X,1560637803,367024,929
X,1560637804,367048,699
X,1560637804,367009,864
X,1560637805,367012,473
X,1560637805,366970,715
X,1560637805,366947,553
X,1560637806,366927,177
X,1560637806,366867,677
X,1560637807,366992,650
