6560649997,5137
P,1560650027,5138
P,1560650056,5135
P,1560650085,5136
P,1560650114,5136
P,1560650145,5135
P,1560650174,5137
P,1560650203,5135
P,1560650233,5137
O,1560650236,148783,909
O,1560650237,148845,50
O,1560650237,148852,124
O,1560650238,148831,135
O,1560650239,148841,94
O,1560650239,148866,73
O,1560650240,148842,93
O,1560650240,148856,131
O,1560650241,148842,100
O,1560650241,148819,117
O,1560650242,148802,46
O,1560650243,148846,116
O,1560650243,148847,91
O,1560650244,148836,166
O,1560650244,148853,61
O,1560650245,148857,144
O,1560650245,148847,143
O,1560650246,148839,103
O,1560650247,148795,149
O,1560650247,148800,75
O,1560650248,148786,117
O,1560650248,148789,109
O,1560650249,148764,97
O,1560650249,148756,135
O,1560650250,148755,80
O,1560650250,148796,163
O,1560650251,148824,146
O,1560650252,148798,59
O,1560650252,148741,84
O,1560650253,148756,105
O,1560650253,148794,96
O,1560650254,148810,79
O,1560650254,148836,64
O,1560650255,148844,73
O,1560650256,148825,89
O,1560650256,148853,125
O,1560650257,148853,52
O,1560650257,148853,75
O,1560650258,148816,129
O,1560650258,148836,123
O,1560650259,148845,143
O,1560650260,148820,72
O,1560650260,148811,86
O,1560650261,148820,99
O,1560650261,148821,129
O,1560650262,148795,150
P,1560650262,5126
O,1560650262,148803,104
O,1560650263,148790,153
O,1560650264,148828,103
O,1560650264,148812,110
O,1560650265,148855,82
O,1560650265,148858,160
O,1560650266,148814,168
O,1560650266,148696,172
O,1560650267,148759,106
O,1560650268,148782,98
O,1560650268,148879,86
O,1560650269,148920,105
O,1560650269,148859,93
O,1560650270,148806,150
O,1560650270,148772,117
O,1560650271,148770,121
O,1560650272,148803,96
O,1560650272,148770,91
O,1560650273,148742,120
O,1560650273,148799,145
O,1560650274,148853,121
O,1560650274,148866,124
O,1560650274,148862,107
O,1560650275,148837,139
O,1560650275,148813,133
