,145742,181
O,1561053246,145775,83
O,1561053246,145767,117
O,1561053247,145793,107
O,1561053248,145832,228
O,1561053248,145827,128
O,1561053249,145854,109
P,1561053249,5143
O,1561053249,145876,94
O,1561053250,145883,129
O,1561053250,145852,139
O,1561053251,145833,84
O,1561053252,145864,114
O,1561053252,145843,64
O,1561053253,145817,121
O,1561053253,145830,76
O,1561053254,145787,59
O,1561053254,145802,76
O,1561053255,145816,83
O,1561053256,145761,151
O,1561053256,145775,98
O,1561053256,145794,128
O,1561053256,145798,93
O,1561053257,145767,114
O,1561053257,145766,68
O,1561053258,145771,103
O,1561053259,145810,84
O,1561053259,145823,64
O,1561053260,145802,97
O,1561053260,145805,114
O,1561053261,145803,159
O,1561053261,145810,122
O,1561053262,145819,100
O,1561053263,145807,115
O,1561053263,145783,86
O,1561053264,145803,53
O,1561053264,145802,139
O,1561053265,145825,69
O,1561053265,145808,117
O,1561053266,145837,138
O,1561053266,145814,106
O,1561053267,145804,82
O,1561053268,145805,118
O,1561053268,145815,88
O,1561053269,145794,84
O,1561053269,145793,88
O,1561053270,145803,118
O,1561053270,145817,118
O,1561053271,145834,99
O,1561053272,145819,93
O,1561053272,145852,94
O,1561053273,145818,152
O,1561053273,145802,219
O,1561053274,145812,132
O,1561053274,145820,111
O,1561053275,145828,64
O,1561053276,145815,159
O,1561053276,145785,197
O,1561053277,145794,97
O,1561053277,145794,83
O,1561053278,145783,110
P,1561053278,5143
O,1561053278,145780,207
O,1561053279,145789,118
O,1561053280,145763,100
O,1561053280,145778,156
O,1561053281,145761,87
O,1561053281,145799,158
O,1561053282,145769,158
O,1561053282,145741,143
O,1561053283,145719,134
O,1561053284,145702,98
O,1561053284,145690,163
O,1561053285,145679,267
O,1561053285,145714,227
O,1561053286,145709,142
O,1561053286,145752,104
O,1561053287,145801,218
