
62010967,5143
P,1562010997,5142
P,1562011026,5142
P,1562011055,5141
P,1562011084,5142
P,1562011114,5144
P,1562011144,5138
P,1562011173,5142
P,1562011203,5142
P,1562011232,5141
P,1562011261,5140
P,1562011290,5142
P,1562011320,5143
P,1562011349,5144
P,1562011378,5140
P,1562011408,5143
P,1562011438,5141
P,1562011467,5143
P,1562011496,5143
P,1562011526,5140
P,1562011555,5143
P,1562011584,5142
P,1562011613,5143
P,1562011643,5141
P,1562011672,5140
P,1562011701,5141
P,1562011732,5143
P,1562011761,5143
D,1562011774,263424
D,1562011776,254720
R,1562011776,5C00DDFC91
R,1562011776,5C00DDFC91
R,1562011776,5C00DDFC91
X,1562011777,356774,4119
X,1562011777,355635,25380
X,1562011778,356166,5459
X,1562011778,355717,3504
X,1562011779,356255,2803
X,1562011779,356595,1337
X,1562011780,356399,1284
X,1562011781,356736,1242
X,1562011781,356407,1656
X,1562011782,356693,4856
X,1562011782,356900,4497
X,1562011783,358404,3627
X,1562011783,357465,19542
X,1562011784,357665,1405
X,1562011785,357547,1161
X,1562011785,357471,1263
X,1562011786,357280,1282
X,1562011786,357562,1396
X,1562011787,357340,2746
X,1562011787,357460,1184
X,1562011788,357716,478
X,1562011789,357988,964
X,1562011789,357793,2121
X,1562011790,358364,2307
P,1562011790,5131
X,1562011790,357714,1617
X,1562011791,356946,1273
X,1562011791,356742,1252
X,1562011792,357351,2061
X,1562011793,359335,445
X,1562011793,359297,1323
X,1562011794,358648,1065
X,1562011794,357678,1738
X,1562011795,357555,829
X,1562011795,357816,1402
X,1562011796,358135,1411
X,1562011796,358220,677
X,1562011797,358506,709
X,1562011798,358496,1480
X,1562011798,358429,845
X,1562011799,358664,1726
X,1562011799,356195,3188
X,1562011800,397851,37198
