
62735736,5082
P,1562735765,5085
P,1562735794,5083
P,1562735824,5081
P,1562735853,5085
P,1562735883,5084
P,1562735912,5084
P,1562735942,5084
P,1562735971,5082
P,1562736000,5084
P,1562736029,5081
P,1562736059,5084
P,1562736088,5082
P,1562736117,5083
P,1562736147,5084
P,1562736177,5083
P,1562736206,5082
P,1562736235,5084
P,1562736265,5083
P,1562736294,5083
P,1562736323,5082
P,1562736353,5081
P,1562736382,5083
P,1562736411,5081
P,1562736440,5083
P,1562736471,5082
P,1562736500,5083
P,1562736529,5082
P,1562736559,5082
P,1562736588,5084
P,1562736617,5082
P,1562736646,5085
P,1562736676,5085
P,1562736705,5083
P,1562736734,5082
P,1562736765,5082
P,1562736794,5083
P,1562736823,5085
O,1562736842,143615,907
O,1562736842,143704,511
O,1562736843,143740,429
O,1562736843,144501,362
O,1562736844,144488,413
O,1562736844,143820,1366
O,1562736845,142481,1926
O,1562736845,142179,2031
O,1562736846,142988,742
O,1562736847,143223,1481
O,1562736847,143446,455
O,1562736848,143650,1293
O,1562736848,143182,1406
O,1562736849,142402,2245
O,1562736849,142401,910
O,1562736849,142476,1195
O,1562736850,142156,2607
O,1562736850,142653,2636
O,1562736851,142619,797
O,1562736851,141631,954
P,1562736852,5073
O,1562736852,141818,894
O,1562736852,141662,3658
O,1562736853,142380,2902
O,1562736854,143151,1388
O,1562736854,143573,1343
O,1562736855,143183,1459
O,1562736855,143489,980
O,1562736856,143698,751
O,1562736856,144140,510
O,1562736857,144798,721
O,1562736858,144427,550
O,1562736858,143460,1344
O,1562736859,143434,1089
O,1562736859,142719,508
O,1562736860,143429,982
O,1562736860,143720,331
O,1562736861,143457,462
O,1562736862,143915,790
O,1562736862,144280,1208
O,1562736863,144602,828
O,1562736863,145292,552
O,1562736864,145205,699
