,
P,1563036156,5096
P,1563036185,5095
P,1563036216,5093
P,1563036245,5095
P,1563036275,5096
P,1563036304,5095
P,1563036333,5092
P,1563036362,5096
P,1563036392,5094
P,1563036421,5091
P,1563036450,5095
P,1563036480,5094
P,1563036510,5094
P,1563036539,5093
P,1563036568,5093
P,1563036598,5093
P,1563036627,5093
P,1563036656,5096
P,1563036686,5095
P,1563036715,5095
P,1563036744,5094
P,1563036773,5095
P,1563036804,5094
P,1563036833,5092
P,1563036862,5093
P,1563036892,5093
P,1563036921,5093
P,1563036950,5094
P,1563036979,5094
P,1563037009,5094
O,1563037026,141181,1860
O,1563037027,142088,1393
O,1563037027,142873,418
O,1563037028,142333,1036
O,1563037028,141478,1492
O,1563037029,141591,759
O,1563037029,142265,430
O,1563037030,142009,664
O,1563037031,142459,428
O,1563037031,142961,653
O,1563037032,143244,271
O,1563037032,143249,121
O,1563037033,142932,250
O,1563037033,142695,292
O,1563037034,142775,355
O,1563037035,143004,453
O,1563037035,142430,930
O,1563037036,141256,1091
O,1563037036,142089,1756
O,1563037037,142301,1429
O,1563037037,141604,934
O,1563037038,140439,1503
P,1563037038,5084
O,1563037039,140970,1289
O,1563037039,139588,1198
O,1563037040,140023,2155
O,1563037040,140955,2924
O,1563037041,139644,2701
O,1563037041,140106,1640
O,1563037042,138765,2602
O,1563037043,137052,3675
O,1563037043,140585,2456
O,1563037044,139556,3331
O,1563037044,137835,3102
O,1563037045,138087,3079
O,1563037045,138874,1703
O,1563037046,138343,1768
O,1563037046,138135,5378
O,1563037047,137782,7778
O,1563037048,141180,1848
O,1563037048,141504,675
O,1563037049,141622,476
O,1563037049,141471,1353
O,1563037050,140270,1561
O,1563037050,140953,994
O,1563037051,140852,994
O,1563037052,142179,1254
O,1563037052,140965,2485
O,1563037053,140370,2528
O,1563037053,142031,1008
O,1563037054,139281,4563
O,1563037054,140403,3789
O,1563037055,140603,2162
O,1563037056,142272,1874
O,1563037056,140865,3854
O,1563037057,142073,954
O,1563037057,141635,2838
O,1563037058,140832,2034
O,1563037058,142120,3933
O,1563037059,143686,1650
O,1563037059,140670,4321
O,1563037059,141045,3849
O,1563037060,143029,582
O,1563037060,142904,674
O,1563037061,141140,2167
O,1563037061,141944,899
O,1563037062,140639,3164
O,1563037063,138755,2316
O,1563037063,136748,3279
O,1563037064,135838,2396
O,1563037064,138316,4205
O,1563037065,137302,3275
O,1563037065,136917,2123
O,1563037066,136986,1818
O,1563037067,137225,1745
O,1563037067,137494,2633
P,1563037067,5083
O,1563037068,136049,5928
O,1563037068,137408,2469
O,1563037069,138560,2339
O,1563037069,139668,4095
O,1563037070,140290,2948
O,1563037070,140811,1164
O,1563037071,140946,1184
O,1563037072,141779,1174
O,1563037072,142243,590
O,1563037073,139972,3770
O,1563037073,137730,2806
O,1563037074,138837,1851
O,1563037074,138991,2876
O,1563037075,139774,2605
O,1563037076,140333,1593
