X4017386,144763,429
X,1564017387,144685,180
X,1564017387,144701,210
X,1564017388,144705,117
X,1564017388,144630,220
X,1564017389,144563,154
X,1564017390,144456,186
X,1564017390,144263,161
O,1564017391,144081,190
O,1564017391,144030,413
O,1564017392,143983,249
O,1564017392,143897,136
P,1564017393,5076
O,1564017393,144170,324
O,1564017393,144250,271
O,1564017394,144176,389
O,1564017395,143853,395
O,1564017395,144225,191
O,1564017396,144209,116
O,1564017396,144284,227
O,1564017397,144381,171
O,1564017397,144429,180
O,1564017397,144322,184
O,1564017398,144327,178
O,1564017398,144325,145
O,1564017399,144256,129
O,1564017399,144126,173
O,1564017400,144187,120
O,1564017400,144028,276
O,1564017401,144234,127
O,1564017402,144159,284
O,1564017402,143597,507
O,1564017403,143838,711
O,1564017403,144186,162
O,1564017404,144097,242
O,1564017404,143761,372
O,1564017405,143842,206
O,1564017406,143931,147
O,1564017406,143774,455
O,1564017407,143803,383
O,1564017407,143953,247
O,1564017408,144160,148
O,1564017408,144210,144
O,1564017409,144225,252
O,1564017410,144067,280
O,1564017410,144054,147
O,1564017411,144077,139
O,1564017411,144073,281
O,1564017412,144232,129
O,1564017412,144173,128
O,1564017413,144186,300
O,1564017414,144237,189
O,1564017414,144263,237
O,1564017415,144282,239
O,1564017415,144358,201
O,1564017416,144155,297
O,1564017416,144171,251
O,1564017417,144247,136
O,1564017418,144238,107
