,
P,1564185548,5083
P,1564185577,5081
P,1564185607,5081
P,1564185636,5083
P,1564185665,5081
P,1564185694,5079
P,1564185724,5081
P,1564185753,5080
P,1564185782,5082
P,1564185812,5083
P,1564185842,5081
P,1564185871,5081
P,1564185900,5080
P,1564185930,5081
P,1564185959,5082
P,1564185988,5083
P,1564186018,5082
P,1564186047,5080
P,1564186076,5081
P,1564186105,5080
P,1564186136,5079
P,1564186165,5080
P,1564186194,5082
P,1564186224,5082
P,1564186253,5079
P,1564186282,5080
O,1564186310,147453,3155
O,1564186310,148631,360
O,1564186311,148968,230
P,1564186311,5072
O,1564186311,149230,225
O,1564186312,149387,152
O,1564186312,149527,143
O,1564186313,149641,160
O,1564186313,149696,121
O,1564186314,149731,61
O,1564186315,149737,54
O,1564186315,149805,82
O,1564186316,149796,110
O,1564186316,149774,95
O,1564186317,149747,124
O,1564186317,149781,152
O,1564186318,149758,163
O,1564186319,149803,151
O,1564186319,149963,161
O,1564186320,149968,239
O,1564186320,149842,185
O,1564186321,149773,287
O,1564186321,149703,124
O,1564186322,149657,190
O,1564186323,149618,432
O,1564186323,149609,111
O,1564186324,149535,140
O,1564186324,149409,162
O,1564186325,149322,159
O,1564186325,149265,318
O,1564186326,149255,377
O,1564186327,149237,274
O,1564186327,149169,379
O,1564186328,149209,321
O,1564186328,149261,123
O,1564186329,149354,400
O,1564186329,149342,133
O,1564186330,149414,199
O,1564186331,149390,156
O,1564186331,149484,492
O,1564186332,149419,620
O,1564186332,149719,371
O,1564186333,149892,186
O,1564186333,149880,101
O,1564186334,149883,211
