84886700,385300,583
T,1564886700,2911
X,1564886702,385341,458
X,1564886702,385410,869
X,1564886703,385370,1152
X,1564886703,385507,622
X,1564886704,385470,321
X,1564886705,385296,369
X,1564886705,385411,657
X,1564886706,385241,761
X,1564886706,384987,1981
X,1564886707,385023,737
X,1564886707,385017,675
X,1564886708,385155,387
X,1564886709,385328,490
X,1564886709,385393,623
X,1564886710,384967,946
X,1564886710,384760,1384
X,1564886711,384904,987
X,1564886711,385059,602
X,1564886712,385062,507
X,1564886713,385203,515
X,1564886713,385259,637
P,1564886713,5027
X,1564886714,385299,662
X,1564886714,385268,926
A,1564886714,385230,603
T,1564886714,2911
X,1564886716,385101,613
X,1564886717,385050,634
X,1564886717,385109,676
X,1564886718,385108,560
X,1564886718,385042,2952
X,1564886719,384782,1317
X,1564886720,385157,701
X,1564886720,385301,687
X,1564886721,385088,575
X,1564886721,385111,3109
X,1564886722,385313,1123
X,1564886722,385322,805
X,1564886723,385294,658
X,1564886724,385330,584
X,1564886724,385364,508
X,1564886725,385420,744
X,1564886725,385389,750
X,1564886725,385250,844
X,1564886725,385301,833
X,1564886726,385223,672
X,1564886727,385329,458
X,1564886727,385053,642
X,1564886728,385222,830
X,1564886728,385272,911
A,1564886728,385234,370
T,1564886729,2911
