90,5042
P,1564990689,5042
P,1564990719,5044
P,1564990748,5046
P,1564990777,5039
P,1564990807,5045
P,1564990837,5044
P,1564990866,5044
P,1564990895,5045
P,1564990925,5044
P,1564990954,5046
P,1564990983,5046
P,1564991012,5043
P,1564991042,5045
P,1564991071,5045
P,1564991101,5044
P,1564991131,5046
P,1564991160,5047
O,1564991173,144203,808
O,1564991173,144176,127
O,1564991174,143985,291
O,1564991174,144065,125
O,1564991174,144090,186
O,1564991175,144159,124
O,1564991175,144126,146
O,1564991176,144011,121
O,1564991176,143891,147
O,1564991177,143902,299
O,1564991178,143891,201
O,1564991178,143904,184
O,1564991179,143946,127
O,1564991179,143956,234
O,1564991180,143963,340
O,1564991180,143967,173
O,1564991181,143908,236
O,1564991182,144002,208
O,1564991182,144055,177
O,1564991183,144111,125
O,1564991183,143969,174
O,1564991184,143910,173
O,1564991184,143817,220
O,1564991185,143798,194
O,1564991185,143930,204
O,1564991186,143895,95
O,1564991187,143863,135
O,1564991187,143905,200
O,1564991188,143936,183
O,1564991188,144054,130
P,1564991189,5035
O,1564991189,144176,165
O,1564991189,144129,188
O,1564991190,144085,101
O,1564991191,144151,97
O,1564991191,144121,118
O,1564991192,144214,104
O,1564991192,144201,159
O,1564991193,144165,112
O,1564991193,144215,150
O,1564991194,144209,88
O,1564991195,144116,161
O,1564991195,144252,131
O,1564991196,144300,117
O,1564991196,144292,120
O,1564991197,144307,193
O,1564991197,144198,119
O,1564991198,144254,64
