P,52516,5579
X,52516,547299,282
X,52517,547280,462
X,52518,547273,393
X,52518,547279,155
X,52519,547279,182
X,52519,547287,388
X,52520,547303,258
A,52520,547283,59
T,52520,2974
X,52521,547314,731
X,52521,547332,861
X,52522,547346,979
X,52522,547296,1148
X,52523,547265,1004
X,52523,547236,927
X,52524,547246,1062
X,52525,547298,991
X,52525,547323,722
X,52526,547301,870
X,52526,547294,688
X,52527,547281,700
X,52527,547256,603
X,52528,547247,661
X,52528,547235,711
X,52529,547239,628
X,52530,547260,567
X,52530,547285,587
X,52531,547309,650
X,52531,547325,675
A,52531,547284,111
T,52531,2974
X,52533,547278,456
X,52534,547302,452
X,52534,547324,661
X,52535,547280,816
X,52535,547285,508
X,52536,547239,738
X,52536,547255,782
X,52537,547272,685
X,52538,547278,729
X,52538,547342,913
X,52539,547307,617
X,52539,547281,672
X,52540,547275,445
X,52540,547257,568
X,52541,547299,369
X,52542,547328,564
X,52542,547320,470
X,52543,547299,536
X,52543,547287,537
X,52544,547291,430
A,52544,547289,103
T,52544,2974
P,52545,5578
X,52546,547280,650
X,52546,547260,575
X,52547,547247,567
X,52547,547274,537
X,52548,547287,401
X,52548,547300,516
X,52549,547296,380
X,52550,547286,267
X,52550,547269,373
X,52551,547282,266
X,52551,547282,522
X,52552,547286,396
X,52552,547281,491
X,52553,547266,522
X,52554,547268,486
X,52554,547279,347
X,52555,547291,513
X,52555,547287,332
X,52556,547300,340
X,52556,547296,334
A,52556,547280,53
T,52557,2974
X,52558,547289,234
X,52559,547285,191
X,52559,547270,73
X,52560,547293,255
X,52560,547284,206
X,52561,547278,268
X,52561,547278,250
X,52561,547287,385
X,52562,547274,247
X,52562,547275,270
X,52563,547293,222
X,52563,547288,195
X,52564,547296,217
X,52564,547280,230
X,52565,547294,216
X,52566,547285,242
X,52566,547280,299
X,52567,547261,272
X,52567,547256,272
X,52568,547260,529
A,52568,547280,40
T,52568,2974
X,52570,547271,134
X,52570,547261,299
X,52571,547280,386
X,52571,547297,334
X,52572,547280,212
X,52572,547247,319
X,52573,547260,316
X,52574,547265,333
X,52574,547260,262
P,52575,5574
X,52575,547302,213
X,52575,547255,376
X,52576,547243,258
X,52576,547252,416
X,52577,547273,367
X,52578,547241,315
X,52578,547271,513
X,52579,547279,702
X,52579,547304,573
X,52580,547290,524
X,52580,547266,235
A,52580,547269,63
T,52581,2974
X,52582,547285,527
X,52583,547283,406
X,52583,547247,554
X,52584,547251,525
X,52584,547239,738
X,52585,547307,534
X,52586,547320,769
X,52586,547309,513
X,52587,547276,580
X,52587,547273,385
X,52588,547254,539
X,52588,547280,382
X,52589,547292,213
X,52590,547295,225
X,52590,547289,219
X,52591,547295,228
X,52591,547309,346
X,52592,547265,284
X,52592,547255,533
X,52593,547258,769
A,52593,547279,81
T,52593,2974
X,52595,547259,646
X,52595,547295,709
X,52596,547318,744
X,52596,547301,826
X,52597,547282,708
X,52598,547244,851
X,52598,547245,731
X,52599,547275,459
X,52599,547285,311
X,52600,547316,275
X,52600,547293,176
X,52601,547277,135
X,52601,547291,402
X,52602,547306,355
X,52602,547292,238
X,52602,547275,154
X,52603,547260,291
X,52603,547279,361
P,52604,5578
X,52604,547280,186
X,52604,547293,204
A,52604,547283,74
T,52605,2974
X,52606,547275,273
X,52607,547277,429
X,52607,547265,460
X,52608,547250,583
X,52608,547266,565
X,52609,547307,608
