H,843963,218807
P,843963,5357
P,843993,5356
P,844023,5354
P,844052,5356
P,844081,5355
P,844111,5356
P,844140,5356
P,844169,5356
P,844199,5356
P,844228,5356
P,844257,5355
P,844286,5355
P,844317,5356
P,844346,5357
P,844375,5355
P,844405,5357
P,844434,5357
P,844463,5356
P,844492,5357
P,844522,5356
P,844551,5356
P,844580,5356
P,844610,5356
P,844640,5356
P,844669,5356
P,844698,5357
P,844728,5356
P,844757,5357
P,844786,5357
P,844815,5356
P,844845,5354
P,844874,5356
P,844904,5354
P,844934,5357
P,844963,5356
P,844992,5356
P,845021,5355
P,845051,5356
P,845080,5356
P,845109,5356
P,845139,5356
P,845168,5357
P,845198,5355
P,845227,5356
P,845257,5355
P,845286,5356
P,845315,5356
P,845345,5356
P,845374,5356
P,845403,5356
O,845408,232753,126
O,845408,232802,104
O,845409,232832,137
O,845409,232813,78
O,845410,232837,76
O,845411,232856,117
O,845411,232848,78
O,845412,232855,71
O,845412,232875,135
O,845413,232860,99
O,845413,232866,102
O,845414,232843,87
O,845415,232858,141
O,845415,232876,71
O,845416,232861,116
O,845416,232850,147
O,845417,232857,128
O,845417,232849,92
O,845418,232840,82
O,845418,232839,174
O,845419,232845,87
O,845420,232861,91
O,845420,232850,74
O,845421,232840,78
O,845421,232858,109
O,845422,232857,80
O,845422,232861,130
O,845423,232865,89
O,845424,232860,105
O,845424,232860,103
O,845425,232863,82
O,845425,232855,61
O,845426,232844,132
O,845426,232865,90
O,845427,232871,83
O,845428,232866,118
O,845428,232845,98
O,845429,232848,123
O,845429,232863,113
O,845430,232833,131
O,845430,232868,89
O,845430,232838,85
O,845431,232850,112
O,845431,232855,134
O,845432,232864,86
O,845432,232864,112
P,845432,5342
O,845433,232872,53
O,845433,232862,51
O,845434,232885,69
O,845435,232872,105
O,845435,232880,86
O,845436,232909,81
O,845436,232913,79
O,845437,232901,63
O,845437,232892,104
O,845438,232902,71
O,845439,232900,82
O,845439,232921,81
O,845440,232923,136
O,845440,232905,74
O,845441,232876,66
O,845441,232875,85
O,845442,232855,62
O,845442,232860,118
O,845443,232844,66
O,845444,232841,62
O,845444,232861,139
O,845445,232845,117
O,845445,232846,59
O,845446,232841,107
O,845446,232830,81
O,845447,232848,64
O,845448,232871,121
O,845448,232852,102
O,845449,232858,69
O,845449,232845,84
O,845450,232871,84
O,845450,232877,122
O,845451,232869,90
O,845452,232871,84
O,845452,232907,132
O,845453,232897,139
O,845453,232870,103
O,845454,232874,101
O,845454,232890,97
O,845455,232906,80
O,845456,232915,94
O,845456,232918,124
O,845457,232889,78
O,845457,232897,77
O,845458,232887,109
O,845458,232888,148
O,845459,232873,94
O,845460,232874,79
O,845460,232877,102
O,845461,232888,147
O,845461,232889,124
O,845462,232871,97
O,845462,232871,152
P,845462,5342
O,845463,232873,84
O,845464,232858,137
T,845464,2804
P,845492,5356
P,845521,5354
P,845551,5356
P,845580,5356
P,845609,5357
P,845638,5355
P,845668,5356
P,845698,5356
P,845727,5355
P,845757,5354
P,845787,5356
P,845816,5355
P,845845,5354
P,845875,5355
P,845904,5356
P,845933,5357
P,845963,5355
P,845992,5357
P,846021,5357
P,846050,5356
P,846081,5358
P,846110,5357
P,846139,5356
P,846169,5356
P,846198,5356
P,846227,5356
P,846256,5354
P,846286,5355
P,846315,5356
P,846344,5355
P,846374,5354
P,846404,5357
P,846433,5356
P,846462,5354
P,846492,5355
P,846521,5356
P,846550,5356
P,846579,5356
P,846609,5356
P,846638,5356
P,846668,5356
P,846698,5356
P,846727,5356
P,846756,5355
P,846785,5356
P,846815,5356
P,846844,5356
P,846873,5356
P,846903,5355
P,846932,5356
P,846962,5357
