H,455053,233298
P,455053,5164
P,455083,5163
P,455112,5163
P,455141,5164
P,455170,5164
P,455200,5164
P,455230,5164
P,455259,5165
P,455289,5164
P,455318,5163
P,455347,5164
P,455376,5164
P,455406,5163
P,455435,5164
P,455464,5165
P,455494,5163
P,455524,5165
P,455553,5163
P,455582,5163
P,455612,5163
P,455641,5164
P,455670,5164
P,455700,5164
P,455729,5163
P,455758,5161
P,455787,5163
P,455818,5162
P,455847,5162
P,455876,5164
P,455906,5164
P,455935,5164
P,455964,5162
P,455993,5162
P,456023,5163
P,456052,5164
P,456081,5163
P,456111,5164
P,456141,5164
P,456170,5164
P,456199,5164
P,456229,5163
P,456258,5162
P,456287,5163
P,456316,5161
P,456346,5161
P,456375,5163
P,456405,5164
P,456435,5164
P,456464,5163
P,456493,5163
P,456522,5164
P,456552,5165
P,456581,5165
P,456610,5164
P,456640,5164
P,456669,5163
P,456700,5164
P,456729,5162
P,456759,5164
P,456788,5165
P,456817,5164
P,456847,5162
O,456858,230771,887
O,456858,228315,1800
O,456859,228141,2698
O,456859,228095,1754
O,456860,228765,1601
O,456860,230437,3512
O,456861,229436,4165
O,456862,231782,850
O,456862,231679,3387
O,456863,231316,2780
O,456863,232123,2474
O,456864,232174,1342
O,456864,232198,1485
O,456865,232515,924
O,456866,232563,488
O,456866,231499,1765
O,456867,231606,1068
O,456867,231435,2912
O,456868,230716,1451
O,456868,230589,1276
O,456869,231106,1846
O,456870,231519,880
O,456870,231925,944
O,456871,232311,1900
O,456871,232849,884
O,456872,231840,1850
O,456872,231105,475
O,456873,230528,1707
O,456874,231778,1537
O,456874,232225,1336
O,456875,231445,1012
O,456875,231996,962
O,456876,231774,1299
P,456876,5147
O,456876,231502,1650
O,456877,231744,1318
O,456878,231740,425
O,456878,233598,1442
O,456879,233915,715
O,456879,233881,257
O,456880,233903,207
O,456880,234052,930
O,456881,233897,725
O,456882,232611,1792
O,456882,232946,554
O,456883,232509,894
O,456883,233245,780
O,456884,233048,590
O,456884,232507,896
O,456885,232691,324
O,456886,232816,1005
O,456886,232689,743
O,456887,232702,940
O,456887,232243,845
O,456888,232826,350
O,456888,232538,970
O,456889,232211,838
O,456889,231932,3127
O,456890,231614,1206
O,456891,229474,3434
O,456891,230141,1490
O,456891,231061,2432
O,456891,229284,1751
O,456892,229462,2242
O,456892,228983,1107
O,456893,229983,1366
O,456894,229769,3750
O,456894,231284,2875
O,456895,229270,3062
O,456895,229550,4128
O,456896,230212,1394
O,456896,231805,2412
O,456897,231805,1972
O,456898,231665,1001
O,456898,231643,2122
O,456899,231435,2368
O,456899,231089,2166
O,456900,231409,2997
O,456900,231857,1208
O,456901,232212,1151
O,456902,231466,1632
O,456902,231846,861
O,456903,231374,1051
O,456903,231985,750
O,456904,230676,2185
O,456904,231520,1939
O,456905,230855,2341
P,456905,5147
O,456906,231343,1556
O,456906,231323,2745
O,456907,231472,1485
O,456907,232341,2235
O,456908,232015,2449
O,456908,230841,2117
O,456909,232240,1552
O,456910,232121,1710
O,456910,231776,933
O,456911,231075,2194
O,456911,231134,1177
O,456912,232023,1680
O,456912,232125,1070
O,456913,231462,1076
O,456913,229652,2144
T,456914,2791
P,456934,5164
P,456964,5163
P,456994,5164
P,457023,5162
P,457053,5162
P,457082,5162
P,457111,5164
P,457140,5164
P,457170,5163
P,457199,5163
P,457228,5161
P,457258,5163
P,457288,5164
P,457317,5164
P,457346,5163
P,457376,5163
P,457405,5162
P,457434,5163
P,457464,5164
P,457493,5164
P,457522,5162
P,457551,5162
P,457582,5164
P,457611,5165
P,457640,5163
P,457670,5164
P,457699,5163
P,457728,5164
P,457757,5163
P,457787,5164
P,457816,5164
P,457845,5162
P,457875,5164
P,457905,5163
P,457934,5164
P,457963,5164
P,457993,5163
