H,1416236,233298
X,1416236,574409,1407
X,1416237,574535,1528
X,1416237,574625,925
X,1416238,574829,3211
X,1416238,574614,614
X,1416239,574522,875
X,1416239,574427,820
A,1416239,574415,356
T,1416240,2736
X,1416241,574595,930
X,1416242,574529,924
X,1416242,574284,631
X,1416243,574312,1025
X,1416243,574383,680
X,1416244,574542,1137
X,1416245,574601,1697
X,1416245,574532,776
X,1416246,574478,745
X,1416246,574393,404
X,1416246,574322,606
X,1416246,574338,1010
X,1416247,574468,723
X,1416248,574614,1206
X,1416248,574488,580
X,1416249,574453,373
X,1416249,574340,825
X,1416250,574351,957
X,1416250,574400,1448
X,1416251,574510,875
X,1416252,574551,845
X,1416252,574565,593
X,1416253,574416,647
X,1416253,574359,503
X,1416254,574391,574
P,1416254,5087
X,1416254,574451,1069
X,1416255,574617,648
A,1416255,574451,333
T,1416255,2736
X,1416257,574498,1023
X,1416257,574389,784
X,1416258,574484,730
X,1416258,574573,885
X,1416259,574692,1840
X,1416260,574468,1564
X,1416260,574446,1114
X,1416261,574392,573
X,1416261,574418,1363
X,1416262,574526,1189
X,1416262,574552,2687
X,1416263,574581,1138
X,1416264,574440,643
X,1416264,574328,651
X,1416265,574248,1293
X,1416265,574353,517
X,1416266,574448,1178
X,1416266,574587,1481
X,1416267,574487,796
X,1416267,574434,677
X,1416268,574327,548
X,1416269,574281,728
X,1416269,574412,843
X,1416270,574186,8415
X,1416270,575229,21664
X,1416271,574867,7033
X,1416271,574238,1106
X,1416272,574193,964
X,1416273,574301,1031
X,1416273,574477,865
X,1416274,574551,2236
X,1416274,574496,562
X,1416275,574428,540
X,1416275,574300,675
X,1416276,574295,1502
X,1416277,574352,1338
X,1416277,574495,828
X,1416278,574580,2159
X,1416278,574470,521
X,1416279,574346,887
A,1416279,574405,380
T,1416279,2736
X,1416281,574509,786
X,1416281,574490,1007
X,1416282,574616,814
X,1416282,574407,724
X,1416283,574354,865
X,1416283,574194,1102
P,1416284,5093
X,1416284,574255,1186
X,1416285,574407,910
X,1416285,574480,1804
X,1416286,574437,686
X,1416286,574304,576
X,1416287,574230,535
X,1416287,574175,470
X,1416287,574255,982
X,1416288,574368,754
X,1416288,574466,1431
X,1416289,574370,527
X,1416289,574261,624
X,1416290,574137,1122
X,1416290,574209,804
X,1416291,574352,1109
X,1416292,574357,713
X,1416292,574442,1600
X,1416293,574306,480
X,1416293,574228,556
X,1416294,574220,433
X,1416294,574269,1380
X,1416295,574416,786
X,1416296,574467,1770
X,1416296,574319,493
A,1416296,574337,441
T,1416296,2736
X,1416298,574131,1326
X,1416298,574305,809
X,1416299,574390,1401
X,1416300,574308,1518
X,1416300,574210,753
X,1416301,574179,738
X,1416301,574144,693
X,1416302,574234,891
X,1416302,574316,777
X,1416303,574399,2578
X,1416304,574224,601
X,1416304,574202,447
X,1416305,574084,555
X,1416305,574242,1410
X,1416306,574307,1547
X,1416306,574330,1504
X,1416307,574414,1059
X,1416307,574273,702
X,1416308,574232,677
X,1416309,574116,566
X,1416309,574153,1532
X,1416310,574376,1168
X,1416310,574464,2805
X,1416311,574327,809
X,1416311,574245,510
X,1416312,574200,600
X,1416313,574161,1159
P,1416313,5088
X,1416313,574272,983
X,1416314,574410,1158
X,1416314,574516,1080
X,1416315,574291,510
X,1416315,574192,451
X,1416316,574184,934
X,1416317,574162,1415
X,1416317,574324,714
A,1416317,574227,243
T,1416317,2736
X,1416319,574271,828
X,1416320,574187,1036
X,1416320,574202,930
X,1416321,574232,1288
X,1416321,574374,855
X,1416322,574609,1773
X,1416322,574368,548
X,1416323,574242,772
X,1416324,574160,910
X,1416324,574210,765
X,1416325,574342,845
X,1416325,574319,814
X,1416326,574467,974
X,1416326,574352,426
X,1416327,574217,526
X,1416328,574114,820
X,1416328,574159,1573
X,1416328,574295,1495
X,1416328,574356,1278
X,1416329,574363,1116
