H,3024547,233298
P,3024547,5082
P,3024576,5079
P,3024606,5080
P,3024635,5079
P,3024665,5082
P,3024694,5081
P,3024723,5081
P,3024753,5080
P,3024782,5080
P,3024811,5081
P,3024840,5081
P,3024870,5082
P,3024900,5081
P,3024929,5079
P,3024959,5081
P,3024988,5081
P,3025017,5082
P,3025046,5081
P,3025076,5079
P,3025105,5083
P,3025134,5080
P,3025164,5081
P,3025194,5080
P,3025223,5080
P,3025252,5081
P,3025282,5081
P,3025311,5080
P,3025340,5082
P,3025370,5081
P,3025399,5079
P,3025428,5079
P,3025457,5082
P,3025488,5080
P,3025517,5080
P,3025546,5079
P,3025576,5081
P,3025605,5081
P,3025634,5081
P,3025663,5082
P,3025693,5080
P,3025722,5081
P,3025751,5082
P,3025781,5079
P,3025811,5080
P,3025840,5082
P,3025869,5080
P,3025899,5080
P,3025928,5082
P,3025957,5081
P,3025986,5079
P,3026016,5082
P,3026045,5080
P,3026075,5081
P,3026105,5082
P,3026134,5082
P,3026163,5082
P,3026192,5082
P,3026222,5082
P,3026251,5079
O,3026269,229592,337
O,3026269,229781,122
O,3026270,229783,149
O,3026270,229813,146
O,3026271,229818,110
O,3026271,229698,150
O,3026272,229707,150
O,3026273,229677,89
O,3026273,229664,108
O,3026273,229677,87
O,3026273,229513,248
O,3026274,229177,484
O,3026274,229032,96
O,3026275,229078,416
O,3026276,229410,207
O,3026276,229530,304
O,3026277,229725,249
O,3026277,229580,384
O,3026278,229127,1202
O,3026278,229511,410
O,3026279,229662,463
O,3026279,230139,197
O,3026280,229823,422
P,3026280,5063
O,3026281,229598,91
O,3026281,229249,270
O,3026282,229368,335
O,3026282,228765,1646
O,3026283,228462,1333
O,3026283,228676,1268
O,3026284,228931,903
O,3026285,229403,370
O,3026285,229455,382
O,3026286,229646,94
O,3026286,229648,153
O,3026287,229639,134
O,3026287,229536,671
O,3026288,228055,2160
O,3026289,228698,1326
O,3026289,229546,280
O,3026290,229772,183
O,3026290,229834,78
O,3026291,229871,398
O,3026291,229049,548
O,3026292,228231,2114
O,3026293,227027,2425
O,3026293,228276,501
O,3026294,228333,221
O,3026294,228534,303
O,3026295,228831,656
O,3026295,229377,238
O,3026296,229433,144
O,3026297,229308,212
O,3026297,229572,154
O,3026298,229543,93
O,3026298,229611,102
O,3026299,229756,290
O,3026299,229646,347
O,3026300,229209,781
O,3026301,229260,431
O,3026301,229462,164
O,3026302,229511,92
O,3026302,229512,82
O,3026303,229603,165
O,3026303,229698,130
O,3026304,229571,122
O,3026304,229580,120
O,3026305,229640,145
O,3026306,229617,145
O,3026306,229771,171
O,3026307,229626,163
O,3026307,229525,135
O,3026308,229642,286
O,3026308,229460,219
O,3026309,229598,442
O,3026310,229229,431
O,3026310,229065,739
P,3026310,5063
O,3026311,229347,358
O,3026311,229263,517
O,3026312,229248,373
O,3026312,229478,179
O,3026313,229622,111
O,3026314,229695,78
O,3026314,229696,76
O,3026314,229649,86
O,3026314,229633,76
O,3026315,229578,110
O,3026315,229590,175
O,3026316,229493,158
O,3026317,229342,377
O,3026317,229176,256
O,3026318,229382,97
O,3026318,229422,107
O,3026319,229438,177
O,3026319,229347,179
O,3026320,229386,238
O,3026321,229470,194
O,3026321,229439,164
O,3026322,229428,150
O,3026322,229380,127
O,3026323,229328,160
O,3026323,229392,157
T,3026324,2733
P,3026339,5078
P,3026369,5080
P,3026398,5081
P,3026428,5081
P,3026457,5081
P,3026486,5078
P,3026516,5082
P,3026545,5079
P,3026575,5081
P,3026604,5079
P,3026634,5080
P,3026664,5081
P,3026693,5083
P,3026723,5082
P,3026752,5079
P,3026781,5080
P,3026810,5078
P,3026840,5079
P,3026869,5080
P,3026898,5079
P,3026928,5080
P,3026958,5081
P,3026987,5081
P,3027016,5079
P,3027046,5081
P,3027075,5080
P,3027104,5081
P,3027134,5079
P,3027163,5080
P,3027192,5080
P,3027221,5079
P,3027252,5081
P,3027281,5081
P,3027310,5079
P,3027340,5081
P,3027369,5080
P,3027398,5081
P,3027427,5078
P,3027457,5081
P,3027486,5082
P,3027515,5078
P,3027545,5078
