H,4775843,233298
P,4775843,5073
P,4775873,5073
P,4775902,5073
P,4775932,5072
P,4775961,5073
P,4775991,5073
P,4776020,5073
P,4776049,5073
P,4776079,5070
P,4776108,5072
P,4776137,5074
P,4776166,5074
P,4776196,5073
P,4776226,5074
P,4776255,5073
P,4776285,5074
P,4776314,5073
P,4776343,5074
P,4776372,5070
P,4776402,5072
P,4776431,5074
P,4776460,5072
P,4776490,5074
P,4776520,5072
P,4776549,5071
P,4776578,5074
P,4776608,5073
P,4776637,5073
P,4776666,5073
P,4776696,5074
P,4776725,5074
P,4776754,5073
P,4776783,5074
P,4776814,5074
P,4776843,5070
P,4776872,5074
P,4776902,5075
P,4776931,5074
P,4776960,5071
P,4776989,5073
P,4777019,5073
P,4777048,5072
P,4777077,5073
P,4777107,5072
P,4777137,5073
P,4777166,5071
P,4777195,5073
P,4777225,5070
P,4777254,5070
P,4777283,5072
P,4777312,5073
P,4777342,5071
P,4777371,5073
P,4777401,5069
P,4777431,5070
P,4777461,5073
P,4777490,5070
P,4777519,5074
P,4777549,5074
P,4777578,5074
P,4777607,5073
P,4777637,5073
P,4777666,5070
P,4777696,5073
P,4777725,5072
P,4777755,5073
P,4777784,5072
O,4777791,223401,555
O,4777792,222960,848
O,4777792,223135,646
O,4777793,223267,1022
O,4777794,223381,663
O,4777794,223561,601
O,4777795,223260,948
O,4777795,223156,982
O,4777796,223602,648
O,4777796,223317,503
O,4777797,223521,646
O,4777797,223623,429
O,4777798,222827,1225
O,4777799,223468,1153
O,4777799,223806,224
O,4777800,223900,263
O,4777800,223748,417
O,4777801,223668,506
O,4777801,223859,643
O,4777802,223692,312
O,4777803,223748,410
O,4777803,223794,312
O,4777804,224137,578
O,4777804,223466,1148
O,4777805,222632,690
O,4777805,223041,364
O,4777805,223420,452
O,4777806,223568,577
O,4777806,223645,614
O,4777807,222990,927
O,4777807,223281,853
O,4777808,223463,527
O,4777808,222696,1427
O,4777809,222759,752
O,4777810,223159,777
O,4777810,222444,1296
O,4777811,222728,774
O,4777811,223612,702
O,4777812,221934,3096
O,4777812,222259,1445
P,4777813,5056
O,4777813,223978,1313
O,4777814,224285,464
O,4777814,223315,950
O,4777815,223318,752
O,4777815,223177,1029
O,4777816,222699,393
O,4777816,222778,436
O,4777817,223215,647
O,4777818,223397,747
O,4777818,223232,1113
O,4777819,222999,926
O,4777819,223350,937
O,4777820,222325,545
O,4777820,222951,816
O,4777821,222625,547
O,4777821,222207,1311
O,4777822,223305,879
O,4777823,224153,302
O,4777823,223799,628
O,4777824,222983,462
O,4777824,223193,402
O,4777825,223044,470
O,4777825,222598,612
O,4777826,222940,1306
O,4777827,222423,992
O,4777827,223233,1611
O,4777828,222806,1333
O,4777828,222282,800
O,4777829,221761,746
O,4777829,221936,1194
O,4777830,223110,721
O,4777831,223040,565
O,4777831,223113,397
O,4777832,223000,434
O,4777832,222667,814
O,4777833,222458,963
O,4777833,222010,1598
O,4777834,222135,1103
O,4777835,222804,891
O,4777835,222805,1005
O,4777836,221729,1237
O,4777836,222396,778
O,4777837,222757,986
O,4777837,222982,587
O,4777838,223312,1017
O,4777839,223432,812
O,4777839,223110,620
O,4777840,222743,824
O,4777840,223412,789
O,4777841,223662,934
O,4777841,223289,855
O,4777842,223419,833
O,4777843,222316,1625
P,4777843,5054
O,4777843,222584,294
O,4777844,222760,1056
O,4777844,222694,643
O,4777845,222757,1735
O,4777845,221944,435
O,4777846,222941,365
O,4777846,222274,1054
O,4777846,223218,962
T,4777846,2776
P,4777872,5073
P,4777901,5071
P,4777930,5073
P,4777960,5072
P,4777990,5070
P,4778019,5073
P,4778049,5072
P,4778078,5069
P,4778107,5072
P,4778136,5073
P,4778166,5068
P,4778195,5071
P,4778224,5070
P,4778254,5071
P,4778284,5073
P,4778313,5073
P,4778342,5070
P,4778372,5073
P,4778401,5073
P,4778430,5069
P,4778460,5073
P,4778489,5072
P,4778518,5073
P,4778547,5070
P,4778578,5073
P,4778607,5070
P,4778636,5074
P,4778666,5074
P,4778695,5072
P,4778724,5074
P,4778753,5074
P,4778783,5073
P,4778812,5073
P,4778841,5072
