033,5575
P,103062,5575
P,103093,5576
P,103122,5576
P,103151,5576
P,103181,5574
P,103210,5576
P,103239,5575
P,103268,5575
P,103298,5576
P,103327,5575
P,103356,5575
P,103386,5575
P,103416,5576
P,103445,5576
P,103474,5575
P,103504,5575
P,103533,5575
P,103562,5575
P,103591,5575
P,103621,5575
P,103650,5575
P,103680,5576
P,103710,5576
P,103739,5575
P,103768,5575
P,103797,5576
P,103827,5575
P,103856,5575
P,103885,5576
P,103915,5575
P,103944,5576
P,103974,5575
P,104003,5575
P,104033,5576
P,104062,5575
P,104091,5575
P,104121,5576
P,104150,5576
P,104179,5575
P,104208,5575
P,104238,5575
P,104268,5575
P,104297,5574
P,104327,5575
P,104356,5575
P,104385,5574
P,104414,5575
P,104444,5575
P,104473,5574
P,104502,5575
P,104532,5575
P,104562,5574
P,104591,5575
P,104620,5574
P,104650,5575
P,104679,5575
P,104708,5575
P,104738,5575
P,104767,5575
P,104796,5576
P,104825,5575
P,104856,5575
P,104885,5575
P,104914,5576
P,104944,5576
P,104974,5575
P,105003,5575
P,105032,5575
P,105062,5574
P,105091,5574
P,105120,5575
P,105150,5575
P,105180,5575
P,105209,5574
P,105238,5575
P,105268,5575
P,105297,5575
P,105326,5575
P,105355,5576
P,105385,5574
P,105414,5574
P,105444,5576
P,105474,5575
P,105503,5574
P,105532,5575
P,105561,5575
P,105591,5574
P,105620,5575
P,105649,5574
P,105679,5575
P,105708,5575
P,105738,5575
P,105767,5574
P,105797,5575
P,105826,5575
P,105855,5574
P,105885,5575
P,105914,5575
P,105943,5575
P,105972,5574
P,106002,5574
P,106032,5575
P,106061,5575
P,106091,5574
P,106120,5575
P,106149,5575
P,106178,5575
P,106208,5574
P,106237,5574
P,106266,5574
P,106296,5574
P,106326,5575
P,106355,5575
P,106384,5575
P,106414,5574
P,106443,5575
P,106472,5573
P,106502,5574
P,106531,5575
P,106560,5574
P,106589,5573
P,106620,5575
P,106649,5574
P,106678,5575
P,106708,5575
P,106737,5574
P,106766,5574
P,106795,5575
P,106825,5573
P,106854,5575
P,106883,5574
P,106913,5575
P,106943,5575
P,106972,5574
P,107001,5575
P,107031,5575
P,107060,5574
P,107089,5574
P,107118,5574
P,107148,5575
P,107177,5573
P,107207,5574
P,107237,5574
P,107266,5575
P,107295,5574
P,107324,5574
P,107354,5574
P,107383,5574
