H,1548518400,528944
U,1548518400,0
E,1548518400,1
P,1548518400,5128
P,1548518429,5131
P,1548518458,5131
P,1548518488,5129
P,1548518517,5131
P,1548518546,5129
P,1548518577,5130
P,1548518606,5130
P,1548518635,5129
P,1548518664,5129
P,1548518694,5129
P,1548518723,5130
P,1548518752,5126
P,1548518782,5131
P,1548518811,5130
P,1548518840,5129
P,1548518870,5129
P,1548518900,5127
P,1548518929,5128
P,1548518958,5130
P,1548518988,5130
P,1548519017,5129
P,1548519046,5129
P,1548519075,5130
P,1548519105,5129
P,1548519134,5129
P,1548519164,5129
P,1548519194,5130
P,1548519223,5128
P,1548519252,5131
P,1548519281,5128
P,1548519311,5129
P,1548519340,5129
P,1548519369,5128
P,1548519399,5129
P,1548519428,5129
P,1548519458,5130
P,1548519487,5130
P,1548519517,5129
P,1548519546,5129
O,1548519571,468763,3045
O,1548519572,469044,112
O,1548519572,469035,102
O,1548519573,469046,159
O,1548519574,469013,150
O,1548519574,469026,117
O,1548519575,469015,123
P,1548519575,5120
O,1548519575,468992,116
O,1548519576,469014,131
O,1548519576,468968,59
O,1548519577,468955,110
O,1548519578,468995,66
O,1548519578,468997,99
O,1548519579,469016,114
O,1548519579,469000,135
O,1548519580,469010,101
O,1548519580,469039,78
O,1548519581,469051,90
O,1548519582,469031,115
O,1548519582,469005,123
O,1548519583,468959,105
O,1548519583,468943,62
O,1548519584,468936,92
O,1548519584,468912,87
O,1548519585,468923,58
O,1548519585,468900,81
O,1548519586,468942,80
O,1548519587,468936,91
O,1548519587,468964,136
O,1548519588,469022,82
O,1548519588,469007,122
O,1548519589,469015,88
O,1548519589,468976,70
O,1548519590,468962,99
O,1548519591,468913,106
O,1548519591,468953,107
O,1548519592,468976,105
O,1548519592,468961,102
O,1548519593,468989,117
O,1548519593,468967,75
O,1548519594,468977,98
O,1548519595,469018,139
O,1548519595,468993,86
O,1548519596,468978,123
O,1548519596,468974,102
O,1548519597,469001,106
O,1548519597,469007,161
O,1548519598,468994,94
O,1548519599,468989,182
O,1548519599,469003,64
O,1548519600,468973,62
O,1548519600,468953,96
O,1548519601,468957,104
O,1548519601,468978,109
O,1548519602,468967,58
O,1548519603,468992,109
O,1548519603,468994,54
O,1548519604,468976,148
O,1548519604,468968,77
O,1548519605,468980,92
P,1548519605,5121
O,1548519605,468964,114
O,1548519605,468970,117
O,1548519605,468953,95
O,1548519606,468941,94
O,1548519607,468964,100
O,1548519607,468943,78
O,1548519608,468946,107
O,1548519608,468969,110
O,1548519609,468959,76
O,1548519609,468964,83
O,1548519610,468961,117
O,1548519611,468954,96
O,1548519611,468965,78
O,1548519612,468986,142
O,1548519612,468983,66
O,1548519613,469005,86
O,1548519613,469011,74
O,1548519614,468989,102
O,1548519615,469023,125
O,1548519615,469018,104
O,1548519616,469015,89
O,1548519616,468998,91
O,1548519617,468980,117
O,1548519617,468990,141
O,1548519618,469018,83
O,1548519619,468989,141
O,1548519619,468990,138
O,1548519620,468985,74
O,1548519620,468985,105
O,1548519621,468975,89
O,1548519621,468972,83
O,1548519622,468998,86
O,1548519623,469001,81
O,1548519623,469023,113
O,1548519624,469031,72
O,1548519624,469020,90
O,1548519625,469035,99
O,1548519625,469030,136
O,1548519626,469021,109
O,1548519626,469042,93
O,1548519627,469037,96
T,1548519627,2762
P,1548519634,5129
P,1548519663,5129
P,1548519692,5127
P,1548519722,5128
P,1548519752,5129
P,1548519781,5130
P,1548519810,5129
P,1548519840,5130
P,1548519869,5129
P,1548519898,5130
P,1548519928,5129
P,1548519957,5126
P,1548519986,5130
P,1548520015,5128
P,1548520046,5128
P,1548520075,5128
P,1548520104,5129
P,1548520134,5130
P,1548520163,5129
P,1548520192,5129
P,1548520221,5128
P,1548520251,5129
P,1548520280,5128
P,1548520309,5130
P,1548520340,5128
P,1548520369,5130
P,1548520398,5128
P,1548520427,5129
P,1548520457,5128
P,1548520486,5129
P,1548520515,5129
P,1548520545,5129
P,1548520574,5129
P,1548520603,5127
P,1548520633,5129
P,1548520663,5128
P,1548520692,5130
P,1548520722,5129
P,1548520752,5128
P,1548520781,5129
P,1548520810,5128
P,1548520839,5129
P,1548520869,5129
P,1548520898,5129
P,1548520928,5129
P,1548520958,5129
P,1548520987,5130
P,1548521016,5129
P,1548521045,5130
P,1548521075,5128
P,1548521104,5128
P,1548521133,5129
P,1548521163,5128
P,1548521192,5129
P,1548521222,5129
P,1548521251,5130
P,1548521281,5129
P,1548521310,5129
P,1548521339,5129
