H,1553819548,164236
X,1553819548,225113,1444
X,1553819548,226541,1504
X,1553819549,225130,1184
X,1553819550,226374,1446
X,1553819550,226171,1228
X,1553819551,225039,1115
X,1553819551,225557,601
X,1553819552,223873,2896
X,1553819552,222656,1254
X,1553819553,223279,880
X,1553819554,222584,2050
X,1553819554,221957,1282
X,1553819555,222519,1253
X,1553819555,222817,670
X,1553819556,223246,1479
X,1553819556,223516,1098
X,1553819557,223827,1509
X,1553819558,224967,1772
X,1553819558,225263,217
X,1553819559,225268,701
A,1553819559,224239,2740
T,1553819559,2812
U,1553819559,35888
X,1553819561,223138,478
X,1553819561,223047,352
X,1553819562,223135,1050
X,1553819562,223108,272
X,1553819562,223233,453
X,1553819563,223268,277
X,1553819563,223288,498
X,1553819564,223132,469
X,1553819564,223547,1164
X,1553819565,223424,361
X,1553819565,223595,459
X,1553819566,223522,360
X,1553819566,224069,736
X,1553819567,223899,367
X,1553819568,223862,382
X,1553819568,223619,472
X,1553819569,223562,351
X,1553819569,223746,353
X,1553819570,223605,693
X,1553819570,222978,1952
X,1553819571,222847,992
X,1553819572,222824,841
X,1553819572,223473,809
A,1553819572,223413,1245
T,1553819572,2813
U,1553819573,35888
X,1553819574,224161,342
X,1553819575,224598,1267
X,1553819575,225194,1399
P,1553819575,3837
X,1553819576,224734,259
X,1553819576,224956,437
X,1553819577,225029,780
X,1553819577,224652,1058
X,1553819578,224052,732
X,1553819579,224156,709
X,1553819579,224791,555
X,1553819580,223756,2422
X,1553819580,223864,2028
X,1553819581,223719,1059
X,1553819581,223933,588
X,1553819582,224339,491
X,1553819583,223511,813
X,1553819583,223091,263
X,1553819584,223232,823
X,1553819584,223454,418
X,1553819585,223693,403
X,1553819585,223945,488
X,1553819586,224094,137
X,1553819587,224038,182
X,1553819587,224048,208
X,1553819588,224061,135
X,1553819588,223941,163
A,1553819588,224062,1938
T,1553819588,2812
U,1553819589,35888
X,1553819590,224025,171
X,1553819591,223853,147
X,1553819591,224100,190
X,1553819592,224158,143
X,1553819592,224098,291
X,1553819593,223908,139
X,1553819594,223976,60
X,1553819594,223870,94
X,1553819595,223942,82
X,1553819595,223885,212
X,1553819596,224039,245
X,1553819596,224087,189
X,1553819597,224272,427
X,1553819598,224204,403
X,1553819598,224217,437
X,1553819599,223758,228
X,1553819599,223844,377
X,1553819600,223806,413
X,1553819600,224022,234
X,1553819601,224069,221
A,1553819601,224006,514
T,1553819601,2812
U,1553819601,35888
X,1553819603,224059,325
X,1553819603,223464,661
X,1553819603,223277,1577
X,1553819604,225045,1898
X,1553819604,224771,1426
P,1553819604,3837
X,1553819605,223788,397
X,1553819605,223391,694
X,1553819606,223715,473
X,1553819607,224298,473
X,1553819607,224299,255
X,1553819608,223506,2179
X,1553819608,221974,3421
X,1553819609,220336,1056
X,1553819609,220668,1569
X,1553819610,221895,2810
X,1553819610,224664,2785
X,1553819611,226974,2022
X,1553819612,228491,1809
X,1553819612,226108,1639
X,1553819613,224667,415
X,1553819613,225706,1028
X,1553819614,225477,1253
X,1553819614,224294,345
X,1553819615,224204,125
X,1553819616,223727,378
X,1553819616,223873,273
X,1553819617,224132,266
X,1553819617,224147,153
X,1553819618,224214,216
X,1553819618,224486,493
X,1553819619,225059,442
X,1553819620,224666,849
X,1553819620,224845,299
X,1553819621,224145,897
A,1553819621,224173,1668
T,1553819621,2812
U,1553819621,35888
X,1553819623,223648,834
X,1553819623,223766,349
X,1553819624,223922,350
X,1553819624,223979,215
X,1553819625,224076,157
X,1553819625,223992,156
X,1553819626,223949,220
X,1553819627,223719,350
X,1553819627,223674,347
X,1553819628,223866,244
X,1553819628,223646,198
X,1553819629,223721,227
X,1553819629,223913,359
X,1553819630,223974,429
X,1553819631,223584,610
X,1553819631,223141,966
X,1553819632,223137,368
X,1553819632,223419,1242
X,1553819633,224307,278
X,1553819633,224299,120
X,1553819634,224288,139
A,1553819634,223830,1170
T,1553819634,2812
U,1553819634,35888
P,1553819634,3669
X,1553819636,224469,124
X,1553819637,224388,130
X,1553819637,224368,211
X,1553819638,224349,311
X,1553819638,224521,210
X,1553819639,224267,205
X,1553819639,224161,103
X,1553819640,224070,93
X,1553819641,224118,85
X,1553819641,224097,118
