H,1552156332,281190
T,1552156332,2810
R,1552156332,700D9CE41
X,1552156334,638768,877
X,1552156334,638763,967
X,1552156335,638672,895
X,1552156335,638706,916
X,1552156336,638697,30316
X,1552156336,638911,1208
X,1552156337,638631,1400
X,1552156337,638626,1355
X,1552156338,638728,1057
X,1552156339,638781,1303
X,1552156339,638790,1142
X,1552156340,638853,823
X,1552156340,638844,13981
X,1552156341,639067,2586
X,1552156341,638776,1055
X,1552156342,638760,1162
P,1552156342,5134
X,1552156343,638765,993
X,1552156343,638773,873
X,1552156344,638823,892
X,1552156344,638932,1224
X,1552156345,638366,3221
X,1552156345,638641,46261
X,1552156346,638886,1199
X,1552156347,638844,1247
X,1552156347,638781,944
X,1552156348,638790,20021
X,1552156348,638850,1122
X,1552156349,638819,1146
X,1552156349,638890,927
X,1552156350,638859,997
X,1552156351,638868,1355
X,1552156351,638854,1019
X,1552156352,638938,1011
X,1552156352,638831,1137
X,1552156353,638413,22101
X,1552156353,639185,3685
X,1552156354,638871,1192
X,1552156354,638848,798
X,1552156355,638868,976
X,1552156356,638839,655
X,1552156356,638834,1398
X,1552156357,638913,1888
X,1552156357,638801,36294
X,1552156358,639042,10617
X,1552156358,638860,1082
X,1552156359,638752,1147
X,1552156360,638780,1071
X,1552156360,638807,1170
X,1552156361,638960,1694
X,1552156361,638834,1350
X,1552156362,638951,867
X,1552156362,638882,1239
X,1552156363,638955,1096
X,1552156364,638896,964
X,1552156364,638848,21818
X,1552156365,638882,2144
X,1552156365,638993,1007
X,1552156366,638932,1267
X,1552156366,639020,1821
X,1552156367,639010,750
X,1552156367,638926,1068
X,1552156368,639003,1079
X,1552156369,638966,1032
X,1552156369,638769,1214
X,1552156370,638787,1024
X,1552156370,638753,777
X,1552156371,638845,1004
X,1552156371,638914,5300
X,1552156372,639532,11323
P,1552156373,5167
X,1552156373,638851,4397
X,1552156373,638774,1674
X,1552156373,639318,4961
X,1552156373,638964,4046
X,1552156374,640980,45899
X,1552156374,639200,32568
X,1552156375,638415,23595
X,1552156376,638758,20024
X,1552156376,639649,49098
X,1552156377,635251,44315
X,1552156377,640786,33464
X,1552156378,640381,13873
X,1552156378,638071,35747
X,1552156379,639263,9166
X,1552156380,638466,52330
X,1552156380,639943,10734
X,1552156381,639201,4712
X,1552156381,639055,1644
X,1552156382,639096,1569
X,1552156382,639016,855
X,1552156383,639068,628
A,1552156383,638845,396
T,1552156383,2810
X,1552156385,639015,952
X,1552156385,638896,1236
X,1552156386,638892,666
X,1552156387,638917,782
X,1552156387,638928,684
X,1552156388,638971,2379
X,1552156388,639121,994
X,1552156389,638973,947
X,1552156389,638992,845
X,1552156390,639008,1071
X,1552156391,638938,1289
X,1552156391,639028,817
X,1552156392,639003,1186
X,1552156392,638943,1790
X,1552156393,639024,1048
X,1552156393,639003,1896
X,1552156394,639004,851
X,1552156395,639090,876
X,1552156395,639058,842
X,1552156396,638991,1000
X,1552156396,638997,660
X,1552156397,639104,3359
X,1552156397,639034,2505
X,1552156398,639090,1708
X,1552156398,639139,1931
X,1552156399,639124,1210
X,1552156400,639026,1068
X,1552156400,638950,2297
X,1552156401,638806,3220
X,1552156401,638698,10652
P,1552156402,5167
X,1552156402,638597,17098
X,1552156402,638833,55077
X,1552156403,638903,2748
X,1552156404,639000,1305
X,1552156404,638779,1341
X,1552156405,639078,1365
X,1552156405,638971,1452
X,1552156406,638951,1832
X,1552156406,638936,764
X,1552156407,639045,1357
X,1552156408,639084,974
X,1552156408,638870,1516
X,1552156409,638945,2070
X,1552156409,639103,1103
X,1552156410,639054,2025
X,1552156410,639010,1021
X,1552156411,638962,1137
X,1552156412,638960,952
X,1552156412,638932,987
X,1552156413,639044,1436
X,1552156413,638934,1065
X,1552156414,639116,866
X,1552156414,638988,1618
X,1552156414,639060,1090
X,1552156414,638885,1459
X,1552156415,638940,601
X,1552156416,638998,1379
X,1552156416,638998,903
A,1552156416,638998,229
T,1552156416,2810
X,1552156418,639002,1320
X,1552156419,638972,931
X,1552156419,638262,28415
X,1552156420,638532,18598
X,1552156420,636556,27152
X,1552156421,641873,19360
X,1552156422,640127,30953
X,1552156422,639522,3220
X,1552156423,639162,1868
X,1552156423,639162,665
X,1552156424,639204,2172
X,1552156424,639233,1425
X,1552156425,639172,1758
X,1552156425,639178,1034
X,1552156426,639262,1295
