H,1552433266,281190
P,1552433266,5150
P,1552433295,5152
P,1552433325,5152
P,1552433354,5151
P,1552433384,5149
P,1552433413,5152
P,1552433442,5150
P,1552433472,5150
P,1552433501,5151
P,1552433530,5151
P,1552433559,5152
P,1552433589,5151
P,1552433619,5152
P,1552433648,5151
P,1552433678,5151
P,1552433707,5151
P,1552433737,5151
P,1552433766,5152
P,1552433796,5150
P,1552433825,5150
P,1552433854,5151
P,1552433884,5149
P,1552433914,5151
P,1552433943,5149
P,1552433972,5151
P,1552434002,5152
P,1552434031,5150
P,1552434060,5151
P,1552434089,5150
P,1552434119,5152
P,1552434148,5153
D,1552434161,248576
D,1552434168,290304
P,1552434177,5151
D,1552434188,256768
D,1552434196,280064
P,1552434208,5152
P,1552434237,5152
P,1552434266,5152
D,1552434276,254464
D,1552434292,252928
P,1552434295,5151
P,1552434325,5151
D,1552434344,248064
R,1552434344,000000000
X,1552434346,275588,21246
X,1552434346,285099,13364
X,1552434347,283352,8528
X,1552434347,280998,18172
X,1552434348,273665,32219
X,1552434349,277046,22955
X,1552434349,284864,19130
X,1552434350,280746,15049
X,1552434350,276455,16293
X,1552434351,279617,4373
X,1552434351,281464,2529
O,1552434352,282059,301
O,1552434353,281728,1189
O,1552434353,281910,8343
O,1552434354,277894,11637
P,1552434354,5144
O,1552434354,279417,7898
O,1552434355,276299,16302
O,1552434355,276506,8648
O,1552434356,281215,3449
O,1552434357,281090,4162
O,1552434357,279914,7443
O,1552434358,280092,2406
O,1552434358,281116,1073
O,1552434359,283097,2368
O,1552434359,282122,2851
O,1552434360,284720,6167
O,1552434360,283404,4384
O,1552434361,279513,3811
O,1552434362,282398,3427
O,1552434362,278451,3139
O,1552434363,280896,2933
O,1552434363,281649,1946
O,1552434364,283659,4086
O,1552434364,282844,16100
O,1552434365,273466,14543
O,1552434366,278792,16778
O,1552434366,277405,7930
O,1552434367,280071,2748
O,1552434367,283365,8379
O,1552434368,280813,9026
O,1552434368,282154,6813
O,1552434369,284895,3706
O,1552434370,282890,4056
O,1552434370,285456,5425
O,1552434371,283661,6256
O,1552434371,283658,10530
O,1552434372,279572,17937
O,1552434372,277413,17327
O,1552434373,287241,5362
O,1552434374,284948,9119
O,1552434374,282230,12197
O,1552434375,283962,46091
O,1552434375,281146,9408
O,1552434376,285064,18890
O,1552434376,282793,8838
O,1552434376,284456,7188
O,1552434376,283790,14736
O,1552434377,283723,17700
O,1552434378,278401,7998
O,1552434378,281343,4423
O,1552434379,282134,2374
O,1552434379,285114,7889
O,1552434380,283338,6521
O,1552434380,283296,4637
O,1552434381,284712,2702
O,1552434382,283309,2898
O,1552434382,284756,6870
O,1552434383,284621,4250
P,1552434383,5144
O,1552434383,279976,6708
O,1552434384,282187,3177
O,1552434384,278171,5971
O,1552434385,279268,2941
O,1552434386,278335,8062
O,1552434386,279293,6605
O,1552434387,279521,5510
O,1552434387,281632,3293
O,1552434388,281590,1756
O,1552434388,281837,2285
O,1552434389,284262,1159
O,1552434389,284254,3133
O,1552434390,281910,9712
O,1552434391,282069,3200
O,1552434391,285389,4992
O,1552434392,289014,13983
O,1552434392,283626,7386
O,1552434393,283483,11761
O,1552434393,285300,6775
O,1552434394,282451,9673
O,1552434395,283884,22679
O,1552434395,284983,33178
O,1552434396,282753,22999
O,1552434396,284432,5529
O,1552434397,285581,7398
O,1552434397,286083,11541
O,1552434398,281848,7366
O,1552434399,280047,7035
O,1552434399,284554,5310
O,1552434400,280788,10242
O,1552434400,281990,6402
O,1552434401,280392,39790
O,1552434401,276537,21816
T,1552434402,2811
P,1552434413,5150
P,1552434442,5151
P,1552434471,5150
P,1552434501,5152
P,1552434531,5150
P,1552434560,5151
P,1552434589,5151
P,1552434619,5152
P,1552434648,5152
P,1552434677,5152
P,1552434706,5152
P,1552434736,5150
P,1552434765,5153
P,1552434795,5151
P,1552434825,5153
P,1552434854,5153
P,1552434883,5151
P,1552434912,5152
P,1552434942,5152
P,1552434971,5151
P,1552435000,5150
P,1552435030,5152
P,1552435059,5151
P,1552435089,5150
P,1552435118,5152
P,1552435148,5151
P,1552435177,5150
P,1552435206,5152
P,1552435236,5151
P,1552435265,5153
P,1552435294,5150
P,1552435323,5151
P,1552435353,5151
P,1552435383,5153
P,1552435412,5152
P,1552435442,5152
P,1552435471,5152
P,1552435500,5151
P,1552435529,5151
P,1552435559,5152
P,1552435588,5151
P,1552435617,5153
P,1552435647,5152
P,1552435677,5152
P,1552435706,5151
P,1552435735,5151
P,1552435765,5151
P,1552435794,5153
P,1552435823,5152
P,1552435852,5151
P,1552435882,5152
P,1552435911,5152
P,1552435940,5151
P,1552435971,5153
