H,1552676043,281190
X,1552676043,644088,2540
X,1552676043,643747,729
X,1552676044,643649,1263
X,1552676044,643154,1362
X,1552676045,644200,2416
X,1552676046,644775,2673
X,1552676046,644279,1218
X,1552676047,644586,1091
X,1552676047,644290,1295
X,1552676048,644267,2047
X,1552676048,644438,1640
X,1552676049,644648,3046
X,1552676050,644217,982
X,1552676050,644115,1250
X,1552676051,643792,1012
X,1552676051,643874,1295
X,1552676052,644128,746
X,1552676052,643987,2904
X,1552676053,643870,984
X,1552676053,644202,860
X,1552676054,644275,998
X,1552676055,644147,1423
X,1552676055,643854,1519
X,1552676056,643567,3308
X,1552676056,642453,3149
X,1552676057,643202,1378
X,1552676057,644322,2377
X,1552676058,644076,965
X,1552676059,643535,2145
X,1552676059,643451,1319
X,1552676060,643666,1874
X,1552676060,643713,4804
X,1552676061,643950,6305
X,1552676061,643799,4342
X,1552676062,643759,3732
X,1552676063,643298,1345
X,1552676063,643454,18529
X,1552676064,643381,1587
X,1552676064,647689,4436
P,1552676065,5145
X,1552676065,648048,1233
X,1552676065,647496,1470
X,1552676066,647962,1042
X,1552676067,647876,1578
X,1552676067,647507,3792
X,1552676068,647755,933
X,1552676068,647775,2786
X,1552676069,647950,1393
X,1552676069,648068,1080
X,1552676070,647902,1064
X,1552676070,647739,1150
X,1552676071,647433,4075
X,1552676072,647774,1349
X,1552676072,648277,1674
X,1552676073,648214,1018
X,1552676073,648217,1058
X,1552676074,647461,23299
X,1552676074,646913,3028
X,1552676075,647963,1220
X,1552676076,648941,2017
X,1552676076,649157,1109
X,1552676077,648287,815
X,1552676077,647961,1689
X,1552676078,647282,2805
X,1552676078,647592,1395
X,1552676079,648041,2545
X,1552676080,648032,1263
X,1552676080,647419,1009
X,1552676081,647563,950
X,1552676081,647226,6796
X,1552676082,646346,6856
X,1552676082,647950,2304
X,1552676082,647599,1434
X,1552676083,647304,1668
X,1552676083,647701,1920
X,1552676084,647538,3175
X,1552676084,647181,1066
X,1552676085,647035,1052
X,1552676085,646729,1167
X,1552676086,647155,1017
X,1552676086,647659,1895
X,1552676087,647572,2760
X,1552676088,647355,3035
X,1552676088,647811,1318
X,1552676089,647767,808
X,1552676089,647788,1699
X,1552676090,647942,3607
X,1552676090,647646,1859
X,1552676091,647626,2672
X,1552676092,647799,1407
X,1552676092,647728,1402
X,1552676093,647626,994
X,1552676093,647389,1116
P,1552676094,5145
X,1552676094,647291,996
X,1552676094,647594,1011
X,1552676095,647547,2722
X,1552676096,647321,751
X,1552676096,647227,997
X,1552676097,647383,1458
X,1552676097,647276,1918
X,1552676098,647814,1980
X,1552676098,647844,3558
X,1552676099,648990,7857
X,1552676100,647217,3403
X,1552676100,646371,4713
X,1552676101,645767,2243
X,1552676101,646962,2358
X,1552676102,646630,2301
X,1552676102,647332,1407
X,1552676103,646714,770
X,1552676103,646572,1702
X,1552676104,646951,1416
X,1552676105,647041,2738
X,1552676105,645926,2299
X,1552676106,646804,1574
X,1552676106,647414,1615
X,1552676107,647738,2014
X,1552676107,647774,990
X,1552676108,647938,2877
X,1552676109,647705,1126
X,1552676109,648078,5758
X,1552676110,646666,11791
X,1552676110,647609,2410
X,1552676111,647128,2022
X,1552676111,647378,1082
X,1552676112,647833,501
X,1552676113,647958,1224
X,1552676113,647683,1175
X,1552676114,647694,1210
X,1552676114,647894,2606
X,1552676115,648297,2986
X,1552676115,645415,4121
X,1552676116,646295,42565
X,1552676116,647545,5409
X,1552676117,648102,1169
X,1552676118,647585,1396
X,1552676118,647628,601
X,1552676119,647377,741
A,1552676119,646333,4540
T,1552676119,2819
U,1552676119,0
X,1552676121,621469,833
X,1552676121,621511,724
X,1552676122,620982,1003
X,1552676122,621010,1005
X,1552676123,620231,2659
X,1552676123,620727,1139
P,1552676123,5144
X,1552676123,620998,1384
X,1552676124,621008,1196
X,1552676124,620907,894
X,1552676125,620446,2358
X,1552676125,620608,2074
X,1552676126,621257,1994
X,1552676127,621309,866
X,1552676127,621049,1504
X,1552676128,620963,1144
X,1552676128,621232,707
X,1552676129,621309,1691
X,1552676129,623118,17866
X,1552676130,619377,32930
X,1552676130,621504,3937
X,1552676131,621092,1119
X,1552676132,621346,39753
X,1552676132,622711,6996
X,1552676133,622073,1612
X,1552676133,621919,957
X,1552676134,621492,1156
X,1552676134,620989,1128
X,1552676135,620785,900
