H,1552946174,281190
D,1552946174,441344
D,1552946176,428800
D,1552946178,427008
D,1552946180,428032
D,1552946182,424448
D,1552946185,427264
D,1552946187,423680
D,1552946189,384000
D,1552946191,475648
D,1552946193,389120
D,1552946196,417280
D,1552946198,429056
D,1552946200,431360
P,1552946200,5027
D,1552946202,428544
D,1552946204,429312
D,1552946207,429312
D,1552946209,428032
D,1552946210,428800
D,1552946212,425984
D,1552946214,421888
R,1552946215,000000000
X,1552946216,652069,3855
X,1552946217,654491,63590
X,1552946217,646632,28647
X,1552946218,649070,6193
X,1552946219,652733,32978
X,1552946219,648518,1075
X,1552946220,653296,33368
X,1552946220,651808,59945
X,1552946221,652085,39856
X,1552946221,651710,45665
X,1552946222,651830,31031
X,1552946223,652043,6206
X,1552946223,651817,9495
X,1552946224,651822,2699
X,1552946224,651927,2872
X,1552946225,651954,1680
X,1552946225,652127,5377
X,1552946226,651935,7976
X,1552946227,651994,6311
X,1552946227,651780,4730
X,1552946228,651629,8964
X,1552946228,651784,4408
X,1552946229,651976,3742
X,1552946229,651766,1871
P,1552946229,5125
X,1552946230,651958,1344
X,1552946230,651938,4114
X,1552946231,652111,5305
X,1552946232,652033,2070
X,1552946232,651960,1399
X,1552946233,651841,1967
X,1552946233,651954,1899
X,1552946234,651873,1209
X,1552946234,651955,2346
X,1552946235,652146,1983
X,1552946236,651685,1639
X,1552946236,652038,1787
X,1552946237,651907,1630
X,1552946237,651836,1695
X,1552946238,651955,2801
X,1552946238,652069,1864
X,1552946239,651982,2189
X,1552946240,651883,3194
X,1552946240,651956,1509
X,1552946241,651954,1982
X,1552946241,651972,1660
X,1552946242,651793,1566
X,1552946242,652033,1504
X,1552946243,652019,1824
X,1552946243,652059,1737
X,1552946244,651916,2164
X,1552946245,651942,1992
X,1552946245,651896,2748
X,1552946246,651946,3717
X,1552946246,651809,4078
X,1552946247,651962,4899
X,1552946247,651915,1970
X,1552946248,651903,1853
X,1552946249,651878,1532
X,1552946249,651967,2695
X,1552946250,652012,2045
X,1552946250,652073,2682
X,1552946250,652087,2828
X,1552946250,652177,3380
X,1552946251,651989,2176
X,1552946252,652027,1755
X,1552946252,651969,2115
X,1552946253,652040,1503
X,1552946253,652005,1471
X,1552946254,651939,1618
X,1552946254,651972,2579
X,1552946255,652365,3474
X,1552946256,651920,8005
X,1552946256,651965,1298
X,1552946257,651909,2164
X,1552946257,652032,1597
X,1552946258,652032,1863
X,1552946258,652101,1863
P,1552946259,5123
X,1552946259,651939,1442
X,1552946259,651984,1670
X,1552946260,652030,1548
X,1552946261,651936,1950
X,1552946261,651878,1977
X,1552946262,652148,2093
X,1552946262,651741,7831
X,1552946263,651825,5201
X,1552946263,652075,5627
X,1552946264,651802,6881
X,1552946265,651696,7800
X,1552946265,652030,1528
X,1552946266,651893,14382
X,1552946266,651980,1956
X,1552946267,651990,1529
X,1552946267,651968,1954
X,1552946268,651975,1290
X,1552946269,652053,2826
X,1552946269,652008,2492
X,1552946270,651010,5550
X,1552946270,653090,9991
X,1552946271,652011,2453
X,1552946271,652074,1282
X,1552946272,651992,1036
X,1552946273,651678,8030
X,1552946273,652043,4361
X,1552946274,651979,1745
X,1552946274,652018,1445
X,1552946275,651981,1230
X,1552946275,651961,1520
X,1552946276,652121,2136
X,1552946276,651946,2163
X,1552946277,651997,1386
X,1552946278,652036,1723
X,1552946278,652014,1776
X,1552946279,652351,1642
X,1552946279,651473,6352
X,1552946280,651962,3392
X,1552946280,651941,4646
X,1552946281,652113,2885
X,1552946282,652220,9288
X,1552946282,651776,4155
X,1552946283,651835,12511
X,1552946283,652042,1693
X,1552946284,652328,7812
X,1552946284,652042,2942
X,1552946285,651837,3281
X,1552946286,652010,4236
X,1552946286,653959,15811
X,1552946287,640814,25871
X,1552946287,644427,10159
X,1552946288,655491,30343
X,1552946288,654645,42119
P,1552946289,5120
X,1552946289,651898,4486
X,1552946289,648927,10970
X,1552946290,654867,18075
X,1552946291,652577,26625
X,1552946291,652902,11458
X,1552946291,651873,1538
X,1552946291,652558,15982
X,1552946292,651039,4884
X,1552946292,651802,2220
X,1552946293,651690,1817
X,1552946294,651653,2200
X,1552946294,651800,2124
X,1552946295,652024,1856
X,1552946295,651856,1816
X,1552946296,651674,1424
X,1552946296,651772,2165
X,1552946297,651649,2364
X,1552946298,651983,2775
X,1552946298,651281,4656
X,1552946299,651857,8816
X,1552946299,651832,2419
X,1552946300,651782,1619
X,1552946300,652231,6202
