H,1553307231,281190
P,1553307231,5133
P,1553307260,5134
P,1553307291,5134
P,1553307320,5133
P,1553307349,5134
P,1553307378,5133
P,1553307408,5133
P,1553307437,5133
P,1553307466,5134
P,1553307496,5134
P,1553307525,5133
P,1553307554,5133
P,1553307584,5131
P,1553307614,5134
P,1553307643,5134
P,1553307672,5134
P,1553307702,5132
P,1553307731,5133
P,1553307760,5133
P,1553307789,5134
P,1553307819,5133
P,1553307848,5134
P,1553307878,5135
P,1553307908,5133
P,1553307937,5128
P,1553307966,5134
P,1553307995,5134
P,1553308025,5134
P,1553308054,5133
P,1553308083,5132
P,1553308113,5133
D,1553308127,544256
D,1553308129,522240
D,1553308131,522496
D,1553308134,521472
D,1553308136,519936
D,1553308138,524032
D,1553308140,522496
P,1553308142,5132
D,1553308142,524288
D,1553308145,524544
D,1553308147,523776
D,1553308149,523264
D,1553308151,523264
D,1553308154,523520
D,1553308156,523520
D,1553308157,523008
D,1553308159,523776
R,1553308159,000000000
X,1553308161,794620,6200
X,1553308161,795128,1626
X,1553308162,794955,1177
X,1553308163,795034,1790
X,1553308163,794891,2469
X,1553308164,795120,2982
X,1553308164,795092,1244
X,1553308165,795090,1205
X,1553308165,795197,1492
X,1553308166,795183,1976
X,1553308167,795011,3473
X,1553308167,794934,1516
X,1553308168,795005,1223
X,1553308168,794948,1457
X,1553308169,795077,1838
X,1553308169,795112,3260
X,1553308170,795104,1535
X,1553308171,795094,1531
X,1553308171,794863,1797
P,1553308172,5125
X,1553308172,795308,2863
X,1553308172,795162,3392
X,1553308173,795061,10143
X,1553308173,795033,1654
X,1553308174,795062,1408
X,1553308175,795214,1353
X,1553308175,795184,1851
X,1553308176,795203,3262
X,1553308176,795141,1819
X,1553308177,795131,1122
X,1553308177,795178,1155
X,1553308178,795278,2164
X,1553308178,795292,1592
X,1553308179,795460,2379
X,1553308180,795323,1397
X,1553308180,795351,1394
X,1553308181,795109,1028
X,1553308181,795429,1322
X,1553308182,795480,4533
X,1553308182,795088,4085
X,1553308183,795849,1758
X,1553308184,795218,1832
X,1553308184,795238,2726
X,1553308185,795340,2215
X,1553308185,795303,1361
X,1553308186,795330,1774
X,1553308186,795235,1379
X,1553308187,795279,1847
X,1553308188,795297,1596
X,1553308188,795509,2130
X,1553308189,795595,2227
X,1553308189,795467,1137
X,1553308190,795339,1098
X,1553308190,795171,2323
X,1553308191,794996,12856
X,1553308192,794833,4391
X,1553308192,795114,1311
X,1553308193,794893,1579
X,1553308193,795128,1477
X,1553308194,795324,1384
X,1553308194,796257,8007
X,1553308195,795214,3240
X,1553308195,795419,1125
X,1553308196,795301,2084
X,1553308197,795370,1973
X,1553308197,795232,3308
X,1553308197,795326,2006
X,1553308197,795601,1561
X,1553308198,795264,1388
X,1553308198,795435,1716
X,1553308199,795291,3252
X,1553308200,795259,2048
X,1553308200,795368,1496
P,1553308201,5124
X,1553308201,795279,1328
X,1553308201,795382,2193
X,1553308202,795414,1561
X,1553308202,795447,3645
X,1553308203,795391,1557
X,1553308204,795288,1586
X,1553308204,795160,4939
X,1553308205,795537,1976
X,1553308205,795219,4928
X,1553308206,795393,1756
X,1553308206,795438,1534
X,1553308207,795290,1041
X,1553308207,795417,2058
X,1553308208,795332,4549
X,1553308209,795340,1791
X,1553308209,795414,1583
X,1553308210,795433,1358
X,1553308210,795413,1714
X,1553308211,795417,1790
X,1553308211,795430,3881
X,1553308212,795396,1857
X,1553308213,795464,1616
X,1553308213,795394,1397
X,1553308214,795371,1815
X,1553308214,795423,1952
X,1553308215,795477,3573
X,1553308215,795461,1363
X,1553308216,795440,1109
X,1553308217,795351,1594
X,1553308217,795371,1494
X,1553308218,795495,1556
X,1553308218,795490,1333
X,1553308219,795357,1757
X,1553308219,795406,1389
X,1553308220,795349,830
X,1553308221,795369,1657
X,1553308221,795498,1503
X,1553308222,795459,3395
X,1553308222,795475,1140
X,1553308223,795477,1060
X,1553308223,795283,1352
X,1553308224,795961,3211
X,1553308224,795134,1918
X,1553308225,795305,2582
X,1553308226,795176,1712
X,1553308226,795128,1430
X,1553308227,795156,1598
X,1553308227,795410,1747
X,1553308228,795327,1795
X,1553308228,795632,3911
X,1553308229,795389,1560
X,1553308230,795456,1433
X,1553308230,795361,1167
X,1553308231,795548,1675
P,1553308231,5127
X,1553308231,795547,2200
X,1553308232,795730,3261
X,1553308232,795512,1525
X,1553308233,795419,1712
X,1553308234,795410,1822
X,1553308234,795504,2027
X,1553308235,795417,2068
X,1553308235,795526,3785
X,1553308236,795370,1452
