H,1555171200,281190
U,1555171200,0
E,1555171200,1
P,1555171200,5095
P,1555171229,5095
P,1555171259,5095
P,1555171288,5095
P,1555171317,5097
P,1555171346,5095
P,1555171376,5095
P,1555171405,5094
P,1555171435,5096
P,1555171465,5096
P,1555171494,5095
P,1555171523,5097
P,1555171552,5096
P,1555171582,5097
P,1555171611,5095
P,1555171640,5096
P,1555171670,5094
P,1555171699,5096
P,1555171729,5095
P,1555171758,5096
P,1555171788,5097
P,1555171817,5095
P,1555171846,5096
P,1555171876,5097
P,1555171905,5095
P,1555171934,5096
P,1555171963,5095
P,1555171993,5097
P,1555172023,5096
P,1555172052,5095
P,1555172082,5095
P,1555172111,5097
P,1555172140,5097
P,1555172169,5096
P,1555172199,5094
P,1555172228,5094
P,1555172257,5097
P,1555172287,5096
P,1555172317,5096
P,1555172346,5094
P,1555172375,5097
P,1555172405,5096
P,1555172434,5096
P,1555172463,5095
P,1555172492,5096
P,1555172522,5094
P,1555172551,5097
P,1555172580,5097
P,1555172611,5095
P,1555172640,5093
P,1555172669,5095
P,1555172698,5097
P,1555172728,5095
P,1555172757,5093
O,1555172782,296751,1835
O,1555172783,296609,709
O,1555172783,296504,1027
O,1555172784,296560,716
O,1555172785,296475,553
O,1555172785,296213,298
O,1555172786,296440,356
P,1555172786,5089
O,1555172786,296605,507
O,1555172787,297185,512
O,1555172787,296850,847
O,1555172788,296570,1321
O,1555172789,295796,1963
O,1555172789,295454,2870
O,1555172790,295251,2160
O,1555172790,295056,2205
O,1555172791,295328,2351
O,1555172791,295245,996
O,1555172792,295220,2116
O,1555172793,296425,1602
O,1555172793,295717,4478
O,1555172794,296171,2303
O,1555172794,294077,5454
O,1555172795,292949,3807
O,1555172795,294126,3702
O,1555172796,295342,11785
O,1555172796,291378,7032
O,1555172797,294735,4810
O,1555172798,293840,9791
O,1555172798,293662,7981
O,1555172799,294062,3272
O,1555172799,295314,3488
O,1555172800,294500,4655
O,1555172800,293650,3313
O,1555172801,293532,3911
O,1555172802,293286,8189
O,1555172802,293529,3018
O,1555172803,294872,3322
O,1555172803,291296,10011
O,1555172804,290075,15514
O,1555172804,293393,7778
O,1555172805,294246,4643
O,1555172806,292641,3216
O,1555172806,294765,2287
O,1555172807,295569,1189
O,1555172807,295806,1936
O,1555172808,295103,3199
O,1555172808,295480,2140
O,1555172809,295937,421
O,1555172809,296261,739
O,1555172810,296570,274
O,1555172811,296054,1068
O,1555172811,296071,1177
O,1555172812,295932,1279
O,1555172812,296044,707
O,1555172813,296552,343
O,1555172813,296529,349
O,1555172814,296581,261
O,1555172815,296690,145
O,1555172815,296760,144
O,1555172816,296631,327
O,1555172816,296663,296
P,1555172816,5088
O,1555172817,296496,238
O,1555172817,296705,224
O,1555172818,296783,146
O,1555172819,296633,206
O,1555172819,296677,3982
O,1555172820,295243,9260
O,1555172820,294669,2471
O,1555172820,295323,1546
O,1555172820,295445,2655
O,1555172821,295822,1239
O,1555172822,295809,373
O,1555172822,296128,1055
O,1555172823,296713,180
O,1555172823,296759,322
O,1555172824,296142,3768
O,1555172824,294719,2987
O,1555172825,293962,1462
O,1555172825,294965,1518
O,1555172826,296066,271
O,1555172827,296480,728
O,1555172827,296562,189
O,1555172828,296617,170
O,1555172828,296691,157
O,1555172829,296362,373
O,1555172829,296001,653
O,1555172830,296628,806
O,1555172831,296122,376
O,1555172831,295950,1291
O,1555172832,295699,1865
O,1555172832,295725,1518
O,1555172833,296060,549
O,1555172833,296332,706
O,1555172834,296402,156
O,1555172835,296449,148
O,1555172835,296423,377
O,1555172836,296202,354
O,1555172836,296319,263
O,1555172837,296410,347
O,1555172837,296257,232
O,1555172838,296480,358
T,1555172838,2839
P,1555172845,5095
P,1555172874,5096
P,1555172904,5097
P,1555172934,5095
P,1555172963,5097
P,1555172992,5095
P,1555173022,5096
P,1555173051,5096
P,1555173080,5095
P,1555173109,5095
P,1555173139,5095
P,1555173168,5095
P,1555173198,5094
P,1555173228,5096
P,1555173257,5094
P,1555173286,5095
P,1555173315,5095
P,1555173345,5096
P,1555173374,5096
P,1555173403,5095
P,1555173433,5095
P,1555173462,5095
P,1555173492,5097
P,1555173521,5095
P,1555173551,5095
P,1555173580,5096
P,1555173609,5096
P,1555173639,5096
P,1555173668,5094
P,1555173697,5096
P,1555173726,5095
P,1555173756,5096
P,1555173787,5095
P,1555173816,5095
P,1555173846,5096
P,1555173875,5096
P,1555173904,5095
P,1555173933,5095
P,1555173963,5095
P,1555173992,5094
P,1555174021,5095
P,1555174051,5096
P,1555174081,5095
P,1555174110,5096
P,1555174139,5095
