H,1556799717,281190
U,1556799717,0
E,1556799717,1
P,1556799717,5025
O,1556799717,27118,9048
O,1556799718,296596,4882
O,1556799719,302053,11370
O,1556799719,306540,556
O,1556799720,307374,229
O,1556799720,307232,286
O,1556799721,307068,447
O,1556799722,307779,1856
O,1556799722,308048,2788
O,1556799722,308204,1004
O,1556799722,307947,630
O,1556799723,307820,942
O,1556799723,307706,765
O,1556799724,307609,423
O,1556799724,307461,400
O,1556799725,307511,452
O,1556799726,307403,923
O,1556799726,306912,1138
O,1556799727,306487,1404
O,1556799727,307097,1010
O,1556799728,306702,1348
O,1556799728,306638,1236
O,1556799729,307414,2215
O,1556799730,307964,1485
O,1556799730,307708,1263
O,1556799731,306973,754
O,1556799731,307210,1074
O,1556799732,307492,543
O,1556799732,307270,598
O,1556799733,306851,566
O,1556799734,307228,664
O,1556799734,307398,509
O,1556799735,307045,1265
O,1556799735,306423,2050
O,1556799736,306191,1947
O,1556799736,307909,1227
O,1556799737,307286,1258
O,1556799737,306134,2325
O,1556799738,305335,1327
O,1556799739,306071,835
O,1556799739,304414,2731
O,1556799740,301601,4008
O,1556799740,300171,9872
O,1556799741,292684,4281
O,1556799741,295014,3084
O,1556799742,296605,3288
O,1556799743,297926,6640
O,1556799743,300294,1741
O,1556799744,300527,897
O,1556799744,300994,536
O,1556799745,301006,417
C,1556799745,0
O,1556799745,300390,402
E,1556799746,0
U,1556799771,0
E,1556799771,1
