H,1548521370,311106
P,1548521370,5158
P,1548521399,5157
P,1548521428,5158
P,1548521458,5159
P,1548521487,5159
P,1548521516,5157
P,1548521546,5159
P,1548521575,5158
P,1548521604,5159
P,1548521634,5157
P,1548521664,5158
P,1548521693,5159
P,1548521722,5157
P,1548521751,5158
P,1548521781,5158
P,1548521810,5157
P,1548521839,5160
P,1548521869,5157
P,1548521898,5158
P,1548521928,5158
P,1548521957,5159
P,1548521987,5158
P,1548522016,5158
P,1548522045,5157
P,1548522075,5158
P,1548522104,5158
P,1548522133,5157
P,1548522162,5158
P,1548522192,5158
P,1548522222,5158
P,1548522251,5158
P,1548522281,5158
P,1548522310,5156
P,1548522339,5158
P,1548522368,5159
P,1548522398,5158
P,1548522427,5157
P,1548522456,5157
P,1548522486,5157
P,1548522516,5158
P,1548522545,5158
P,1548522574,5158
P,1548522604,5157
P,1548522633,5156
P,1548522662,5158
P,1548522692,5157
P,1548522721,5159
O,1548522735,297502,2017
O,1548522736,297771,72
O,1548522737,297813,116
O,1548522737,297856,123
O,1548522738,297899,116
O,1548522738,297832,75
O,1548522739,297800,142
O,1548522739,297819,150
O,1548522740,297694,183
O,1548522741,297443,352
O,1548522741,297538,239
O,1548522742,297606,328
O,1548522742,297680,258
O,1548522743,297743,135
O,1548522743,297906,201
O,1548522744,297750,104
O,1548522745,297680,149
O,1548522745,297591,108
O,1548522746,297640,243
O,1548522746,297786,63
O,1548522747,297849,144
O,1548522747,297809,78
O,1548522748,297794,97
O,1548522749,297745,88
O,1548522749,297717,221
O,1548522750,297936,261
O,1548522750,297751,296
P,1548522750,5149
O,1548522751,297923,314
O,1548522751,298464,524
O,1548522752,297181,2789
O,1548522752,297134,508
O,1548522753,297248,725
O,1548522754,297318,422
O,1548522754,297587,441
O,1548522755,297418,1079
O,1548522755,297078,451
O,1548522756,296965,744
O,1548522756,297382,411
O,1548522757,297324,271
O,1548522758,297255,562
O,1548522758,297694,668
O,1548522759,297775,543
O,1548522759,297614,338
O,1548522760,297663,183
O,1548522760,297753,270
O,1548522761,297729,235
O,1548522762,297687,165
O,1548522762,297861,69
O,1548522763,297764,115
O,1548522763,297678,109
O,1548522764,297723,181
O,1548522764,297715,130
O,1548522765,297624,98
O,1548522765,297896,138
O,1548522766,297885,126
O,1548522767,297911,154
O,1548522767,297929,275
O,1548522768,298221,265
O,1548522768,297921,313
O,1548522769,297506,208
O,1548522769,297953,232
O,1548522770,297711,506
O,1548522771,297603,218
O,1548522771,297378,577
O,1548522772,297699,564
O,1548522772,297787,225
O,1548522773,297849,164
O,1548522773,297835,198
O,1548522774,297563,282
O,1548522775,297598,100
O,1548522775,297528,123
O,1548522776,297437,204
O,1548522776,297329,183
O,1548522776,297728,174
O,1548522776,297628,99
O,1548522777,297585,115
O,1548522778,297673,190
O,1548522778,297705,164
O,1548522779,297815,149
O,1548522779,297708,186
P,1548522779,5148
O,1548522780,297696,84
O,1548522780,297511,480
O,1548522781,297516,157
O,1548522781,297578,294
O,1548522782,297652,250
O,1548522783,297820,481
O,1548522783,297557,1213
O,1548522784,297958,457
O,1548522784,297710,199
O,1548522785,297740,128
O,1548522785,297331,716
O,1548522786,297403,606
O,1548522787,297770,380
O,1548522787,298056,282
O,1548522788,298208,580
O,1548522788,297881,484
O,1548522789,297642,211
O,1548522789,297567,498
O,1548522790,298092,305
O,1548522791,297956,399
O,1548522791,297892,275
T,1548522791,2762
P,1548522810,5158
P,1548522839,5157
P,1548522868,5158
P,1548522898,5158
P,1548522927,5158
P,1548522956,5157
P,1548522985,5158
P,1548523015,5156
P,1548523044,5156
P,1548523073,5158
P,1548523104,5156
P,1548523133,5158
P,1548523162,5158
P,1548523191,5158
P,1548523221,5158
P,1548523250,5158
P,1548523279,5159
P,1548523309,5158
P,1548523338,5158
P,1548523368,5157
P,1548523398,5157
P,1548523428,5157
P,1548523457,5157
P,1548523486,5157
P,1548523515,5158
P,1548523545,5157
P,1548523574,5157
P,1548523603,5157
P,1548523633,5158
P,1548523662,5157
P,1548523692,5158
P,1548523721,5157
P,1548523751,5157
P,1548523780,5157
P,1548523809,5157
P,1548523839,5157
P,1548523868,5157
P,1548523897,5158
P,1548523926,5157
P,1548523956,5157
P,1548523986,5158
P,1548524015,5157
P,1548524045,5157
P,1548524074,5157
P,1548524103,5156
P,1548524132,5158
P,1548524162,5157
P,1548524191,5157
P,1548524220,5158
P,1548524250,5158
P,1548524280,5157
P,1548524309,5157
