H,1550206472,311106
P,1550206472,5111
P,1550206502,5111
P,1550206531,5111
P,1550206560,5112
P,1550206590,5110
P,1550206619,5112
P,1550206648,5111
P,1550206677,5111
P,1550206707,5112
P,1550206736,5112
P,1550206766,5111
P,1550206796,5111
P,1550206826,5111
P,1550206855,5110
P,1550206884,5110
P,1550206914,5111
P,1550206943,5110
P,1550206972,5112
P,1550207002,5112
P,1550207031,5112
P,1550207061,5112
P,1550207090,5111
P,1550207120,5110
P,1550207149,5112
P,1550207178,5111
P,1550207208,5111
P,1550207237,5112
P,1550207266,5109
P,1550207295,5112
P,1550207325,5112
P,1550207355,5112
P,1550207384,5110
P,1550207414,5111
P,1550207443,5112
P,1550207472,5111
P,1550207501,5111
P,1550207531,5111
P,1550207560,5110
P,1550207589,5110
P,1550207619,5112
P,1550207649,5110
P,1550207678,5111
P,1550207707,5112
P,1550207737,5112
P,1550207766,5111
P,1550207795,5110
P,1550207825,5110
P,1550207854,5111
P,1550207883,5110
P,1550207912,5110
P,1550207943,5110
P,1550207972,5111
P,1550208001,5110
P,1550208030,5111
P,1550208060,5111
P,1550208089,5111
P,1550208118,5111
P,1550208148,5111
P,1550208177,5105
P,1550208206,5110
P,1550208236,5111
P,1550208266,5111
O,1550208272,305604,1962
O,1550208273,305818,110
O,1550208273,305825,99
O,1550208274,305738,170
O,1550208274,305706,205
O,1550208275,305622,87
O,1550208275,305804,182
O,1550208276,305815,147
O,1550208276,305778,94
O,1550208276,305824,98
O,1550208277,305804,60
O,1550208277,305817,110
O,1550208278,305803,75
O,1550208278,305814,98
O,1550208279,305835,102
O,1550208280,305780,122
O,1550208280,305806,150
O,1550208281,305783,137
O,1550208281,305799,138
O,1550208282,305802,138
O,1550208282,305792,91
O,1550208283,305836,97
O,1550208283,305864,112
O,1550208284,305805,171
O,1550208285,305744,115
O,1550208285,305818,61
O,1550208286,305812,63
O,1550208286,305779,150
O,1550208287,305945,109
O,1550208287,305948,112
O,1550208288,306042,171
O,1550208289,305956,196
O,1550208289,305868,274
O,1550208290,305693,212
O,1550208290,305445,230
O,1550208291,305684,205
O,1550208291,305681,262
O,1550208292,305758,145
O,1550208293,305820,141
O,1550208293,305918,128
O,1550208294,305980,177
O,1550208294,306013,100
P,1550208295,5103
O,1550208295,305756,213
O,1550208295,305788,209
O,1550208296,305787,105
O,1550208297,305859,153
O,1550208297,305863,123
O,1550208298,305738,378
O,1550208298,305541,147
O,1550208299,305721,226
O,1550208299,305648,101
O,1550208300,305719,84
O,1550208300,305735,110
O,1550208301,305735,113
O,1550208302,305777,202
O,1550208302,305726,56
O,1550208303,305715,152
O,1550208303,305785,94
O,1550208304,305800,107
O,1550208304,305801,89
O,1550208305,305780,100
O,1550208306,305777,107
O,1550208306,305773,142
O,1550208307,305797,180
O,1550208307,305661,101
O,1550208308,305746,71
O,1550208308,305830,156
O,1550208309,305719,71
O,1550208310,305766,252
O,1550208310,305710,236
O,1550208311,305728,148
O,1550208311,305789,176
O,1550208312,305747,269
O,1550208312,305650,84
O,1550208313,305682,139
O,1550208314,305812,191
O,1550208314,305719,354
O,1550208315,305687,187
O,1550208315,305724,96
O,1550208316,305738,62
O,1550208316,305756,111
O,1550208317,305825,59
O,1550208317,305838,89
O,1550208317,305816,108
O,1550208318,305832,93
O,1550208318,305840,108
O,1550208319,305883,97
O,1550208319,305833,61
O,1550208320,305869,145
O,1550208320,305854,106
O,1550208321,305879,106
O,1550208322,305907,74
O,1550208322,305928,85
O,1550208323,305899,92
O,1550208323,305876,63
O,1550208324,305853,127
P,1550208324,5101
O,1550208324,305843,86
O,1550208325,305856,136
O,1550208326,305855,153
O,1550208326,305849,117
O,1550208327,305828,98
T,1550208327,2736
P,1550208354,5110
P,1550208383,5110
P,1550208412,5111
P,1550208441,5112
P,1550208471,5111
P,1550208500,5111
P,1550208530,5110
P,1550208560,5109
P,1550208589,5111
P,1550208618,5111
P,1550208647,5111
P,1550208677,5112
P,1550208706,5110
P,1550208735,5110
P,1550208765,5110
P,1550208794,5111
P,1550208824,5111
P,1550208853,5111
P,1550208883,5111
P,1550208912,5111
P,1550208941,5111
P,1550208971,5111
P,1550209000,5111
P,1550209029,5111
P,1550209058,5111
P,1550209088,5111
P,1550209118,5110
P,1550209147,5111
P,1550209177,5111
P,1550209206,5110
P,1550209235,5111
P,1550209264,5111
P,1550209294,5112
P,1550209323,5112
P,1550209352,5111
P,1550209382,5111
P,1550209412,5111
P,1550209442,5111
P,1550209471,5110
