H,1550386298,311106
P,1550386298,5118
P,1550386327,5118
P,1550386357,5118
P,1550386386,5118
P,1550386416,5119
P,1550386445,5117
P,1550386474,5117
P,1550386504,5118
P,1550386533,5118
P,1550386562,5117
P,1550386591,5118
P,1550386621,5118
P,1550386651,5117
P,1550386680,5117
P,1550386710,5116
P,1550386739,5116
P,1550386768,5118
P,1550386797,5118
P,1550386827,5118
P,1550386856,5117
P,1550386885,5117
P,1550386915,5116
P,1550386945,5117
P,1550386974,5116
P,1550387003,5118
P,1550387033,5118
P,1550387062,5116
P,1550387091,5117
P,1550387120,5116
P,1550387150,5118
P,1550387179,5116
P,1550387208,5117
P,1550387239,5117
P,1550387268,5117
P,1550387297,5117
P,1550387326,5115
P,1550387356,5117
P,1550387385,5118
P,1550387414,5117
P,1550387444,5116
P,1550387473,5117
P,1550387502,5116
P,1550387532,5117
P,1550387562,5117
P,1550387591,5116
P,1550387620,5117
P,1550387650,5115
P,1550387679,5117
P,1550387708,5118
P,1550387738,5117
O,1550387763,301736,1888
O,1550387764,301961,88
O,1550387764,301929,114
O,1550387765,301931,75
O,1550387765,301918,82
O,1550387766,301863,86
O,1550387766,301902,72
O,1550387767,301887,113
O,1550387768,301886,90
O,1550387768,301895,86
P,1550387768,5107
O,1550387769,301883,92
O,1550387769,301884,77
O,1550387770,301890,104
O,1550387770,301902,83
O,1550387771,301890,100
O,1550387771,301893,86
O,1550387772,301876,106
O,1550387773,301912,91
O,1550387773,301910,114
O,1550387774,301904,87
O,1550387774,301904,127
O,1550387775,301922,69
O,1550387775,301906,114
O,1550387776,301915,83
O,1550387777,301864,131
O,1550387777,301830,100
O,1550387777,301857,77
O,1550387777,301830,114
O,1550387778,301869,115
O,1550387778,301875,122
O,1550387779,301869,87
O,1550387780,301866,107
O,1550387780,301884,113
O,1550387781,301884,58
O,1550387781,301875,87
O,1550387782,301877,94
O,1550387782,301870,117
O,1550387783,301877,74
O,1550387784,301901,76
O,1550387784,301889,84
O,1550387785,301893,105
O,1550387785,301888,99
O,1550387786,301865,134
O,1550387786,301872,111
O,1550387787,301883,87
O,1550387787,301899,116
O,1550387788,301924,123
O,1550387789,301902,141
O,1550387789,301880,95
O,1550387790,301912,95
O,1550387790,301909,90
O,1550387791,301900,70
O,1550387791,301910,85
O,1550387792,301892,145
O,1550387793,301918,116
O,1550387793,301903,110
O,1550387794,301918,176
O,1550387794,301896,101
O,1550387795,301926,88
O,1550387795,301912,75
O,1550387796,301896,126
O,1550387797,301920,109
O,1550387797,301898,59
P,1550387797,5109
O,1550387798,301932,70
O,1550387798,301929,88
O,1550387799,301947,81
O,1550387799,301960,73
O,1550387800,301924,119
O,1550387800,301929,85
O,1550387801,301952,117
O,1550387802,301957,90
O,1550387802,301945,93
O,1550387803,301929,133
O,1550387803,301920,125
O,1550387804,301937,70
O,1550387804,301925,71
O,1550387805,301912,80
O,1550387806,301864,101
O,1550387806,301911,116
O,1550387807,301880,86
O,1550387807,301866,112
O,1550387808,301890,96
O,1550387808,301875,113
O,1550387809,301820,126
O,1550387810,301847,96
O,1550387810,301852,62
O,1550387811,301831,110
O,1550387811,301830,117
O,1550387812,301823,83
O,1550387812,301848,105
O,1550387813,301870,72
O,1550387814,301873,112
O,1550387814,301891,114
O,1550387815,301895,137
O,1550387815,301884,93
O,1550387816,301884,107
O,1550387816,301884,117
O,1550387817,301875,79
O,1550387817,301865,106
O,1550387818,301893,109
O,1550387818,301895,84
T,1550387818,2749
P,1550387827,5116
P,1550387857,5118
P,1550387886,5117
P,1550387915,5116
P,1550387944,5118
P,1550387974,5117
P,1550388003,5117
P,1550388032,5117
P,1550388062,5118
P,1550388091,5117
P,1550388121,5117
P,1550388150,5118
P,1550388180,5116
P,1550388209,5116
P,1550388238,5117
P,1550388268,5117
P,1550388297,5116
P,1550388326,5118
P,1550388355,5117
P,1550388385,5116
P,1550388415,5116
P,1550388444,5115
P,1550388474,5116
P,1550388503,5117
P,1550388532,5116
P,1550388561,5117
P,1550388591,5119
P,1550388620,5117
P,1550388649,5117
P,1550388679,5117
P,1550388709,5116
P,1550388738,5118
P,1550388767,5116
P,1550388797,5117
P,1550388826,5118
P,1550388855,5119
P,1550388884,5118
P,1550388914,5116
P,1550388943,5116
P,1550388972,5118
P,1550389003,5116
P,1550389032,5117
P,1550389061,5117
P,1550389090,5117
P,1550389120,5115
P,1550389149,5118
P,1550389178,5118
P,1550389208,5116
P,1550389237,5116
P,1550389266,5115
P,1550389296,5118
