H,1557429535,301756
P,1557429535,5416
P,1557429565,5417
P,1557429594,5416
D,1557429606,321792
P,1557429623,5416
P,1557429653,5417
P,1557429683,5416
P,1557429712,5416
P,1557429741,5417
P,1557429771,5417
P,1557429800,5417
D,1557429804,387584
R,1557429804,700D9CE41
X,1557429806,626164,5733
X,1557429806,627724,2293
X,1557429807,627766,2701
X,1557429807,627741,2746
X,1557429808,629324,32775
X,1557429809,628880,9278
X,1557429809,628254,2290
X,1557429810,628602,7321
X,1557429810,629539,6034
X,1557429811,626758,38785
X,1557429811,628043,47977
X,1557429812,629625,7174
X,1557429813,625831,49003
X,1557429813,627578,7660
X,1557429814,628032,15419
X,1557429814,628872,2762
X,1557429815,629131,1015
X,1557429815,628942,2176
X,1557429816,628694,1817
X,1557429817,629260,1320
X,1557429817,629187,2275
X,1557429818,628584,11737
X,1557429818,627257,9538
X,1557429819,627153,3274
X,1557429819,627718,3349
X,1557429819,628604,3130
X,1557429819,628994,2282
X,1557429820,628996,1022
X,1557429821,629173,2108
X,1557429821,628276,6646
X,1557429822,629104,1730
X,1557429822,628827,10774
X,1557429823,629479,7025
X,1557429823,627857,17338
X,1557429824,628383,31103
X,1557429825,628023,46849
X,1557429825,630977,12344
X,1557429826,629141,46957
X,1557429826,630207,15592
X,1557429827,629794,2914
X,1557429827,629557,1462
X,1557429828,630118,2335
X,1557429829,630305,1049
P,1557429829,5412
X,1557429829,630513,4846
X,1557429830,629863,7137
X,1557429830,629251,2274
X,1557429831,629486,570
X,1557429831,629925,1739
X,1557429832,630520,9373
X,1557429833,629702,1884
X,1557429833,629662,1120
X,1557429834,629725,1298
X,1557429834,629733,20759
X,1557429835,629783,1402
X,1557429835,629841,1664
X,1557429836,630151,1204
X,1557429836,630045,1066
X,1557429837,629782,1626
X,1557429838,629860,881
X,1557429838,630306,1672
X,1557429839,630139,3734
X,1557429839,629128,2771
X,1557429840,629353,2476
X,1557429840,629410,2045
X,1557429841,628631,1327
X,1557429842,628977,1304
X,1557429842,629274,1136
X,1557429843,628706,2576
X,1557429843,627609,3573
X,1557429844,629558,5498
X,1557429844,629111,35601
X,1557429845,629009,30481
X,1557429846,628337,6197
X,1557429846,629116,1911
X,1557429847,629618,1458
X,1557429847,629400,1411
X,1557429848,629162,1730
X,1557429848,627993,1441
X,1557429849,628479,1596
X,1557429850,627972,1380
X,1557429850,629139,1373
X,1557429851,628747,4455
X,1557429851,629705,1499
X,1557429852,629634,1860
X,1557429852,629946,1089
X,1557429853,629654,782
X,1557429853,629260,1625
X,1557429854,628891,724
X,1557429855,629243,1932
X,1557429855,629279,1909
X,1557429856,629312,1194
X,1557429856,629831,1168
X,1557429857,629668,7643
X,1557429857,630183,2087
X,1557429858,630223,2111
X,1557429859,629882,955
P,1557429859,5409
X,1557429859,630555,1066
X,1557429860,630664,2132
X,1557429860,630372,1244
X,1557429860,630097,1485
X,1557429860,628925,7621
X,1557429861,629437,2486
X,1557429862,630545,1605
X,1557429862,631037,1630
X,1557429863,631241,981
X,1557429863,630950,2074
X,1557429864,628844,2339
X,1557429864,629004,11288
X,1557429865,630465,4384
X,1557429865,630299,1990
X,1557429866,629998,1905
X,1557429867,630496,1429
X,1557429867,631070,4107
X,1557429868,629414,3564
X,1557429868,630582,1867
X,1557429869,629789,1867
X,1557429869,630405,1204
X,1557429870,630577,6593
X,1557429871,629925,4259
X,1557429871,629587,4679
X,1557429872,629351,2894
X,1557429872,629932,3736
X,1557429873,630587,954
X,1557429873,630305,1137
X,1557429874,629959,1234
X,1557429875,629798,1282
X,1557429875,630281,2079
X,1557429876,630774,1015
X,1557429876,630630,1699
X,1557429877,630284,721
X,1557429877,629703,1319
X,1557429878,630041,1179
X,1557429879,629901,1487
X,1557429879,629627,1474
X,1557429880,629622,861
X,1557429880,629317,17037
X,1557429881,630167,2172
X,1557429881,630575,1460
X,1557429882,630549,865
X,1557429882,630425,1082
X,1557429883,630390,1192
X,1557429884,630410,1208
X,1557429884,630581,630
X,1557429885,630369,1608
X,1557429885,630247,830
X,1557429886,630340,1214
X,1557429886,630372,1401
X,1557429887,630439,802
X,1557429888,630264,633
X,1557429888,629577,1169
P,1557429888,5407
X,1557429889,630474,1088
X,1557429889,630015,6711
X,1557429890,630665,1301
X,1557429890,630515,724
X,1557429891,630422,2012
X,1557429892,630121,1617
X,1557429892,629907,1139
X,1557429893,629701,1266
X,1557429893,629683,1525
