H,1557610418,301756
P,1557610418,5359
X,1557610419,655976,1141
X,1557610419,655826,1918
X,1557610420,655752,1165
X,1557610420,655866,1147
X,1557610421,655859,1516
X,1557610421,655761,1129
X,1557610422,655791,1004
X,1557610423,655754,1639
X,1557610423,655837,1304
X,1557610424,655776,1027
X,1557610424,655768,1663
X,1557610425,655810,1591
X,1557610425,655692,1211
X,1557610425,655710,381
X,1557610426,655713,1503
X,1557610426,655677,1234
X,1557610427,655769,1694
X,1557610427,655780,1932
X,1557610428,655731,1642
X,1557610428,655681,1164
X,1557610429,655738,1389
X,1557610430,655602,1606
X,1557610430,655622,1895
X,1557610431,655657,1823
X,1557610431,655616,1420
X,1557610432,655555,1624
X,1557610432,655544,1170
X,1557610433,655621,897
A,1557610433,656045,805
T,1557610433,2809
U,1557610433,0
X,1557610435,656851,1321
X,1557610435,656833,1554
X,1557610436,656914,1500
X,1557610437,656846,1538
X,1557610437,656815,721
X,1557610438,656822,636
X,1557610438,656892,636
X,1557610439,656779,1561
X,1557610439,656686,1440
X,1557610440,656769,1559
X,1557610441,656753,1345
X,1557610441,656772,1052
X,1557610442,656723,1328
X,1557610442,656567,1333
X,1557610443,656582,1001
X,1557610443,656667,1376
X,1557610444,656656,1171
X,1557610445,656696,1332
X,1557610445,656609,1413
X,1557610446,656587,891
X,1557610446,656642,1582
X,1557610447,656697,842
X,1557610447,656726,717
P,1557610447,5357
X,1557610448,656619,1008
X,1557610449,656639,1578
X,1557610449,656656,1740
X,1557610450,656613,1018
X,1557610450,656647,1369
X,1557610451,656760,1425
X,1557610451,656783,2670
X,1557610452,654846,13914
X,1557610452,656341,6720
X,1557610453,656563,1642
X,1557610454,656652,1221
X,1557610454,656672,2025
X,1557610455,656662,813
X,1557610455,656698,503
X,1557610456,656656,1052
X,1557610456,656715,1381
X,1557610457,656648,1479
X,1557610458,656685,8044
X,1557610458,656713,1959
X,1557610459,656744,522
X,1557610459,656757,888
X,1557610460,656700,1140
X,1557610460,656706,1021
X,1557610461,656847,1771
X,1557610462,656354,5584
X,1557610462,656643,4468
X,1557610463,656755,1809
X,1557610463,656644,1025
X,1557610464,656712,1575
X,1557610464,656754,749
X,1557610465,656639,1588
X,1557610466,656774,1827
X,1557610466,656714,1924
X,1557610466,656644,987
X,1557610466,656752,1727
X,1557610467,656665,1060
X,1557610467,657107,4237
X,1557610468,656333,1885
X,1557610468,656657,1446
X,1557610469,656649,1533
X,1557610470,656610,2402
X,1557610470,655469,19514
X,1557610471,657058,4365
X,1557610471,656610,1024
X,1557610472,656634,494
X,1557610472,656588,595
X,1557610473,656564,1031
X,1557610474,656601,1562
X,1557610474,656605,1191
X,1557610475,656529,1014
X,1557610475,656478,1385
X,1557610476,656478,1158
X,1557610476,656512,1343
P,1557610477,5359
X,1557610477,656524,3875
X,1557610478,656548,1082
X,1557610478,656527,926
X,1557610479,656462,1281
X,1557610479,656445,1363
X,1557610480,656550,2130
X,1557610480,656605,1445
X,1557610481,656639,1875
X,1557610481,656739,1240
X,1557610482,656649,2044
X,1557610483,656626,1579
X,1557610483,656679,1545
X,1557610484,656571,1168
X,1557610484,656642,939
X,1557610485,656599,1073
X,1557610485,656511,1570
X,1557610486,656474,1039
X,1557610487,656510,1147
X,1557610487,656532,1572
X,1557610488,656489,1668
X,1557610488,656455,1386
X,1557610489,656505,1516
X,1557610489,656494,879
X,1557610490,656571,1963
X,1557610491,656600,2182
X,1557610491,656554,1985
X,1557610492,656533,2025
X,1557610492,656522,1584
X,1557610493,656523,1061
X,1557610493,656428,1480
X,1557610494,656582,1777
X,1557610495,656479,1187
X,1557610495,656523,2236
X,1557610496,656788,3024
X,1557610496,657102,8276
X,1557610497,656278,1110
X,1557610497,656252,2028
X,1557610498,656254,1688
X,1557610498,656289,983
X,1557610499,656333,1137
X,1557610500,656264,1829
X,1557610500,656217,1277
X,1557610501,656242,1669
X,1557610501,656240,1947
X,1557610502,656318,2024
X,1557610502,656193,1839
X,1557610503,656200,1490
X,1557610504,656244,1282
X,1557610504,656335,1490
X,1557610505,656272,948
X,1557610505,656304,1911
X,1557610506,656249,1377
X,1557610506,656231,983
A,1557610506,656623,661
T,1557610507,2809
P,1557610507,5355
U,1557610507,0
X,1557610507,657395,1037
X,1557610508,657452,1263
X,1557610509,657427,1383
X,1557610509,657406,1267
X,1557610510,657381,749
