H,1558483502,301756
P,1558483502,5245
P,1558483531,5245
P,1558483560,5244
P,1558483590,5244
P,1558483619,5242
P,1558483648,5243
P,1558483678,5245
P,1558483707,5244
P,1558483736,5243
P,1558483765,5244
P,1558483796,5243
P,1558483825,5242
P,1558483854,5244
P,1558483884,5243
P,1558483913,5243
P,1558483942,5243
P,1558483971,5245
P,1558484001,5245
P,1558484030,5245
P,1558484059,5245
P,1558484089,5245
D,1558484112,398336
D,1558484114,458240
R,1558484114,700D9CE41
R,1558484114,700D9CE41
X,1558484116,696544,13298
X,1558484116,697306,4527
X,1558484117,697897,3941
X,1558484118,697469,12330
X,1558484118,697214,3702
P,1558484119,5237
X,1558484119,698034,4658
X,1558484119,697760,12479
X,1558484120,697703,25443
X,1558484120,698864,11244
X,1558484121,697075,28990
X,1558484121,698527,36738
X,1558484122,695622,30583
X,1558484123,699330,44103
X,1558484123,699799,17515
X,1558484124,334487,16844
X,1558484124,333698,6835
X,1558484125,333137,2349
X,1558484125,333390,1276
X,1558484126,333625,369
X,1558484127,333208,183
X,1558484127,333318,146
X,1558484128,333186,447
X,1558484128,333052,558
X,1558484129,333174,280
X,1558484129,333031,443
O,1558484130,332904,264
O,1558484130,332922,259
O,1558484130,332677,244
O,1558484131,332772,460
O,1558484131,332990,565
O,1558484132,332684,722
O,1558484132,332774,461
O,1558484133,332790,320
O,1558484134,332688,152
O,1558484134,332801,282
O,1558484135,332793,201
O,1558484135,332841,284
O,1558484136,332944,216
O,1558484136,333060,121
O,1558484137,332903,460
O,1558484137,332690,197
O,1558484138,332983,322
O,1558484139,332552,365
O,1558484139,332634,234
O,1558484140,332786,276
O,1558484140,332617,213
O,1558484141,332719,237
O,1558484141,332915,176
O,1558484142,332874,119
O,1558484143,332861,343
O,1558484143,332743,164
O,1558484144,332649,336
O,1558484144,332758,165
O,1558484145,332752,202
O,1558484145,332637,420
O,1558484146,332556,281
O,1558484147,332639,157
O,1558484147,332694,107
O,1558484148,332624,356
P,1558484148,5236
O,1558484148,332619,388
O,1558484149,332481,406
O,1558484149,332478,131
O,1558484150,332608,266
O,1558484151,332650,183
O,1558484151,332688,197
O,1558484152,332620,274
O,1558484152,332591,602
O,1558484153,332439,280
O,1558484153,332551,308
O,1558484154,332606,290
O,1558484154,332529,200
O,1558484155,332430,243
O,1558484156,332478,241
O,1558484156,332548,311
O,1558484157,332555,414
O,1558484157,332366,491
O,1558484158,663576,41445
T,1558484158,2842
D,1558484159,434688
D,1558484161,436992
R,1558484162,700D9CE41
X,1558484163,665035,4733
X,1558484164,666549,6298
X,1558484164,665915,6481
X,1558484165,665481,12573
X,1558484166,665596,3735
X,1558484166,665694,7323
X,1558484167,664980,5723
X,1558484167,665718,5190
X,1558484168,670419,3714
X,1558484168,662033,61306
X,1558484169,663965,34065
X,1558484169,665895,32419
X,1558484170,665001,18179
X,1558484171,665215,5328
X,1558484171,664833,4229
X,1558484171,664508,16403
X,1558484171,664660,7908
X,1558484172,664958,4190
X,1558484172,664882,3542
X,1558484173,664768,3600
X,1558484174,664749,3452
X,1558484174,665155,3090
X,1558484175,665196,2525
X,1558484175,665517,2635
X,1558484176,665412,3339
X,1558484176,665607,2660
P,1558484177,5237
X,1558484177,665952,3882
X,1558484178,665707,4564
X,1558484178,665424,4037
X,1558484179,665965,3098
X,1558484179,665270,2736
X,1558484180,665817,3260
X,1558484180,665836,2476
X,1558484181,665575,2598
X,1558484181,665524,1981
X,1558484182,665184,2743
X,1558484183,664768,2688
X,1558484183,665008,2576
X,1558484184,664399,2279
X,1558484184,664622,8782
X,1558484185,664860,3439
X,1558484185,664411,3295
X,1558484186,664456,9984
X,1558484187,649379,50761
X,1558484187,460377,63207
X,1558484188,333625,1707
X,1558484188,333438,1524
X,1558484189,333675,812
X,1558484189,333283,222
X,1558484190,333055,350
X,1558484191,333177,272
X,1558484191,333158,164
X,1558484192,333032,281
X,1558484192,332998,200
X,1558484193,332968,174
X,1558484193,332982,160
O,1558484194,333056,415
O,1558484195,333025,79
O,1558484195,332825,246
O,1558484196,332865,237
O,1558484196,332860,153
O,1558484197,332875,263
O,1558484197,332812,138
O,1558484198,332889,106
O,1558484198,332793,291
O,1558484199,332765,202
O,1558484200,332804,151
O,1558484200,332533,301
O,1558484201,332616,227
O,1558484201,332788,285
