H,1558833803,301756
P,1558833803,5193
P,1558833832,5194
P,1558833862,5193
P,1558833892,5193
P,1558833921,5193
P,1558833950,5195
P,1558833980,5192
P,1558834009,5193
P,1558834038,5193
P,1558834068,5193
P,1558834098,5193
P,1558834127,5194
P,1558834157,5194
P,1558834186,5194
P,1558834216,5194
P,1558834245,5194
P,1558834274,5194
P,1558834304,5194
P,1558834333,5195
P,1558834362,5193
P,1558834391,5194
P,1558834421,5191
P,1558834451,5193
P,1558834480,5193
P,1558834510,5194
P,1558834539,5194
P,1558834568,5193
P,1558834597,5194
P,1558834627,5195
P,1558834656,5195
P,1558834685,5193
P,1558834715,5194
P,1558834745,5193
P,1558834774,5195
P,1558834803,5195
P,1558834833,5193
P,1558834862,5195
P,1558834891,5194
P,1558834921,5194
P,1558834950,5194
P,1558834979,5193
P,1558835008,5192
P,1558835039,5194
P,1558835068,5194
P,1558835097,5194
P,1558835127,5193
P,1558835156,5195
P,1558835185,5195
P,1558835214,5194
P,1558835244,5195
P,1558835273,5195
P,1558835302,5194
P,1558835333,5194
P,1558835362,5193
O,1558835370,325655,2846
O,1558835371,326136,193
O,1558835371,326270,146
O,1558835372,326424,195
O,1558835373,326479,193
O,1558835373,326464,130
O,1558835374,326487,59
O,1558835374,326471,92
O,1558835375,326491,163
O,1558835375,326502,82
O,1558835375,326484,96
O,1558835376,326478,157
O,1558835376,326454,129
O,1558835377,326411,188
O,1558835377,326425,95
O,1558835378,326404,134
O,1558835378,326271,94
O,1558835379,326303,126
O,1558835380,326366,106
O,1558835380,326331,141
O,1558835381,326343,114
O,1558835381,326396,111
O,1558835382,326380,165
O,1558835382,326424,104
O,1558835383,326427,93
O,1558835383,326413,82
O,1558835384,326450,135
O,1558835385,326491,136
O,1558835385,326549,192
O,1558835386,326571,110
O,1558835386,326527,117
O,1558835387,326536,140
O,1558835387,326539,201
O,1558835388,326522,123
O,1558835389,326518,84
O,1558835389,326522,161
O,1558835390,326556,96
O,1558835390,326547,180
P,1558835391,5187
O,1558835391,326537,130
O,1558835391,326559,41
O,1558835392,326556,84
O,1558835393,326565,134
O,1558835393,326567,86
O,1558835394,326618,172
O,1558835394,326575,71
O,1558835395,326573,160
O,1558835395,326553,99
O,1558835396,326599,163
O,1558835397,326596,100
O,1558835397,326593,113
O,1558835398,326592,98
O,1558835398,326592,176
O,1558835399,326630,131
O,1558835399,326561,152
O,1558835400,326530,127
O,1558835400,326571,83
O,1558835401,326583,146
O,1558835402,326554,113
O,1558835402,326672,98
O,1558835403,326625,81
O,1558835403,326657,79
O,1558835404,326652,82
O,1558835404,326701,179
O,1558835405,326716,97
O,1558835406,326727,60
O,1558835406,326715,152
O,1558835407,326720,155
O,1558835407,326736,441
O,1558835408,326725,223
O,1558835408,326722,313
O,1558835409,326753,206
O,1558835410,326731,510
O,1558835410,326745,211
O,1558835411,326744,167
O,1558835411,326769,238
O,1558835412,326780,159
O,1558835412,326818,201
O,1558835413,326764,147
O,1558835413,326759,180
O,1558835414,326733,170
O,1558835415,326694,240
O,1558835415,326679,109
O,1558835416,326778,735
O,1558835416,326735,844
O,1558835416,326669,178
O,1558835416,548146,6496
T,1558835417,2837
D,1558835418,477184
P,1558835420,5193
D,1558835420,491264
D,1558835422,486400
D,1558835424,480256
R,1558835425,000000000
X,1558835426,731561,5275
X,1558835427,732366,5187
X,1558835427,732594,4049
X,1558835428,732554,3140
X,1558835428,732345,5187
X,1558835429,732443,3901
X,1558835430,732427,2273
X,1558835430,732413,4056
X,1558835431,732317,2397
X,1558835431,732495,19410
X,1558835432,732510,6780
X,1558835432,732516,4066
X,1558835433,732365,26984
X,1558835434,732744,4207
X,1558835434,732490,3863
X,1558835435,732628,2795
X,1558835435,732280,3831
X,1558835436,732522,1908
X,1558835436,733012,6770
X,1558835437,731906,14229
X,1558835438,732590,4058
X,1558835438,732751,2692
X,1558835439,732520,4352
X,1558835439,732828,1879
X,1558835440,732620,2139
X,1558835440,732773,2942
X,1558835441,732903,2018
X,1558835441,732724,4092
X,1558835442,732829,1714
X,1558835443,732651,2464
X,1558835443,732725,2826
X,1558835444,732801,2764
X,1558835444,732736,2150
X,1558835445,732685,2547
X,1558835445,732769,1644
X,1558835446,733076,1945
X,1558835447,733023,1769
X,1558835447,733077,3410
X,1558835448,732946,2461
X,1558835448,733067,2758
X,1558835449,733057,2495
X,1558835449,733192,2981
