H,1559334715,312504
P,1559334715,5180
P,1559334744,5181
P,1559334773,5180
P,1559334803,5181
P,1559334832,5180
P,1559334861,5181
P,1559334891,5180
P,1559334920,5180
P,1559334950,5181
P,1559334979,5181
P,1559335009,5181
P,1559335038,5182
P,1559335067,5181
P,1559335096,5180
P,1559335126,5180
P,1559335155,5180
P,1559335184,5181
P,1559335214,5181
P,1559335244,5179
P,1559335273,5182
P,1559335302,5182
P,1559335332,5182
P,1559335361,5180
P,1559335390,5180
P,1559335420,5181
P,1559335449,5182
P,1559335478,5180
P,1559335507,5181
P,1559335538,5182
D,1559335564,408320
D,1559335566,466176
P,1559335567,5180
D,1559335568,438784
R,1559335568,700D9CE41
R,1559335569,700D9CE41
R,1559335569,700D9CE41
X,1559335570,344440,8476
X,1559335571,344388,2791
X,1559335571,344412,1543
X,1559335572,344456,784
X,1559335572,344353,558
X,1559335573,344909,485
X,1559335574,344608,1107
X,1559335574,344415,854
X,1559335575,344546,555
X,1559335575,344987,625
X,1559335576,344843,726
O,1559335576,345039,778
O,1559335577,344878,892
O,1559335578,345137,939
O,1559335578,344932,413
O,1559335579,344898,583
O,1559335579,344802,969
O,1559335580,345729,1077
O,1559335580,344624,914
O,1559335581,344405,927
O,1559335582,344190,235
O,1559335582,344313,253
O,1559335583,344610,513
O,1559335583,344401,892
O,1559335584,344284,903
O,1559335584,344313,607
O,1559335585,344301,1048
O,1559335585,344329,482
O,1559335586,344339,592
O,1559335587,343976,380
O,1559335587,343924,770
O,1559335588,344449,1101
O,1559335588,344053,1139
O,1559335588,344107,857
O,1559335588,344251,734
O,1559335589,344157,762
O,1559335590,344387,528
O,1559335590,344561,283
O,1559335591,344687,405
O,1559335591,344432,700
O,1559335592,344460,376
O,1559335592,344618,444
O,1559335593,344449,650
O,1559335594,344517,343
O,1559335594,344573,719
O,1559335595,344038,1053
O,1559335595,344239,699
P,1559335596,5172
O,1559335596,344323,582
O,1559335596,344194,369
O,1559335597,344358,669
O,1559335598,344374,910
O,1559335598,344409,197
O,1559335599,344130,194
O,1559335599,344099,525
O,1559335600,344256,552
O,1559335600,344438,457
O,1559335601,344260,391
O,1559335601,344394,312
O,1559335602,344466,220
O,1559335603,344374,146
O,1559335603,344543,413
O,1559335604,344661,271
O,1559335604,344571,343
O,1559335605,344585,232
O,1559335605,344606,460
O,1559335606,344538,300
O,1559335607,344722,262
O,1559335607,344488,452
O,1559335608,344605,457
O,1559335608,344346,1096
O,1559335609,344322,394
O,1559335609,344433,741
O,1559335610,344460,290
O,1559335611,344678,728
O,1559335611,344618,328
O,1559335612,344511,397
O,1559335612,344674,730
O,1559335613,344391,830
O,1559335613,344631,440
O,1559335614,344908,305
O,1559335615,344571,308
O,1559335615,344849,468
O,1559335616,344427,615
O,1559335616,344428,588
O,1559335617,344451,629
O,1559335617,344336,1197
O,1559335618,344218,506
O,1559335618,344280,610
O,1559335619,344348,1168
O,1559335620,344266,686
O,1559335620,344405,747
O,1559335621,344381,307
O,1559335621,344325,332
O,1559335622,344439,425
O,1559335622,344266,581
O,1559335623,344246,517
O,1559335624,344266,531
O,1559335624,344382,504
O,1559335625,344272,198
O,1559335625,344560,370
O,1559335626,344406,487
P,1559335626,5171
T,1559335626,2908
D,1559335652,453632
D,1559335654,451584
R,1559335655,700D9CE41
R,1559335655,700D9CE41
R,1559335655,700D9CE41
P,1559335655,5181
X,1559335656,687927,6584
X,1559335657,688008,3473
X,1559335657,687696,7196
X,1559335658,688096,3515
X,1559335659,687945,2797
X,1559335659,688129,2773
X,1559335660,688017,2756
X,1559335660,687726,11979
X,1559335661,688537,2347
X,1559335661,688599,2254
X,1559335662,688385,3731
X,1559335662,688471,13990
X,1559335663,688648,2040
X,1559335664,688727,2972
X,1559335664,688052,2989
X,1559335665,688728,2609
X,1559335665,687794,5986
X,1559335666,668780,63931
X,1559335666,473406,37258
X,1559335667,346229,18727
X,1559335668,345267,8338
X,1559335668,345281,3839
X,1559335669,345230,1975
X,1559335669,345107,935
X,1559335670,345014,609
X,1559335670,344921,465
X,1559335670,344828,279
X,1559335671,344818,480
X,1559335671,344774,151
X,1559335672,344943,181
O,1559335672,344941,180
O,1559335673,344941,196
O,1559335673,344967,261
O,1559335674,344821,320
O,1559335675,344701,1004
O,1559335675,344160,512
O,1559335676,344634,425
