H,1559666970,312504
P,1559666970,5172
P,1559666999,5171
P,1559667028,5172
P,1559667058,5173
P,1559667087,5173
P,1559667116,5171
P,1559667146,5174
P,1559667176,5173
P,1559667205,5171
P,1559667234,5173
P,1559667265,5172
P,1559667294,5171
P,1559667323,5172
P,1559667352,5174
P,1559667382,5173
P,1559667411,5172
P,1559667440,5174
P,1559667470,5174
P,1559667499,5171
P,1559667528,5172
P,1559667558,5172
P,1559667588,5172
P,1559667617,5173
P,1559667646,5173
P,1559667676,5171
P,1559667705,5174
P,1559667734,5171
P,1559667763,5173
P,1559667793,5173
P,1559667822,5171
P,1559667852,5173
P,1559667882,5173
P,1559667911,5174
P,1559667940,5171
P,1559667969,5173
P,1559667999,5173
P,1559668028,5172
P,1559668057,5172
P,1559668087,5172
P,1559668116,5173
P,1559668146,5173
P,1559668175,5173
P,1559668205,5173
O,1559668206,342396,2482
O,1559668207,342399,317
O,1559668207,342293,325
O,1559668208,342145,143
O,1559668208,342179,171
O,1559668209,342244,371
O,1559668210,342152,372
O,1559668210,342219,391
O,1559668211,342346,585
O,1559668211,342458,223
O,1559668212,342184,459
O,1559668212,342056,332
O,1559668212,342403,632
O,1559668213,342321,321
O,1559668213,342168,366
O,1559668214,342269,395
O,1559668214,342761,715
O,1559668215,342140,822
O,1559668215,342582,486
O,1559668216,341971,1740
O,1559668216,342419,1422
O,1559668217,342151,2095
O,1559668218,341842,1476
O,1559668218,342491,1380
O,1559668219,342542,1542
O,1559668219,341793,1326
O,1559668220,341973,1029
O,1559668220,341297,1291
O,1559668221,341807,975
O,1559668222,342095,649
O,1559668222,342486,1214
O,1559668223,342773,833
O,1559668223,343570,1310
O,1559668224,342528,2252
O,1559668224,341900,1682
O,1559668225,341580,797
O,1559668226,341999,472
O,1559668226,342077,140
O,1559668227,342013,672
O,1559668227,342154,575
O,1559668228,342585,949
O,1559668228,342524,1193
O,1559668229,342384,662
O,1559668230,341743,488
O,1559668230,341754,401
O,1559668231,342076,510
O,1559668231,341948,312
O,1559668232,342143,692
O,1559668232,341842,568
O,1559668233,341755,1007
O,1559668233,342087,790
P,1559668234,5164
O,1559668234,341227,1034
O,1559668235,342069,556
O,1559668235,341924,982
O,1559668236,341547,1235
O,1559668236,341670,1304
O,1559668237,341712,1877
O,1559668237,341879,611
O,1559668238,342109,302
O,1559668239,342085,391
O,1559668239,342094,348
O,1559668240,342085,341
O,1559668240,342126,179
O,1559668241,342143,147
O,1559668241,342338,395
O,1559668242,342524,1005
O,1559668243,341699,511
O,1559668243,342033,547
O,1559668244,341952,763
O,1559668244,342136,346
O,1559668245,342144,317
O,1559668245,342039,138
O,1559668246,342236,287
O,1559668247,342229,158
O,1559668247,342315,192
O,1559668248,342279,138
O,1559668248,342577,1047
O,1559668249,343045,985
O,1559668249,342126,708
O,1559668250,342151,511
O,1559668250,342378,307
O,1559668251,342191,273
O,1559668252,341974,845
O,1559668252,341907,486
O,1559668253,342129,518
O,1559668253,342272,778
O,1559668253,341868,568
O,1559668253,341725,255
O,1559668254,342205,514
O,1559668255,341989,388
O,1559668255,342154,166
O,1559668256,341999,156
O,1559668256,342153,193
O,1559668257,342082,159
O,1559668257,341895,356
O,1559668258,341859,764
O,1559668259,341921,700
O,1559668259,342294,431
O,1559668260,342890,1175
O,1559668260,342070,1834
O,1559668261,342016,1004
T,1559668261,3034
P,1559668263,5172
P,1559668293,5171
P,1559668322,5174
P,1559668351,5172
P,1559668380,5171
P,1559668410,5173
P,1559668440,5172
P,1559668469,5173
P,1559668499,5172
P,1559668528,5173
P,1559668557,5171
P,1559668586,5172
P,1559668616,5171
P,1559668645,5174
P,1559668674,5171
P,1559668704,5174
P,1559668734,5173
P,1559668763,5171
P,1559668792,5172
P,1559668822,5172
P,1559668851,5171
P,1559668880,5173
P,1559668909,5173
P,1559668939,5173
P,1559668968,5174
P,1559668997,5174
P,1559669028,5174
P,1559669057,5172
P,1559669086,5173
P,1559669115,5173
P,1559669145,5172
P,1559669174,5174
P,1559669203,5174
P,1559669233,5174
P,1559669262,5172
P,1559669291,5173
P,1559669321,5173
P,1559669351,5173
P,1559669380,5172
P,1559669409,5173
P,1559669439,5173
P,1559669468,5173
P,1559669497,5172
P,1559669526,5172
P,1559669556,5174
P,1559669585,5172
P,1559669615,5172
P,1559669645,5171
P,1559669674,5173
P,1559669703,5173
P,1559669732,5174
P,1559669762,5173
P,1559669792,5172
P,1559669821,5173
P,1559669851,5172
P,1559669880,5172
P,1559669910,5172
