H,1559706446,312504
P,1559706446,5156
P,1559706476,5156
P,1559706505,5156
P,1559706535,5156
P,1559706564,5156
P,1559706594,5157
P,1559706623,5156
P,1559706653,5155
P,1559706683,5155
P,1559706712,5154
P,1559706741,5155
P,1559706770,5155
P,1559706800,5156
P,1559706829,5156
P,1559706858,5155
P,1559706888,5155
P,1559706917,5155
P,1559706947,5156
P,1559706976,5156
P,1559707006,5157
P,1559707035,5155
P,1559707064,5157
P,1559707094,5156
P,1559707123,5157
P,1559707152,5156
P,1559707181,5155
P,1559707211,5156
P,1559707241,5156
P,1559707270,5153
P,1559707300,5156
P,1559707329,5156
P,1559707358,5155
P,1559707387,5154
P,1559707417,5155
P,1559707446,5155
P,1559707475,5156
P,1559707505,5156
P,1559707535,5156
P,1559707564,5155
P,1559707593,5157
P,1559707623,5156
P,1559707652,5156
P,1559707681,5156
P,1559707710,5156
P,1559707740,5156
P,1559707769,5155
P,1559707798,5154
P,1559707829,5155
P,1559707858,5155
P,1559707887,5154
P,1559707916,5156
P,1559707946,5156
P,1559707975,5157
P,1559708004,5155
P,1559708034,5155
P,1559708063,5156
O,1559708074,341149,2208
O,1559708075,341369,98
O,1559708076,341353,145
O,1559708076,341334,124
O,1559708077,341353,84
O,1559708077,341334,97
O,1559708078,341340,45
O,1559708078,341343,155
O,1559708079,341358,154
O,1559708079,341370,89
O,1559708079,341371,299
O,1559708080,341355,119
O,1559708080,341342,88
O,1559708081,341357,118
O,1559708081,341374,219
O,1559708082,341366,177
O,1559708083,341379,185
O,1559708083,341404,118
O,1559708084,341405,246
O,1559708084,341376,326
O,1559708085,341380,221
O,1559708085,341364,410
O,1559708086,341336,167
O,1559708086,341329,384
O,1559708087,341336,198
O,1559708088,341390,215
O,1559708088,341290,365
O,1559708089,341413,225
O,1559708089,341420,145
O,1559708090,341431,208
O,1559708090,341349,238
O,1559708091,341453,182
O,1559708092,341419,217
O,1559708092,341439,84
P,1559708092,5148
O,1559708093,341454,102
O,1559708093,341264,124
O,1559708094,341252,385
O,1559708094,341177,255
O,1559708095,341257,392
O,1559708096,341169,238
O,1559708096,341235,148
O,1559708097,341288,480
O,1559708097,341329,165
O,1559708098,341390,198
O,1559708098,341424,146
O,1559708099,341425,121
O,1559708100,341418,165
O,1559708100,341396,79
O,1559708101,341398,125
O,1559708101,341423,115
O,1559708102,341440,208
O,1559708102,341428,152
O,1559708103,341448,176
O,1559708103,341463,362
O,1559708104,341431,211
O,1559708105,341469,194
O,1559708105,341454,347
O,1559708106,341418,727
O,1559708106,341415,211
O,1559708107,341360,176
O,1559708107,341331,226
O,1559708108,341334,173
O,1559708109,341324,377
O,1559708109,341307,703
O,1559708110,341344,319
O,1559708110,341343,184
O,1559708111,341358,205
O,1559708111,341338,188
O,1559708112,341335,212
O,1559708113,341334,184
O,1559708113,341336,369
O,1559708114,341338,357
O,1559708114,341350,692
O,1559708115,341298,699
O,1559708115,341335,429
O,1559708116,341343,466
O,1559708117,341328,221
O,1559708117,341348,172
O,1559708118,341351,474
O,1559708118,341356,670
O,1559708119,341362,480
O,1559708119,341345,385
O,1559708120,341343,337
O,1559708120,341389,795
O,1559708120,341384,718
O,1559708121,341375,308
O,1559708121,341365,209
P,1559708122,5145
O,1559708122,341397,115
O,1559708122,341424,153
O,1559708123,341446,419
O,1559708123,341378,276
O,1559708124,341388,273
O,1559708125,341358,132
O,1559708125,341369,147
O,1559708126,341372,321
O,1559708126,341378,93
O,1559708127,341370,178
O,1559708127,341390,293
O,1559708128,341425,230
O,1559708129,341392,172
O,1559708129,341373,151
T,1559708129,2890
P,1559708152,5155
P,1559708181,5156
P,1559708210,5153
P,1559708240,5155
P,1559708269,5156
P,1559708298,5155
P,1559708327,5156
P,1559708357,5157
P,1559708386,5156
P,1559708416,5154
P,1559708446,5156
P,1559708475,5155
P,1559708504,5156
P,1559708533,5156
P,1559708563,5157
P,1559708592,5156
P,1559708621,5155
P,1559708651,5155
P,1559708680,5155
P,1559708710,5155
P,1559708739,5155
P,1559708769,5155
P,1559708798,5156
P,1559708827,5155
P,1559708857,5156
P,1559708886,5156
P,1559708915,5156
P,1559708944,5154
P,1559708974,5156
P,1559709004,5156
P,1559709033,5155
P,1559709063,5156
P,1559709092,5156
P,1559709121,5156
P,1559709151,5156
P,1559709181,5155
P,1559709210,5155
P,1559709239,5156
P,1559709269,5156
P,1559709299,5154
P,1559709328,5155
P,1559709357,5155
P,1559709387,5155
P,1559709416,5155
P,1559709445,5155
