H,1552711249,241338
P,1552711249,5166
P,1552711278,5166
P,1552711308,5166
P,1552711337,5166
P,1552711366,5166
P,1552711396,5166
P,1552711426,5166
P,1552711455,5167
P,1552711484,5165
P,1552711514,5166
P,1552711543,5167
P,1552711572,5166
P,1552711601,5167
P,1552711631,5166
P,1552711660,5167
P,1552711690,5164
P,1552711719,5166
P,1552711749,5167
P,1552711778,5166
P,1552711807,5166
P,1552711837,5166
P,1552711866,5167
P,1552711895,5167
P,1552711924,5167
P,1552711954,5167
P,1552711984,5166
P,1552712013,5165
P,1552712043,5167
P,1552712072,5165
P,1552712101,5166
P,1552712130,5166
P,1552712160,5167
P,1552712189,5167
P,1552712218,5166
P,1552712248,5167
P,1552712278,5165
P,1552712307,5165
P,1552712336,5166
P,1552712366,5166
P,1552712395,5166
P,1552712424,5167
P,1552712454,5165
P,1552712483,5164
P,1552712513,5165
P,1552712542,5166
P,1552712573,5165
P,1552712602,5164
P,1552712631,5167
P,1552712661,5167
P,1552712690,5165
P,1552712719,5166
P,1552712748,5166
P,1552712778,5166
P,1552712807,5166
O,1552712829,256778,1750
O,1552712830,256958,140
O,1552712830,256947,269
O,1552712831,256909,124
O,1552712832,256881,292
O,1552712832,256505,252
O,1552712833,256271,400
O,1552712833,256140,519
O,1552712834,255968,713
O,1552712834,255248,700
O,1552712835,255583,708
O,1552712836,255455,1275
O,1552712836,254955,631
P,1552712836,5161
O,1552712837,255637,516
O,1552712837,254698,412
O,1552712838,255366,491
O,1552712838,255237,445
O,1552712839,255543,618
O,1552712840,255809,351
O,1552712840,256075,473
O,1552712841,255861,571
O,1552712841,255794,929
O,1552712842,255986,476
O,1552712842,255803,491
O,1552712843,256172,586
O,1552712844,255949,582
O,1552712844,255510,551
O,1552712845,255459,991
O,1552712845,255235,1160
O,1552712846,255763,763
O,1552712846,255214,996
O,1552712847,255259,1712
O,1552712848,255124,1655
O,1552712848,254195,1705
O,1552712849,254489,2277
O,1552712849,253554,954
O,1552712850,254639,1218
O,1552712850,255423,1153
O,1552712851,256419,436
O,1552712851,256676,486
O,1552712852,256910,93
O,1552712853,257050,102
O,1552712853,256976,151
O,1552712854,257072,113
O,1552712854,257135,169
O,1552712855,257110,244
O,1552712855,257100,88
O,1552712856,257053,175
O,1552712857,257173,209
O,1552712857,256809,726
O,1552712858,257472,513
O,1552712858,256537,1627
O,1552712859,254824,1882
O,1552712859,255828,1776
O,1552712860,256368,1214
O,1552712861,256536,693
O,1552712861,257287,1488
O,1552712862,257919,438
O,1552712862,258424,800
O,1552712863,258259,546
O,1552712863,257758,844
O,1552712864,255644,1877
O,1552712865,254608,1399
O,1552712865,255931,1071
O,1552712866,256849,167
O,1552712866,256896,642
P,1552712867,5159
O,1552712867,256360,435
O,1552712867,256360,546
O,1552712868,256595,241
O,1552712868,256709,118
O,1552712868,256746,191
O,1552712869,256985,173
O,1552712869,257076,125
O,1552712870,257125,122
O,1552712870,257185,77
O,1552712871,257179,145
O,1552712871,257088,86
O,1552712872,256924,284
O,1552712873,256876,233
O,1552712873,256789,147
O,1552712874,256723,148
O,1552712874,256881,121
O,1552712875,256865,91
O,1552712875,256793,147
O,1552712876,256756,225
O,1552712877,256831,175
O,1552712877,256951,109
O,1552712878,256873,125
O,1552712878,256951,153
O,1552712879,256962,91
O,1552712879,256865,269
O,1552712880,256708,256
O,1552712881,256736,212
O,1552712881,256654,108
O,1552712882,256691,168
O,1552712882,256733,96
O,1552712883,256587,211
O,1552712883,256461,159
O,1552712884,256612,198
O,1552712885,256635,208
O,1552712885,256737,270
T,1552712885,2810
P,1552712896,5164
P,1552712925,5163
P,1552712954,5165
P,1552712984,5166
P,1552713013,5166
P,1552713042,5166
P,1552713072,5165
P,1552713101,5166
P,1552713130,5166
P,1552713160,5166
P,1552713190,5166
P,1552713219,5164
D,1552713237,398848
P,1552713248,5167
P,1552713278,5166
P,1552713307,5164
P,1552713336,5164
P,1552713365,5166
D,1552713376,378880
D,1552713378,391424
D,1552713380,418048
D,1552713382,392704
D,1552713384,399360
D,1552713387,398848
D,1552713389,399872
D,1552713391,400640
D,1552713393,398848
P,1552713395,5164
D,1552713395,402176
R,1552713396,000000000
X,1552713397,602645,7710
X,1552713398,605025,4799
X,1552713398,608192,8328
X,1552713399,598621,13877
X,1552713400,606912,64817
X,1552713400,604956,54625
X,1552713401,606453,18637
X,1552713401,600310,18155
X,1552713401,598468,36111
X,1552713401,429419,35117
X,1552713402,273001,5048
