H,1552861092,241338
P,1552861092,5169
P,1552861121,5169
P,1552861151,5169
P,1552861180,5168
P,1552861209,5169
P,1552861239,5168
P,1552861269,5169
P,1552861298,5167
P,1552861327,5167
P,1552861357,5168
P,1552861386,5167
P,1552861415,5166
P,1552861444,5167
P,1552861474,5168
P,1552861503,5168
P,1552861533,5167
P,1552861563,5167
P,1552861592,5167
P,1552861621,5168
P,1552861650,5167
P,1552861680,5169
P,1552861709,5167
P,1552861738,5166
P,1552861768,5167
P,1552861797,5167
P,1552861827,5167
P,1552861856,5168
P,1552861886,5167
P,1552861915,5167
P,1552861945,5168
P,1552861974,5168
P,1552862004,5167
P,1552862033,5167
P,1552862062,5168
P,1552862092,5168
P,1552862122,5167
P,1552862151,5168
P,1552862180,5168
P,1552862210,5168
P,1552862239,5166
P,1552862268,5167
P,1552862298,5168
P,1552862327,5166
P,1552862356,5167
P,1552862385,5168
P,1552862416,5167
P,1552862445,5169
O,1552862470,249410,1707
O,1552862471,248794,424
O,1552862472,249072,318
O,1552862472,249358,286
O,1552862473,249389,302
O,1552862473,249314,313
P,1552862474,5161
O,1552862474,249168,203
O,1552862474,248958,201
O,1552862475,249268,504
O,1552862476,249325,190
O,1552862476,249566,457
O,1552862477,249313,495
O,1552862477,249297,288
O,1552862478,249338,418
O,1552862478,249738,363
O,1552862479,249932,345
O,1552862480,249617,318
O,1552862480,249376,332
O,1552862481,249267,605
O,1552862481,249618,396
O,1552862482,249548,465
O,1552862482,249505,299
O,1552862483,249565,412
O,1552862483,249667,283
O,1552862484,249582,899
O,1552862485,249141,584
O,1552862485,249236,606
O,1552862486,248951,166
O,1552862486,249083,370
O,1552862487,249394,340
O,1552862487,249703,369
O,1552862488,249465,543
O,1552862489,249648,374
O,1552862489,249195,458
O,1552862490,248816,318
O,1552862490,249115,523
O,1552862491,248397,494
O,1552862491,248907,409
O,1552862492,249239,231
O,1552862493,249095,508
O,1552862493,248588,322
O,1552862494,249400,584
O,1552862494,249748,299
O,1552862495,249691,265
O,1552862495,249627,580
O,1552862496,249615,424
O,1552862497,249760,337
O,1552862497,249803,532
O,1552862498,249642,475
O,1552862498,249613,451
O,1552862499,249432,431
O,1552862499,249143,378
O,1552862500,249498,416
O,1552862501,249200,303
O,1552862501,249306,512
O,1552862502,249276,430
O,1552862502,249145,374
O,1552862503,249097,754
O,1552862503,248403,623
P,1552862504,5161
O,1552862504,248285,589
O,1552862504,248328,475
O,1552862505,248458,449
O,1552862506,248561,414
O,1552862506,248861,253
O,1552862507,249466,762
O,1552862507,249832,467
O,1552862507,249837,352
O,1552862507,249830,387
O,1552862508,250118,451
O,1552862509,250366,482
O,1552862509,250474,219
O,1552862510,250459,266
O,1552862510,250267,242
O,1552862511,250339,484
O,1552862511,250471,248
O,1552862512,250383,579
O,1552862513,250602,283
O,1552862513,250622,469
O,1552862514,250521,268
O,1552862514,250095,503
O,1552862515,250170,456
O,1552862515,250403,555
O,1552862516,250289,570
O,1552862517,249981,394
O,1552862517,249751,241
O,1552862518,249812,381
O,1552862518,249744,188
O,1552862519,249819,226
O,1552862519,249889,305
O,1552862520,249783,211
O,1552862521,250003,435
O,1552862521,250090,169
O,1552862522,250139,566
O,1552862522,250350,568
O,1552862523,250173,338
O,1552862523,250005,276
O,1552862524,249825,536
O,1552862524,249881,297
O,1552862525,249822,214
O,1552862526,249644,254
O,1552862526,249603,343
T,1552862526,2787
P,1552862533,5165
P,1552862562,5167
P,1552862591,5168
P,1552862621,5166
P,1552862650,5167
P,1552862679,5168
P,1552862710,5166
P,1552862739,5166
P,1552862768,5166
P,1552862797,5167
P,1552862827,5167
P,1552862856,5167
P,1552862885,5167
P,1552862915,5167
P,1552862944,5165
P,1552862973,5166
P,1552863003,5166
P,1552863033,5168
P,1552863062,5167
P,1552863091,5167
P,1552863121,5167
P,1552863150,5168
P,1552863179,5167
P,1552863208,5166
P,1552863238,5167
P,1552863267,5168
P,1552863297,5167
P,1552863327,5167
P,1552863356,5167
P,1552863385,5165
P,1552863414,5167
P,1552863444,5168
P,1552863473,5168
P,1552863502,5166
P,1552863532,5167
P,1552863561,5168
P,1552863591,5166
P,1552863620,5166
P,1552863650,5168
P,1552863679,5167
P,1552863708,5167
P,1552863737,5166
P,1552863767,5168
P,1552863796,5165
P,1552863825,5165
P,1552863855,5166
P,1552863885,5167
P,1552863914,5167
P,1552863943,5167
P,1552863973,5167
P,1552864002,5166
P,1552864031,5167
