H,1559105644,255083
P,1559105644,5271
P,1559105673,5271
P,1559105703,5269
P,1559105733,5271
P,1559105762,5271
P,1559105791,5272
P,1559105820,5271
P,1559105850,5271
P,1559105879,5269
P,1559105908,5269
P,1559105938,5270
P,1559105967,5271
P,1559105997,5270
P,1559106026,5271
P,1559106056,5271
P,1559106085,5270
P,1559106114,5270
P,1559106144,5269
P,1559106173,5270
P,1559106202,5269
P,1559106231,5270
P,1559106261,5271
P,1559106291,5270
P,1559106320,5269
P,1559106350,5270
P,1559106379,5272
P,1559106408,5270
P,1559106437,5271
P,1559106467,5271
P,1559106496,5270
P,1559106525,5271
P,1559106555,5272
P,1559106585,5270
P,1559106614,5271
P,1559106643,5271
P,1559106673,5270
P,1559106702,5269
P,1559106731,5272
P,1559106761,5270
P,1559106790,5270
P,1559106819,5271
P,1559106848,5270
P,1559106879,5270
P,1559106908,5269
P,1559106937,5270
P,1559106967,5270
P,1559106996,5271
P,1559107025,5269
P,1559107054,5271
P,1559107084,5269
P,1559107113,5271
P,1559107142,5271
P,1559107172,5271
P,1559107202,5270
P,1559107231,5270
P,1559107260,5271
P,1559107290,5271
P,1559107319,5271
P,1559107348,5271
P,1559107377,5270
P,1559107407,5271
P,1559107436,5271
P,1559107466,5271
P,1559107496,5270
P,1559107525,5270
O,1559107530,281641,1835
O,1559107530,281887,64
O,1559107531,281869,96
O,1559107531,281870,153
O,1559107532,281873,286
O,1559107533,281884,119
O,1559107533,281943,117
O,1559107534,281956,156
O,1559107534,281919,81
O,1559107535,281817,213
O,1559107535,281920,134
O,1559107536,281868,120
O,1559107537,281911,100
O,1559107537,281932,140
O,1559107538,281864,129
O,1559107538,281874,99
O,1559107539,281878,99
O,1559107539,281869,150
O,1559107540,281854,101
O,1559107541,281910,116
O,1559107541,281858,85
O,1559107541,281852,95
O,1559107541,281847,78
O,1559107542,281849,96
O,1559107542,281859,40
O,1559107543,281844,129
O,1559107544,281685,144
O,1559107544,281764,116
O,1559107545,281769,101
O,1559107545,281755,88
O,1559107546,281751,184
O,1559107546,281728,128
O,1559107547,281692,170
O,1559107548,281567,160
O,1559107548,281586,145
O,1559107549,281637,86
O,1559107549,281637,87
O,1559107550,281737,136
O,1559107550,281757,116
O,1559107551,281837,133
O,1559107551,281839,114
O,1559107552,281875,225
O,1559107553,281813,137
O,1559107553,281805,159
O,1559107554,281792,123
P,1559107554,5266
O,1559107554,281757,149
O,1559107555,281774,141
O,1559107555,281839,150
O,1559107556,281814,102
O,1559107557,281803,94
O,1559107557,281792,91
O,1559107558,281881,141
O,1559107558,281912,135
O,1559107559,281890,69
O,1559107559,281923,84
O,1559107560,281928,118
O,1559107561,281936,87
O,1559107561,281906,100
O,1559107562,281954,106
O,1559107562,281901,95
O,1559107563,281845,109
O,1559107563,281884,162
O,1559107564,281816,71
O,1559107565,281834,168
O,1559107565,281828,108
O,1559107566,281891,113
O,1559107566,281923,113
O,1559107567,281929,169
O,1559107567,281923,138
O,1559107568,281915,92
O,1559107569,281878,160
O,1559107569,281913,94
O,1559107570,281849,117
O,1559107570,281863,126
O,1559107571,281831,175
O,1559107571,281821,131
O,1559107572,281810,166
O,1559107572,281878,143
O,1559107573,281900,106
O,1559107574,281926,56
O,1559107574,281925,129
O,1559107575,281935,122
O,1559107575,281928,123
O,1559107576,281931,208
O,1559107576,281933,134
O,1559107577,281915,119
O,1559107578,281967,122
O,1559107578,281944,103
O,1559107579,281967,94
O,1559107579,281965,147
O,1559107580,281980,102
O,1559107580,282021,90
O,1559107581,282013,87
O,1559107582,281981,94
O,1559107582,282015,66
O,1559107582,281971,169
O,1559107582,281961,75
O,1559107583,281967,143
P,1559107583,5264
O,1559107583,281924,75
O,1559107584,281931,100
O,1559107585,281963,99
T,1559107585,2838
P,1559107613,5270
P,1559107642,5270
P,1559107671,5271
P,1559107701,5271
P,1559107730,5270
P,1559107760,5270
P,1559107789,5271
P,1559107819,5271
P,1559107848,5271
P,1559107877,5271
P,1559107907,5270
P,1559107936,5270
P,1559107965,5270
P,1559107994,5270
P,1559108024,5269
P,1559108054,5271
P,1559108083,5271
P,1559108113,5269
P,1559108143,5270
P,1559108172,5270
P,1559108201,5267
P,1559108231,5269
P,1559108260,5271
P,1559108289,5270
P,1559108319,5271
P,1559108349,5270
P,1559108378,5272
P,1559108407,5269
P,1559108437,5270
P,1559108466,5271
P,1559108495,5270
P,1559108525,5271
P,1559108554,5271
P,1559108583,5271
P,1559108612,5270
P,1559108643,5269
